number of heading lines in this data file : 26
Field Line Tracing Calculations (FLT) performed with CASTEM
Date CASTEM calculations : 28/09/2010
Date post-processing data : 04-11/10/2010
Modif compared to latest version (10/06/2010): here, grid "top"- starting line = diagonal, located in between BM9-10

FIRST WALL GEOMETRY
Outer wall and upper panels from BM8 to BM18
EQUILIBRIUM
Steady-state, 15 MA, Scenario 1, ITER (eqdsk high resolution, "Baseline 2010", FST, Corsica, Feb. 2010)

PARAMETERS
origin location : diagonal from (R,Z)=(5.7,4.3)m to (R,Z)=(6.0,5.3)m
number of field lines followed :  300 
extent of origin line : 1.0440 
radial resolution at origin : 0.003499 
dphi step for FLT calculations in CASTEM : 0.50 
number of tangency points :     79 
number of points entering a surface :    260 
number of points leaving a surface :    271 
max number of intersection from omp toward top :    19 
max number of intersection from omp toward bottom :    11 
maximum connection length toward top : 26.09 
maximum connection length toward bottom : -22.09 
DATA
       nºFL            nºinters        X_inters (m)     Y_inters (m)     Z_inters (m)       Lc (m)             type-point  
 17.00000 9.00000 -4.94959 0.73884 4.70619 15.90551 1 
 17.00000 10.00000 -4.98560 0.26041 4.71301 16.38542 2 
 17.00000 11.00000 -4.97585 -0.21812 4.71996 16.86418 1 
 17.00000 12.00000 -4.92065 -0.69243 4.72652 17.34181 2 
 17.00000 13.00000 -4.86217 -0.99010 4.73058 17.64518 1 
 17.00000 14.00000 -4.76077 -1.36603 4.73586 18.03460 2 
 18.00000 1.00000 -2.90578 4.22636 4.64907 11.75556 0 
 18.00000 2.00000 -2.94168 4.19959 4.64983 11.80033 0 
 18.00000 3.00000 -3.51340 3.70105 4.66290 12.55945 1 
 18.00000 4.00000 -3.66651 3.53947 4.66641 12.78204 2 
 18.00000 5.00000 -4.02963 3.09092 4.67566 13.35937 1 
 18.00000 6.00000 -4.24971 2.75874 4.68218 13.75789 2 
 18.00000 7.00000 -4.46253 2.37177 4.68915 14.19960 1 
 18.00000 8.00000 -4.65668 1.92791 4.69652 14.68417 2 
 18.00000 9.00000 -4.77093 1.59541 4.70196 15.03579 1 
 18.00000 10.00000 -4.90630 1.04197 4.71080 15.60578 2 
 18.00000 11.00000 -4.94745 0.78271 4.71457 15.86827 1 
 18.00000 12.00000 -4.98995 0.21699 4.72286 16.43582 2 
 18.00000 13.00000 -4.98191 -0.17484 4.72870 16.82780 1 
 18.00000 14.00000 -4.90900 -0.77839 4.73753 17.43603 2 
