{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
   1.23053   2.1212E+03  4.2988E+17   9.8420
   1.23075   2.3338E+03  8.7733E+17   7.8489
   1.23699   1.8550E+03  7.7875E+17   8.7565
   1.23706   1.8808E+03  7.8213E+17   8.9198
   1.24417   4.4849E+03  1.6903E+18   7.9281
   1.24428   4.3550E+03  1.6617E+18   7.8845
   1.24531   4.0684E+03  1.2024E+18   9.7291
   1.24594   4.1417E+03  1.2264E+18   8.6547
   1.25130   4.5945E+03  1.3834E+18   7.2753
   1.25144   1.7026E+03  4.0969E+17   9.0432
   1.25249   1.6146E+03  3.8318E+17   9.7938
   1.25314   1.4381E+03  3.6020E+17   8.9211
   1.25968   1.3827E+03  4.1757E+17   7.2453
   1.26679   1.4051E+03  3.7240E+17   7.9837
   1.28742   1.5791E+03  4.0673E+17   7.6895
   1.30819   1.6611E+03  4.4952E+17   6.2713
   1.32089   1.2882E+03  2.4701E+17  11.0473
   1.32136   1.1702E+03  3.5718E+17   4.3600
{END}
