{NUMBER OF COLUMNS}       3
*       PSIn        Density         Te
*                    (m-3)         (eV)
    0.916580    4.32E+19      155.36
    0.916918    4.31E+19      153.93
    0.917147    4.33E+19      150.05
    0.917339    4.39E+19      149.99
    0.917802    4.36E+19      146.99
    0.919060    4.39E+19      146.31
    0.919552    4.46E+19      144.19
    0.919601    4.45E+19      143.80
    0.920505    4.46E+19      141.99
    0.920787    4.47E+19      139.91
    0.921211    4.51E+19      143.59
    0.922066    4.64E+19      149.56
    0.923347    4.69E+19      148.46
    0.927147    4.80E+19      152.26
    0.927186    4.78E+19      152.33
    0.929594    4.83E+19      154.88
    0.929752    5.00E+19      158.48
    0.930685    5.16E+19      164.30
    0.931822    5.12E+19      163.37
    0.932974    5.26E+19      167.34
    0.935829    5.22E+19      165.58
    0.936365    5.23E+19      164.57
    0.937938    5.21E+19      161.58
    0.938789    5.19E+19      159.92
    0.939389    5.18E+19      156.93
    0.941012    5.20E+19      156.46
    0.942154    5.15E+19      155.10
    0.944051    5.07E+19      152.34
    0.945105    4.92E+19      145.43
    0.945639    4.91E+19      143.06
    0.947544    4.80E+19      141.09
    0.947633    4.58E+19      133.14
    0.949765    4.41E+19      125.56
    0.950896    4.37E+19      122.69
    0.951785    4.37E+19      120.04
    0.952829    4.20E+19      112.71
    0.953381    4.18E+19      110.85
    0.955386    3.93E+19      104.59
    0.955620    3.86E+19      101.66
    0.955835    3.68E+19       94.75
    0.958051    3.46E+19       88.79
    0.958246    3.40E+19       86.50
    0.958997    3.40E+19       82.90
    0.959007    3.40E+19       81.48
    0.959172    3.32E+19       81.75
    0.959335    3.25E+19       79.16
    0.959479    3.24E+19       75.73
    0.960422    3.21E+19       72.94
    0.961168    3.17E+19       71.71
    0.961360    3.27E+19       74.38
    0.962374    3.23E+19       73.06
    0.962626    3.21E+19       72.03
    0.963420    3.33E+19       74.91
    0.965193    3.46E+19       77.62
    0.965336    3.38E+19       75.54
    0.965389    3.27E+19       74.04
    0.966380    3.39E+19       76.86
    0.967715    3.36E+19       75.37
    0.968596    3.45E+19       78.08
    0.969886    3.37E+19       75.99
    0.970062    3.50E+19       78.31
    0.970759    3.55E+19       80.17
    0.971852    3.50E+19       78.44
    0.972835    3.40E+19       77.29
    0.973685    3.34E+19       75.85
    0.974033    3.29E+19       73.25
    0.974374    3.21E+19       72.03
    0.975649    3.09E+19       71.37
    0.975865    2.97E+19       68.50
    0.977828    2.97E+19       67.01
    0.978100    2.91E+19       66.50
    0.978805    2.80E+19       64.93
    0.978936    2.68E+19       62.84
    0.979145    2.67E+19       62.05
    0.979980    2.56E+19       59.55
    0.981213    2.51E+19       58.18
    0.981335    2.44E+19       56.88
    0.983277    2.31E+19       54.29
    0.983295    2.20E+19       52.65
    0.983682    2.12E+19       50.20
    0.983722    2.11E+19       50.16
    0.984068    2.02E+19       48.93
    0.984264    1.97E+19       47.66
    0.985478    1.94E+19       46.75
    0.986266    1.87E+19       45.55
    0.986848    1.78E+19       43.21
    0.987029    1.68E+19       42.32
    0.988225    1.65E+19       40.50
    0.988427    1.60E+19       38.33
    0.989187    1.60E+19       38.42
    0.989328    1.50E+19       36.17
    0.990162    1.43E+19       33.84
    0.990634    1.43E+19       31.94
    0.991131    1.42E+19       30.76
    0.992195    1.33E+19       29.13
    0.992589    1.32E+19       28.97
    0.992648    1.27E+19       27.38
    0.993548    1.25E+19       26.09
    0.994408    1.29E+19       25.59
    0.994456    1.24E+19       23.70
    0.995341    1.24E+19       23.72
    0.996271    1.21E+19       21.70
    0.997100    1.23E+19       20.48
    0.997321    1.23E+19       20.07
    0.997600    1.23E+19       18.30
    0.999023    1.20E+19       16.90
    0.999185    1.01E+19       14.47
    0.999505    1.23E+19       22.69
    0.999848    1.85E+19       11.28
    1.000154    4.59E+18        8.36
    1.001093    1.20E+19       19.12
    1.001206    1.27E+19       12.51
    1.002028    1.82E+19       11.36
    1.002793    1.21E+19       16.29
    1.003614    1.74E+19       11.89
    1.041311    2.84E+18        6.38
{END}
