                Process 1     Process 2     Process 3     Process 4     Process 5     Process 6     Process 7     Process 8     Process 9     Process 10    Process 11    Process 12    Process 13    Process 14    Process 15    Process 16    Process 17    Process 18    Process 19 
     RDE       3.600000E-01  3.150000E-01  1.400000E-01  7.300000E-02  6.800000E-02  4.400000E-02  2.560000E-01  5.150000E-01  1.250000E-01  4.800000E-02  5.600000E-02  1.950000E-01  6.750000E-01  4.000000E-02  5.600000E-02  2.100000E-02  1.300000E-02  9.000000E-02  9.100000E-01
     eth                                                                                                                                                                                                                                                                               
      E      
 1.299942E+00  1.390952E-09  2.236718E-10  5.092272E-10  2.093288E-11  2.572323E-11  2.236655E-11  1.976090E-11  1.319894E-11  9.646665E-12  1.158975E-12  6.553043E-13  4.327489E-11  6.797722E-11  1.555230E-13  1.248570E-11  5.234122E-13  3.398127E-13  1.931159E-11  2.245117E-10
 1.460686E+00  2.101474E-09  4.372446E-10  7.791541E-10  4.604339E-11  5.460941E-11  4.569733E-11  4.158134E-11  3.353309E-11  2.029997E-11  2.970580E-12  1.861626E-12  8.009039E-11  1.443549E-10  5.100475E-13  2.308109E-11  1.353368E-12  8.730839E-13  3.467445E-11  3.916790E-10
 1.641307E+00  3.055961E-09  7.927472E-10  1.144429E-09  9.260911E-11  1.064586E-10  8.612870E-11  8.151173E-11  7.700851E-11  3.979572E-11  6.874332E-12  4.712603E-12  1.398511E-10  2.827621E-10  1.463074E-12  4.026871E-11  3.147572E-12  2.019269E-12  5.875177E-11  6.485987E-10
 1.844263E+00  4.292875E-09  1.344434E-09  1.620363E-09  1.720511E-10  1.924140E-10  1.511205E-10  1.499193E-10  1.616983E-10  7.319608E-11  1.453014E-11  1.076973E-11  2.317390E-10  5.155868E-10  3.726172E-12  6.668396E-11  6.663634E-12  4.254087E-12  9.452586E-11  1.024668E-09
 2.072315E+00  5.844215E-09  2.148924E-09  2.219665E-09  2.978951E-10  3.251936E-10  2.488453E-10  2.603519E-10  3.136022E-10  1.271162E-10  2.834110E-11  2.247757E-11  3.662790E-10  8.822329E-10  8.538597E-12  1.053477E-10  1.297878E-11  8.250324E-12  1.452022E-10  1.551395E-09
 2.328566E+00  7.732796E-09  3.259052E-09  2.951360E-09  4.845344E-10  5.178339E-10  3.873330E-10  4.293198E-10  5.668377E-10  2.096180E-10  5.147751E-11  4.328681E-11  5.547449E-10  1.426809E-09  1.781499E-11  1.594957E-10  2.347681E-11  1.486807E-11  2.139829E-10  2.260237E-09
 2.616505E+00  9.970223E-09  4.717704E-09  3.820007E-09  7.456032E-10  7.821784E-10  5.735284E-10  6.756245E-10  9.624788E-10  3.298819E-10  8.777322E-11  7.762104E-11  8.083830E-10  2.194744E-09  3.420102E-11  2.323564E-10  3.977057E-11  2.510528E-11  3.038154E-10  3.180184E-09
 2.940048E+00  1.255572E-08  6.552751E-09  4.825256E-09  1.092283E-09  1.127410E-09  8.124429E-10  1.019265E-09  1.546037E-09  4.976730E-10  1.414922E-10  1.306549E-10  1.137544E-09  3.228846E-09  6.098442E-11  3.269012E-10  6.356599E-11  4.001306E-11  4.171481E-10  4.335373E-09
 3.303599E+00  1.547588E-08  8.773866E-09  5.961766E-09  1.531865E-09  1.558895E-09  1.106546E-09  1.480030E-09  2.363898E-09  7.226542E-10  2.169942E-10  2.079199E-10  1.550825E-09  4.565379E-09  1.018458E-10  4.455985E-10  9.649009E-11  6.058954E-11  5.557192E-10  5.743004E-09
 3.712105E+00  1.870524E-08  1.137150E-08  7.219467E-09  2.066825E-09  2.077527E-09  1.455478E-09  2.075948E-09  3.459249E-09  1.013628E-09  3.183497E-10  3.147973E-10  2.054327E-09  6.230725E-09  1.604814E-10  5.902003E-10  1.399141E-10  8.767164E-11  7.204027E-10  7.411780E-09
