# AUG16Fluids FromSolPSToSteve.py generated @ Monday, 07. January 2013 09:19
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09           z10           z11           z12           z13           z14           z15           z16
   41    1  1.5026E+00 -1.0788E+00 -4.967854E+03 -2.170326E+03 -1.387437E+03 -6.530148E+02 -1.477240E+02  2.162711E+02  4.499238E+02 -4.363036E+03 -2.338335E+03 -1.808203E+03 -1.645867E+03 -5.509431E+02 -6.420338E+00  3.191465E+02  4.917776E+02  7.411023E+02
   42    1  1.5226E+00 -1.0952E+00 -3.898268E+03 -1.039641E+03  9.808002E+01  8.629250E+02  1.398436E+03  1.793416E+03  2.029313E+03 -2.972510E+03 -9.363127E+02 -8.062586E+02 -4.000844E+02  9.515214E+02  1.557735E+03  1.905371E+03  2.069543E+03  2.343581E+03
   43    1  1.5397E+00 -1.1107E+00 -2.830457E+03  1.281098E+02  1.579099E+03  2.333122E+03  2.876299E+03  3.284960E+03  3.519009E+03 -1.612784E+03  4.131088E+02  1.412030E+02  7.694124E+02  2.400143E+03  3.049297E+03  3.402421E+03  3.557403E+03  3.844150E+03
   44    1  1.5540E+00 -1.1248E+00 -1.753552E+03  1.360315E+03  3.046756E+03  3.739520E+03  4.253908E+03  4.645973E+03  4.867449E+03 -2.700885E+02  1.722710E+03  1.048671E+03  1.874785E+03  3.781427E+03  4.438073E+03  4.768417E+03  4.905650E+03  5.188456E+03
   45    1  1.5661E+00 -1.1373E+00 -8.866856E+02  2.568451E+03  4.429822E+03  5.019214E+03  5.465619E+03  5.805047E+03  5.996442E+03  9.918485E+02  2.931394E+03  1.857516E+03  2.857773E+03  5.027926E+03  5.656334E+03  5.933363E+03  6.037683E+03  6.297973E+03
   46    1  1.5768E+00 -1.1485E+00  1.256087E+01  3.897992E+03  5.957308E+03  6.416167E+03  6.763884E+03  7.019961E+03  7.170940E+03  2.350833E+03  4.247779E+03  2.704991E+03  3.876441E+03  6.364559E+03  6.954315E+03  7.160047E+03  7.222953E+03  7.456728E+03
   47    1  1.5862E+00 -1.1586E+00  9.904287E+02  5.247246E+03  7.491571E+03  7.836952E+03  8.091370E+03  8.260060E+03  8.374700E+03  3.709337E+03  5.594145E+03  3.485731E+03  4.825001E+03  7.704261E+03  8.284788E+03  8.430983E+03  8.455182E+03  8.655114E+03
   48    1  1.5948E+00 -1.1681E+00  2.193351E+03  6.912458E+03  9.674036E+03  1.006825E+04  1.017879E+04  1.012122E+04  1.008030E+04  5.457369E+03  7.513994E+03  4.314480E+03  5.991503E+03  9.496960E+03  1.002234E+04  9.988989E+03  9.849002E+03  9.896815E+03
   49    1  1.6031E+00 -1.1773E+00  2.818676E+03  8.136216E+03  1.196433E+04  1.237370E+04  1.227301E+04  1.197325E+04  1.177361E+04  7.625629E+03  9.626456E+03  4.580816E+03  6.778039E+03  1.070311E+04  1.109055E+04  1.088877E+04  1.061932E+04  1.056056E+04
   50    1  1.6072E+00 -1.1819E+00  3.211513E+04  1.177803E+04  1.180752E+04  1.183667E+04  1.181922E+04  1.177189E+04  1.177189E+04  2.039121E+04  2.039121E+04  2.556533E+04  2.556533E+04  2.556533E+04  2.556533E+04  2.556533E+04  2.556533E+04  2.556533E+04
    1    2  1.2452E+00 -1.0954E+00 -2.503295E+05 -2.350321E+05 -2.350363E+05 -2.350102E+05 -2.349879E+05 -2.349697E+05 -2.349545E+05 -2.348675E+05 -2.348242E+05 -2.498655E+05 -2.498655E+05 -2.498655E+05 -2.498655E+05 -2.498655E+05 -2.498655E+05 -2.498655E+05
    2    2  1.2487E+00 -1.0934E+00 -1.061698E+04 -7.922105E+03 -7.356571E+03 -5.845785E+03 -4.634972E+03 -3.703982E+03 -2.972960E+03 -1.013751E+04 -6.792308E+03 -7.767732E+03 -7.941128E+03 -6.570237E+03 -5.502950E+03 -4.582037E+03 -3.798002E+03 -3.145330E+03
    3    2  1.2558E+00 -1.0893E+00 -1.062914E+04 -7.926776E+03 -7.551770E+03 -6.278449E+03 -5.230519E+03 -4.472724E+03 -3.908045E+03 -1.049645E+04 -7.618506E+03 -7.750107E+03 -8.003621E+03 -6.927185E+03 -6.130022E+03 -5.314264E+03 -4.715177E+03 -4.250009E+03
    4    2  1.2637E+00 -1.0847E+00 -1.011181E+04 -7.836875E+03 -7.548652E+03 -6.433913E+03 -5.535338E+03 -4.881932E+03 -4.409269E+03 -1.051571E+04 -7.952398E+03 -7.519384E+03 -7.895623E+03 -6.909150E+03 -6.160737E+03 -5.554265E+03 -5.071981E+03 -4.702036E+03
    5    2  1.2726E+00 -1.0797E+00 -1.007310E+04 -7.776520E+03 -7.547216E+03 -6.542438E+03 -5.754371E+03 -5.153429E+03 -4.714614E+03 -1.052952E+04 -8.112324E+03 -7.327360E+03 -7.792569E+03 -6.893486E+03 -6.198755E+03 -5.663087E+03 -5.232306E+03 -4.885013E+03
    6    2  1.2830E+00 -1.0741E+00 -9.980659E+03 -7.671048E+03 -7.511060E+03 -6.567307E+03 -5.881152E+03 -5.382866E+03 -5.014898E+03 -1.049066E+04 -8.149992E+03 -7.088952E+03 -7.661609E+03 -6.857518E+03 -6.209059E+03 -5.737476E+03 -5.390048E+03 -5.115630E+03
    7    2  1.2952E+00 -1.0677E+00 -9.853352E+03 -7.466194E+03 -7.379843E+03 -6.530530E+03 -5.890988E+03 -5.444958E+03 -5.134736E+03 -1.036088E+04 -8.116136E+03 -6.810672E+03 -7.430217E+03 -6.728712E+03 -6.159709E+03 -5.730688E+03 -5.411713E+03 -5.173817E+03
    8    2  1.3097E+00 -1.0605E+00 -9.679058E+03 -7.210019E+03 -7.169021E+03 -6.408655E+03 -5.831834E+03 -5.425155E+03 -5.136686E+03 -1.015119E+04 -8.002419E+03 -6.516888E+03 -7.140833E+03 -6.522274E+03 -6.022431E+03 -5.644578E+03 -5.360812E+03 -5.146095E+03
    9    2  1.3269E+00 -1.0528E+00 -9.374645E+03 -6.881743E+03 -6.855565E+03 -6.157620E+03 -5.629200E+03 -5.255891E+03 -4.986458E+03 -9.838222E+03 -7.762470E+03 -6.179140E+03 -6.768826E+03 -6.202849E+03 -5.747526E+03 -5.403828E+03 -5.143306E+03 -4.942294E+03
   10    2  1.3469E+00 -1.0448E+00 -9.161779E+03 -6.496606E+03 -6.466026E+03 -5.806752E+03 -5.310904E+03 -4.959180E+03 -4.698655E+03 -9.443775E+03 -7.411263E+03 -5.810282E+03 -6.342672E+03 -5.802559E+03 -5.373766E+03 -5.052204E+03 -4.805010E+03 -4.607533E+03
   11    2  1.3691E+00 -1.0380E+00 -8.645977E+03 -6.074437E+03 -6.034194E+03 -5.399667E+03 -4.934932E+03 -4.615517E+03 -4.386167E+03 -8.995104E+03 -6.989162E+03 -5.419787E+03 -5.894271E+03 -5.360184E+03 -4.952174E+03 -4.659051E+03 -4.441963E+03 -4.273387E+03
   12    2  1.3917E+00 -1.0337E+00 -8.327020E+03 -5.652170E+03 -5.613765E+03 -5.009764E+03 -4.588896E+03 -4.319874E+03 -4.144395E+03 -8.541517E+03 -6.575112E+03 -5.041034E+03 -5.473507E+03 -4.944427E+03 -4.567913E+03 -4.319429E+03 -4.152925E+03 -4.035877E+03
   13    2  1.4138E+00 -1.0330E+00 -7.921822E+03 -5.215090E+03 -5.171569E+03 -4.587791E+03 -4.197138E+03 -3.960166E+03 -3.816057E+03 -8.066323E+03 -6.128710E+03 -4.652462E+03 -5.045273E+03 -4.504334E+03 -4.146986E+03 -3.927732E+03 -3.793284E+03 -3.702922E+03
   14    2  1.5208E+00 -5.0368E-01  1.488429E+04  2.655371E+04  2.649019E+04  2.631026E+04  2.588556E+04  2.006840E+04  2.016252E+04  2.615751E+04  1.545781E+04  1.133187E+05  1.256913E+05  1.208343E+05  4.326237E+04  2.048838E+04  1.971972E+04  2.080778E+04
   15    2  1.5017E+00 -4.9729E-01  1.489318E+04  2.622429E+04  2.619243E+04  2.610059E+04  2.586984E+04  2.032401E+04  2.058751E+04  3.154718E+04  1.556489E+04  1.100180E+05  1.310131E+05  1.275715E+05  4.150568E+04  2.074941E+04  2.017337E+04  2.143459E+04
   16    2  1.4548E+00 -4.7215E-01  1.478401E+04  2.524099E+04  2.525879E+04  2.531737E+04  2.542903E+04  2.061549E+04  2.121559E+04  3.135233E+04  1.566974E+04  8.872780E+04  1.197476E+05  1.294942E+05  3.716353E+04  2.097654E+04  2.080785E+04  2.233058E+04
   17    2  1.3821E+00 -4.0886E-01  1.498107E+04  2.395806E+04  2.406502E+04  2.436176E+04  2.498637E+04  2.142740E+04  2.256681E+04  2.296159E+04  1.622131E+04 -2.158302E+04  6.561873E+03  1.000201E+05  3.192660E+04  2.163158E+04  2.214354E+04  2.405904E+04
   18    2  1.3094E+00 -3.0176E-01  1.545362E+04  2.284632E+04  2.304658E+04  2.357196E+04  2.466031E+04  2.221153E+04  2.357901E+04  2.356967E+03  1.702172E+04 -7.873397E+04 -7.539106E+04  1.270127E+03  2.718345E+04  2.229092E+04  2.324324E+04  2.522650E+04
   19    2  1.2558E+00 -1.5888E-01  1.593137E+04  2.179697E+04  2.206054E+04  2.273154E+04  2.411221E+04  2.230649E+04  2.342045E+04 -6.770368E+03  1.765506E+04 -7.735105E+04 -7.518677E+04 -6.209521E+04  2.310489E+04  2.236555E+04  2.328463E+04  2.490360E+04
   20    2  1.2329E+00  7.0174E-03  1.622592E+04  2.058429E+04  2.088296E+04  2.163440E+04  2.317564E+04  2.168618E+04  2.217886E+04 -3.266204E+03  1.792178E+04 -7.237923E+04 -7.177304E+04 -7.238057E+04  1.881640E+04  2.179330E+04  2.234846E+04  2.319219E+04
   21    2  1.2481E+00  1.8249E-01  1.623261E+04  1.890082E+04  1.920222E+04  1.997155E+04  2.155062E+04  2.013925E+04  1.978557E+04 -2.712396E+02  1.770723E+04 -6.782699E+04 -6.822761E+04 -7.791291E+04  1.302004E+04  2.030972E+04  2.024001E+04  2.002770E+04
