    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 26/07/01
 -11.81348 -11.82703 -11.83950 -11.85419 -11.86393 -11.87337 -11.88608 -11.89566
 -11.90432 -11.91388 -11.91966 -11.92406 -11.92757 -11.92810 -11.92608 -11.91879
 -11.90901 -11.89487 -11.86857 -11.84189 -11.80853 -11.75160 -11.69664 -11.62997
 -11.63491 -11.65806 -11.67933 -11.70533 -11.72421 -11.74349 -11.77059 -11.79206
 -11.81285 -11.83859 -11.85711 -11.87501 -11.89731 -11.91267 -11.92628 -11.94075
 -11.94829 -11.95237 -11.95204 -11.94700 -11.93697 -11.91449 -11.88895 -11.85393
 -11.31385 -11.34481 -11.37432 -11.41103 -11.43767 -11.46581 -11.50706 -11.54071
 -11.57475 -11.61946 -11.65371 -11.68986 -11.73959 -11.77748 -11.81557 -11.86470
 -11.90019 -11.93488 -11.97948 -12.01186 -12.04260 -12.08193 -12.10960 -12.13020
 -11.21554 -11.24774 -11.27831 -11.31656 -11.34494 -11.37536 -11.41964 -11.45516
 -11.49161 -11.54092 -11.57918 -11.61934 -11.67593 -11.72080 -11.76663 -11.82770
 -11.87372 -11.91979 -11.98094 -12.02759 -12.07516 -12.14103 -12.19153 -12.23728
 -11.19671 -11.22916 -11.25993 -11.29881 -11.32808 -11.35923 -11.40428 -11.44082
 -11.47894 -11.53035 -11.57012 -11.61285 -11.67421 -11.72327 -11.77345 -11.84101
 -11.89328 -11.94630 -12.01756 -12.07308 -12.13101 -12.21340 -12.27891 -12.34203
 -11.22839 -11.26059 -11.29178 -11.33126 -11.36027 -11.39092 -11.43567 -11.47258
 -11.51138 -11.56384 -11.60452 -11.64835 -11.71171 -11.76261 -11.81452 -11.88438
 -11.93882 -11.99470 -12.07018 -12.12892 -12.19066 -12.27951 -12.35109 -12.42162
 -11.32009 -11.35189 -11.38321 -11.42293 -11.45166 -11.48181 -11.52588 -11.56250
 -11.60117 -11.65414 -11.69590 -11.74053 -11.80454 -11.85635 -11.91017 -11.98351
 -12.04033 -12.09852 -12.17766 -12.23958 -12.30444 -12.39823 -12.47477 -12.55071
 -11.49182 -11.52248 -11.55381 -11.59376 -11.62173 -11.65054 -11.69378 -11.73073
 -11.76874 -11.82070 -11.86275 -11.90715 -11.97083 -12.02355 -12.07862 -12.15341
 -12.21139 -12.27128 -12.35238 -12.41485 -12.48015 -12.57409 -12.65003 -12.72537
 -11.63122 -11.66148 -11.69258 -11.73177 -11.75891 -11.78769 -11.83034 -11.86580
 -11.90359 -11.95576 -11.99679 -12.04046 -12.10361 -12.15550 -12.20991 -12.28459
 -12.34247 -12.40089 -12.48053 -12.54327 -12.60658 -12.69586 -12.76872 -12.83988
 -11.79741 -11.82653 -11.85697 -11.89633 -11.92408 -11.95249 -11.99350 -12.02770
 -12.06422 -12.11549 -12.15628 -12.19880 -12.25965 -12.31016 -12.36308 -12.43546
 -12.49155 -12.54840 -12.62545 -12.68519 -12.74510 -12.82818 -12.89427 -12.95767
 -12.00492 -12.03279 -12.06278 -12.10216 -12.12962 -12.15703 -12.19616 -12.22908
 -12.26453 -12.31436 -12.35368 -12.39427 -12.45228 -12.50045 -12.55025 -12.61844
 -12.67207 -12.72606 -12.79768 -12.85212 -12.90636 -12.98021 -13.03744 -13.09135
 -12.16187 -12.18892 -12.21784 -12.25645 -12.28415 -12.31114 -12.34858 -12.38023
