    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 04/11/99
  -8.38699  -8.38285  -8.37631  -8.37046  -8.36342  -8.35126  -8.33913  -8.32405
  -8.42560  -8.42545  -8.42486  -8.42412  -8.42410  -8.42418  -8.42383  -8.42312
  -8.42245  -8.42129  -8.41993  -8.41854  -8.41658  -8.41464  -8.41202  -8.40807
  -8.40488  -8.40068  -8.39399  -8.38849  -8.38171  -8.36991  -8.35829  -8.34361
  -8.44991  -8.44952  -8.44801  -8.44660  -8.44743  -8.44868  -8.44914  -8.44834
  -8.44758  -8.44651  -8.44509  -8.44335  -8.44085  -8.43887  -8.43671  -8.43397
  -8.43155  -8.42705  -8.41962  -8.41435  -8.40781  -8.39636  -8.38534  -8.37112
  -8.46881  -8.46825  -8.46609  -8.46419  -8.46564  -8.46771  -8.46875  -8.46788
  -8.46706  -8.46605  -8.46460  -8.46261  -8.45972  -8.45771  -8.45588  -8.45400
  -8.45212  -8.44742  -8.43945  -8.43436  -8.42797  -8.41678  -8.40619  -8.39228
  -8.49706  -8.49626  -8.49319  -8.49060  -8.49291  -8.49614  -8.49800  -8.49703
  -8.49613  -8.49522  -8.49370  -8.49137  -8.48793  -8.48587  -8.48450  -8.48385
  -8.48272  -8.47773  -8.46902  -8.46417  -8.45801  -8.44717  -8.43718  -8.42372
  -8.53447  -8.53335  -8.52913  -8.52569  -8.52908  -8.53378  -8.53667  -8.53557
  -8.53457  -8.53377  -8.53218  -8.52941  -8.52528  -8.52317  -8.52238  -8.52326
  -8.52309  -8.51774  -8.50808  -8.50354  -8.49766  -8.48727  -8.47804  -8.46515
  -8.55983  -8.55851  -8.55353  -8.54952  -8.55363  -8.55929  -8.56286  -8.56169
  -8.56061  -8.55988  -8.55825  -8.55519  -8.55060  -8.54846  -8.54806  -8.54994
  -8.55041  -8.54481  -8.53453  -8.53019  -8.52450  -8.51440  -8.50568  -8.49316
  -8.58714  -8.58560  -8.57982  -8.57521  -8.58007  -8.58676  -8.59104  -8.58978
  -8.58864  -8.58799  -8.58631  -8.58294  -8.57787  -8.57568  -8.57569  -8.57865
  -8.57978  -8.57393  -8.56299  -8.55887  -8.55337  -8.54359  -8.53540  -8.52327
  -8.61854  -8.61676  -8.61006  -8.60477  -8.61049  -8.61835  -8.62344  -8.62209
  -8.62086  -8.62030  -8.61856  -8.61485  -8.60923  -8.60700  -8.60747  -8.61165
  -8.61354  -8.60740  -8.59571  -8.59183  -8.58656  -8.57713  -8.56954  -8.55787
C-------------------------------------------------------------------------------
C
C     RATE COEFFICIENTS IN UNITS OF CM**3 S-1 
C     --------------------------------------- 
C
C     INPUT DATA
C         FOR YEAR: 96 AND WITH PREFIX: pj
C         FOR he RECOMBINING ION CHARGE(S)  1 TO  2
C
C     CODE     : ADAS404
C     PRODUCER : Martin O'Mullane              
C     DATE     : 04/11/99
C
C-------------------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF11 DATA - SCCS info: @(#)$Header: /home/adascvs/adas/adf11/scd96/scd96_he.dat,v 2.1 2004/07/07 00:12:45 whitefor Exp $ Date $Date: 2004/07/07 00:12:45 $
C---------------------------------------------------------------------------------
