%  n/a	   m	 part/m2/s	 part/m2/s	 part/m2/s	 part/m2/s	  eV	  eV	 m-3	 m-3	   V	   V	W/m2	W/m2
%     Pr#	   dsSep	      js	  js_err	    jsur	jsur_err	      Te	  Te_err	      ne	  ne_err	      Vf	  Vf_err	    Psur	Psur_err
 23	 6.017E-04	 1.893E+24	 5.487E+23	 6.296E+22	       Inf	 1.108E+01	 2.924E+00	 5.751E+19	       Inf	 7.549E+00	 3.467E+00	 9.501E+05	 4.572E+05
 23	 5.602E-03	 4.650E+24	 1.030E+24	 1.637E+23	       Inf	 3.581E+01	 1.447E+01	 8.091E+19	       Inf	-7.283E-01	 3.748E+00	 8.044E+06	 4.749E+06
 23	 1.060E-02	 6.230E+24	 1.070E+24	 2.186E+23	       Inf	 5.560E+01	 2.139E+01	 8.774E+19	       Inf	-3.087E+00	 2.461E+00	 1.649E+07	 8.832E+06
 23	 1.560E-02	 4.012E+24	 6.555E+23	 1.446E+23	       Inf	 3.699E+01	 1.313E+01	 6.911E+19	       Inf	 1.866E+00	 1.129E+00	 7.137E+06	 3.345E+06
 23	 2.060E-02	 2.784E+24	 4.195E+23	 1.052E+23	       Inf	 2.779E+01	 7.269E+00	 5.465E+19	       Inf	 4.483E+00	 1.413E+00	 3.830E+06	 1.505E+06
 23	 2.560E-02	 1.646E+24	 1.300E+23	 6.511E+22	       Inf	 1.743E+01	 4.209E+00	 4.083E+19	 4.057E+18	 4.794E+00	 7.864E-01	 1.465E+06	 4.223E+05
 23	 3.060E-02	 1.384E+24	 1.150E+23	 5.581E+22	       Inf	 1.592E+01	 2.818E+00	 3.565E+19	 2.705E+18	 3.491E+00	 1.101E+00	 1.146E+06	 2.719E+05
 23	 3.560E-02	 1.350E+24	 4.252E+23	 5.578E+22	       Inf	 1.764E+01	 7.936E+00	 3.305E+19	 3.561E+18	 8.951E-01	 1.112E+00	 1.425E+06	 1.474E+06
 23	 4.060E-02	 1.022E+24	 1.147E+23	 4.357E+22	       Inf	 1.413E+01	 2.119E+00	 2.781E+19	 2.116E+18	-5.773E-01	 8.867E-01	 7.967E+05	 1.868E+05
 23	 4.560E-02	 7.461E+23	 5.666E+22	 3.311E+22	       Inf	 1.107E+01	 1.452E+00	 2.302E+19	 2.004E+18	-1.276E+00	 8.465E-01	 4.704E+05	 8.269E+04
 23	 5.060E-02	 6.129E+23	 6.850E+22	 2.817E+22	       Inf	 1.045E+01	 1.620E+00	 1.951E+19	 2.673E+18	-1.964E+00	 8.287E-01	 3.762E+05	 6.701E+04
 23	 5.560E-02	 4.966E+23	 6.554E+22	 2.337E+22	       Inf	 9.565E+00	 1.502E+00	 1.649E+19	 2.053E+18	-1.920E+00	 8.097E-01	 2.882E+05	 7.077E+04
 23	 6.060E-02	 4.766E+23	 1.508E+23	 2.260E+22	       Inf	 1.085E+01	 4.937E+00	 1.483E+19	 1.503E+18	-2.158E+00	 8.051E-01	 3.551E+05	 3.765E+05
