%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIE	 RMDE	 RHOE	 PSIE	  TIE	 DTIE
  3.706E+00	 3.706E+00	 8.442E-01	 7.529E-01	 1.442E+00	 2.063E-02
  3.711E+00	 3.711E+00	 8.498E-01	 7.618E-01	 1.328E+00	 3.001E-02
  3.712E+00	 3.712E+00	 8.510E-01	 7.638E-01	 1.379E+00	 3.341E-02
  3.712E+00	 3.712E+00	 8.513E-01	 7.642E-01	 1.339E+00	 3.357E-02
  3.714E+00	 3.714E+00	 8.541E-01	 7.686E-01	 1.379E+00	 3.262E-02
  3.715E+00	 3.715E+00	 8.551E-01	 7.702E-01	 1.268E+00	 2.542E-02
  3.715E+00	 3.715E+00	 8.553E-01	 7.705E-01	 1.368E+00	 3.049E-02
  3.715E+00	 3.715E+00	 8.555E-01	 7.709E-01	 1.354E+00	 2.682E-02
  3.716E+00	 3.716E+00	 8.559E-01	 7.714E-01	 1.305E+00	 2.848E-02
  3.720E+00	 3.720E+00	 8.618E-01	 7.808E-01	 1.295E+00	 2.764E-02
  3.721E+00	 3.721E+00	 8.627E-01	 7.823E-01	 1.318E+00	 6.862E-02
  3.722E+00	 3.722E+00	 8.640E-01	 7.844E-01	 1.297E+00	 2.532E-02
  3.723E+00	 3.723E+00	 8.654E-01	 7.865E-01	 1.290E+00	 2.500E-02
  3.723E+00	 3.723E+00	 8.655E-01	 7.867E-01	 1.306E+00	 1.682E-02
  3.723E+00	 3.723E+00	 8.656E-01	 7.869E-01	 1.275E+00	 2.352E-02
  3.723E+00	 3.723E+00	 8.657E-01	 7.870E-01	 1.333E+00	 2.188E-02
  3.724E+00	 3.724E+00	 8.664E-01	 7.882E-01	 1.314E+00	 2.369E-02
  3.725E+00	 3.725E+00	 8.672E-01	 7.895E-01	 1.299E+00	 2.545E-02
  3.725E+00	 3.725E+00	 8.673E-01	 7.896E-01	 1.291E+00	 2.620E-02
  3.726E+00	 3.726E+00	 8.686E-01	 7.917E-01	 1.281E+00	 2.651E-02
  3.726E+00	 3.726E+00	 8.689E-01	 7.922E-01	 1.259E+00	 2.546E-02
  3.726E+00	 3.726E+00	 8.693E-01	 7.928E-01	 1.343E+00	 2.782E-02
  3.731E+00	 3.731E+00	 8.750E-01	 8.018E-01	 1.303E+00	 3.403E-02
  3.732E+00	 3.732E+00	 8.762E-01	 8.038E-01	 1.307E+00	 3.524E-02
  3.732E+00	 3.732E+00	 8.765E-01	 8.042E-01	 1.344E+00	 3.872E-02
  3.734E+00	 3.734E+00	 8.794E-01	 8.088E-01	 1.347E+00	 3.511E-02
  3.735E+00	 3.735E+00	 8.804E-01	 8.105E-01	 1.312E+00	 3.246E-02
  3.735E+00	 3.735E+00	 8.805E-01	 8.106E-01	 1.321E+00	 3.230E-02
  3.735E+00	 3.735E+00	 8.808E-01	 8.110E-01	 1.296E+00	 3.041E-02
  3.736E+00	 3.736E+00	 8.810E-01	 8.115E-01	 1.297E+00	 3.260E-02
  3.740E+00	 3.740E+00	 8.871E-01	 8.211E-01	 1.249E+00	 3.026E-02
  3.741E+00	 3.741E+00	 8.878E-01	 8.223E-01	 1.257E+00	 3.412E-02
  3.741E+00	 3.741E+00	 8.878E-01	 8.224E-01	 1.246E+00	 6.845E-02
  3.742E+00	 3.742E+00	 8.890E-01	 8.242E-01	 1.255E+00	 3.430E-02
  3.742E+00	 3.742E+00	 8.891E-01	 8.244E-01	 1.301E+00	 3.178E-02
  3.742E+00	 3.742E+00	 8.893E-01	 8.247E-01	 1.273E+00	 3.217E-02
  3.743E+00	 3.743E+00	 8.907E-01	 8.269E-01	 1.293E+00	 2.931E-02
  3.743E+00	 3.743E+00	 8.908E-01	 8.271E-01	 1.244E+00	 2.675E-02
  3.743E+00	 3.743E+00	 8.908E-01	 8.271E-01	 1.306E+00	 1.931E-02
  3.743E+00	 3.743E+00	 8.909E-01	 8.273E-01	 1.280E+00	 2.388E-02
  3.744E+00	 3.744E+00	 8.915E-01	 8.283E-01	 1.252E+00	 2.596E-02
  3.744E+00	 3.744E+00	 8.919E-01	 8.289E-01	 1.274E+00	 3.160E-02
  3.745E+00	 3.745E+00	 8.924E-01	 8.297E-01	 1.253E+00	 2.805E-02
  3.745E+00	 3.745E+00	 8.925E-01	 8.299E-01	 1.271E+00	 3.000E-02
  3.745E+00	 3.745E+00	 8.930E-01	 8.306E-01	 1.292E+00	 3.100E-02
  3.745E+00	 3.745E+00	 8.931E-01	 8.307E-01	 1.275E+00	 2.745E-02
  3.745E+00	 3.745E+00	 8.933E-01	 8.311E-01	 1.318E+00	 2.946E-02
  3.746E+00	 3.746E+00	 8.938E-01	 8.319E-01	 1.279E+00	 3.064E-02
  3.746E+00	 3.746E+00	 8.939E-01	 8.320E-01	 1.253E+00	 2.930E-02
  3.746E+00	 3.746E+00	 8.942E-01	 8.325E-01	 1.224E+00	 2.859E-02
  3.746E+00	 3.746E+00	 8.946E-01	 8.332E-01	 1.273E+00	 2.945E-02
  3.750E+00	 3.750E+00	 8.997E-01	 8.413E-01	 1.213E+00	 2.691E-02
  3.751E+00	 3.751E+00	 9.003E-01	 8.423E-01	 1.191E+00	 3.391E-02
  3.751E+00	 3.751E+00	 9.006E-01	 8.427E-01	 1.299E+00	 7.721E-02
  3.752E+00	 3.752E+00	 9.016E-01	 8.443E-01	 1.172E+00	 2.973E-02
  3.752E+00	 3.752E+00	 9.016E-01	 8.444E-01	 1.283E+00	 2.855E-02
  3.752E+00	 3.752E+00	 9.018E-01	 8.448E-01	 1.159E+00	 2.930E-02
  3.753E+00	 3.753E+00	 9.034E-01	 8.472E-01	 1.240E+00	 2.642E-02
  3.753E+00	 3.753E+00	 9.034E-01	 8.472E-01	 1.249E+00	 1.698E-02
  3.753E+00	 3.753E+00	 9.035E-01	 8.475E-01	 1.254E+00	 2.198E-02
