   20    /BE+0 PHOTON EMISSIVITY COEFFICIENTS/
8254.1 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=    1
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 3.76D-09 1.31D-08 2.26D-08 2.81D-08 3.14D-08 3.45D-08 3.55D-08 3.42D-08
 3.71D-09 1.28D-08 2.19D-08 2.73D-08 3.06D-08 3.37D-08 3.49D-08 3.36D-08
 3.61D-09 1.21D-08 2.06D-08 2.57D-08 2.88D-08 3.20D-08 3.33D-08 3.23D-08
 3.49D-09 1.13D-08 1.91D-08 2.39D-08 2.69D-08 3.00D-08 3.15D-08 3.07D-08
 3.33D-09 1.03D-08 1.73D-08 2.17D-08 2.45D-08 2.75D-08 2.92D-08 2.86D-08
 3.06D-09 8.92D-09 1.48D-08 1.85D-08 2.10D-08 2.38D-08 2.55D-08 2.52D-08
 2.81D-09 7.81D-09 1.28D-08 1.59D-08 1.81D-08 2.06D-08 2.22D-08 2.21D-08
 2.49D-09 6.52D-09 1.04D-08 1.29D-08 1.47D-08 1.67D-08 1.82D-08 1.83D-08
 1.90D-09 4.51D-09 6.98D-09 8.55D-09 9.65D-09 1.10D-08 1.21D-08 1.24D-08
 1.38D-09 3.01D-09 4.54D-09 5.51D-09 6.20D-09 7.10D-09 7.87D-09 8.11D-09
2650.6 A    10   8 /FILMEM = WJD91#BE/TYPE = EXCIT    /INDM  = 1/ISEL=   13
 1.00D+11 2.00D+11 5.00D+11 1.00D+12 2.00D+12 5.00D+12 1.00D+13 2.00D+13
 5.00D+13 1.00D+14
 2.00D+00 5.00D+00 1.00D+01 1.50D+01 2.00D+01 3.00D+01 5.00D+01 8.00D+01
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00 0.00D+00
