# ITER#1542 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 61.0 ms
# ion temperature (eV)
   ix   iy      x           y           z01
   27    3  4.6042E+03 -1.1197E+03  1.724230E+03
   28    3  4.5178E+03 -7.7138E+02  1.724277E+03
   29    3  4.4465E+03 -4.1968E+02  1.724315E+03
   30    3  4.3893E+03 -6.5464E+01  1.724341E+03
   31    3  4.3484E+03  2.9069E+02  1.724358E+03
   32    3  4.3247E+03  6.4862E+02  1.724365E+03
   33    3  4.3161E+03  1.0072E+03  1.724362E+03
   34    3  4.3231E+03  1.3653E+03  1.724345E+03
   35    3  4.3474E+03  1.7213E+03  1.724318E+03
   36    3  4.3931E+03  2.0732E+03  1.724282E+03
   37    3  4.4630E+03  2.4181E+03  1.724235E+03
   38    3  4.5600E+03  2.7503E+03  1.724180E+03
   39    3  4.6895E+03  3.0586E+03  1.724119E+03
   40    3  4.8547E+03  3.3241E+03  1.724061E+03
   41    3  5.0526E+03  3.5264E+03  1.724014E+03
   42    3  5.2811E+03  3.6559E+03  1.723984E+03
   43    3  5.5464E+03  3.7110E+03  1.723972E+03
   44    3  5.8449E+03  3.6888E+03  1.723978E+03
   45    3  6.1557E+03  3.5950E+03  1.724003E+03
   46    3  6.4598E+03  3.4450E+03  1.724039E+03
   47    3  6.7469E+03  3.2513E+03  1.724080E+03
   48    3  7.0137E+03  3.0235E+03  1.724117E+03
   49    3  7.2582E+03  2.7691E+03  1.724148E+03
   50    3  7.4758E+03  2.4910E+03  1.724177E+03
   51    3  7.6641E+03  2.1911E+03  1.724201E+03
   52    3  7.8228E+03  1.8737E+03  1.724220E+03
   53    3  7.9493E+03  1.5423E+03  1.724234E+03
   54    3  8.0412E+03  1.1994E+03  1.724243E+03
   55    3  8.0988E+03  8.4888E+02  1.724247E+03
   56    3  8.1200E+03  4.9511E+02  1.724246E+03
   57    3  8.1004E+03  1.4153E+02  1.724243E+03
   58    3  8.0428E+03 -2.0822E+02  1.724235E+03
   59    3  7.9484E+03 -5.4922E+02  1.724222E+03
   60    3  7.8161E+03 -8.7671E+02  1.724205E+03
   61    3  7.6479E+03 -1.1875E+03  1.724182E+03
   62    3  7.4477E+03 -1.4793E+03  1.724154E+03
   63    3  7.2206E+03 -1.7509E+03  1.724122E+03
   64    3  6.9701E+03 -2.0000E+03  1.724084E+03
   65    3  6.6978E+03 -2.2253E+03  1.724040E+03
   66    3  6.4078E+03 -2.4277E+03  1.723990E+03
   67    3  6.1048E+03 -2.6019E+03  1.723937E+03
   68    3  5.8017E+03 -2.7278E+03  1.723893E+03
   69    3  5.5424E+03 -2.7704E+03  1.723876E+03
   70    3  5.4148E+03 -2.7596E+03  1.723881E+03
   71    3  5.0508E+03 -3.6957E+03  8.082343E-01
   72    3  5.1244E+03 -3.7520E+03  1.048276E+00
   73    3  5.2048E+03 -3.8420E+03  8.341006E-01
   74    3  5.2747E+03 -3.9436E+03  8.414492E-01
   75    3  5.3338E+03 -4.0421E+03  8.582659E-01
   76    3  5.3835E+03 -4.1318E+03  8.776130E-01
   77    3  5.4243E+03 -4.2090E+03  8.793416E-01
   78    3  5.4566E+03 -4.2723E+03  8.591621E-01
   79    3  5.4818E+03 -4.3228E+03  8.860924E-01
   80    3  5.5013E+03 -4.3625E+03  9.501805E-01
   81    3  5.5162E+03 -4.3934E+03  9.528324E-01
   82    3  5.5276E+03 -4.4171E+03  8.825371E-01
   83    3  5.5361E+03 -4.4348E+03  7.255944E-01
   84    3  5.5421E+03 -4.4475E+03  5.058368E-01
   85    3  5.5462E+03 -4.4562E+03  3.831219E-01
   86    3  5.5489E+03 -4.4619E+03  3.021088E-01
   87    3  5.5506E+03 -4.4657E+03  2.708475E-01
   88    3  5.5519E+03 -4.4683E+03  2.327805E-01
   89    3  5.5529E+03 -4.4704E+03  2.312824E-01
   90    3  5.5538E+03 -4.4724E+03  1.698018E-01
    1    4  4.1936E+03 -3.8567E+03  1.418673E-01
    2    4  4.1955E+03 -3.8559E+03  2.525114E-01
    3    4  4.1975E+03 -3.8551E+03  2.572791E-01
    4    4  4.2001E+03 -3.8541E+03  3.475681E-01
    5    4  4.2037E+03 -3.8526E+03  3.824693E-01
    6    4  4.2091E+03 -3.8504E+03  5.194197E-01
    7    4  4.2173E+03 -3.8470E+03  6.394105E-01
    8    4  4.2293E+03 -3.8421E+03  8.464076E-01
    9    4  4.2459E+03 -3.8354E+03  8.901884E-01
   10    4  4.2682E+03 -3.8264E+03  1.031160E+00
   11    4  4.2971E+03 -3.8149E+03  1.030899E+00
   12    4  4.3339E+03 -3.8004E+03  9.064258E-01
   13    4  4.3804E+03 -3.7825E+03  9.053643E-01
   14    4  4.4383E+03 -3.7607E+03  8.772034E-01
   15    4  4.5097E+03 -3.7350E+03  9.242281E-01
   16    4  4.5949E+03 -3.7064E+03  8.443999E-01
   17    4  4.6929E+03 -3.6773E+03  8.548032E-01
   18    4  4.8011E+03 -3.6528E+03  9.879876E-01
   19    4  4.9100E+03 -3.6426E+03  9.590699E-01
   20    4  4.9948E+03 -3.6507E+03  1.010484E+00
   21    4  5.3442E+03 -2.8063E+03  1.526701E+03
   22    4  5.2304E+03 -2.6998E+03  1.526719E+03
   23    4  5.0649E+03 -2.4597E+03  1.526778E+03
   24    4  4.9210E+03 -2.1476E+03  1.526862E+03
   25    4  4.7951E+03 -1.8127E+03  1.526944E+03
   26    4  4.6832E+03 -1.4709E+03  1.527015E+03
   27    4  4.5846E+03 -1.1249E+03  1.527077E+03
   28    4  4.4998E+03 -7.7542E+02  1.527128E+03
   29    4  4.4293E+03 -4.2278E+02  1.527168E+03
   30    4  4.3728E+03 -6.7740E+01  1.527197E+03
   31    4  4.3321E+03  2.8921E+02  1.527215E+03
   32    4  4.3081E+03  6.4787E+02  1.527222E+03
   33    4  4.2989E+03  1.0072E+03  1.527217E+03
   34    4  4.3050E+03  1.3660E+03  1.527199E+03
   35    4  4.3280E+03  1.7232E+03  1.527169E+03
   36    4  4.3717E+03  2.0767E+03  1.527129E+03
   37    4  4.4390E+03  2.4239E+03  1.527078E+03
