# ITER#1542 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 61.0 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
   61    1  7.6233E+03 -1.1723E+03 -1.424540E+02  1.417065E+03 -2.040028E+02  7.742507E+01  1.048461E+02  1.574811E+02  2.454876E+02  3.250558E+02  5.295960E+02
   62    1  7.4231E+03 -1.4604E+03 -1.592084E+02  7.937020E+02 -2.262620E+02  8.179981E+00  3.841796E+01  9.807717E+01  1.995539E+02  3.219925E+02  5.912681E+02
   63    1  7.1956E+03 -1.7276E+03 -1.716276E+02  4.150312E+02 -2.419663E+02 -1.025918E+02 -7.111927E+01 -5.722284E+00  1.084016E+02  2.888618E+02  6.369880E+02
   64    1  6.9444E+03 -1.9711E+03 -1.799971E+02  1.489906E+02 -2.512336E+02 -2.627522E+02 -2.318774E+02 -1.622469E+02 -3.622499E+01  2.228993E+02  6.708119E+02
   65    1  6.6712E+03 -2.1892E+03 -1.836748E+02  1.935675E+00 -2.529657E+02 -4.750845E+02 -4.451266E+02 -3.725808E+02 -2.361399E+02  1.229015E+02  6.931814E+02
   66    1  6.3795E+03 -2.3804E+03 -1.804951E+02 -8.516545E+01 -2.439462E+02 -7.451942E+02 -7.167252E+02 -6.425242E+02 -4.967742E+02 -1.523711E+01  7.008573E+02
   67    1  6.0760E+03 -2.5349E+03 -1.697881E+02 -1.420219E+02 -2.236812E+02 -1.066872E+03 -1.039903E+03 -9.643986E+02 -8.090759E+02 -1.856454E+02  6.961563E+02
   68    1  5.7833E+03 -2.6271E+03 -1.523956E+02 -1.744927E+02 -1.950975E+02 -1.387948E+03 -1.358577E+03 -1.278856E+03 -1.111539E+03 -3.548249E+02  6.782112E+02
   69    1  5.5581E+03 -2.6394E+03 -1.408658E+02 -1.876774E+02 -1.763814E+02 -1.653104E+03 -1.624321E+03 -1.540771E+03 -1.360684E+03 -4.867526E+02  6.825435E+02
   70    1  5.4620E+03 -2.6219E+03 -1.409221E+02 -1.914954E+02 -1.750479E+02 -1.780445E+03 -1.762400E+03 -1.685984E+03 -1.503311E+03 -5.536699E+02  7.096314E+02
   71    1  5.0368E+03 -3.7322E+03 -5.605607E+02 -4.411146E+02 -6.495233E+02 -5.702170E+02 -5.807589E+02 -6.677395E+02 -7.474113E+02 -7.779298E+02 -8.139059E+02
   72    1  5.1093E+03 -3.7836E+03  2.712890E+03 -7.678308E+01  4.258885E+02 -1.557149E+02  3.759219E+01  3.501162E+02  5.539560E+02  6.799535E+02  7.461585E+02
   73    1  5.1911E+03 -3.8676E+03  1.186465E+03  2.993906E+02  4.619692E+02  4.673942E+02  3.141171E+02  4.564000E+02  5.919844E+02  6.534177E+02  7.289086E+02
   74    1  5.2648E+03 -3.9669E+03  1.931929E+03  1.410711E+03  1.480227E+03  1.486668E+03  1.417278E+03  1.473510E+03  1.549107E+03  1.601990E+03  1.644033E+03
   75    1  5.3274E+03 -4.0657E+03  2.606339E+03  2.213998E+03  2.373480E+03  2.132739E+03  2.273949E+03  2.363361E+03  2.416160E+03  2.448748E+03  2.470303E+03
   76    1  5.3798E+03 -4.1563E+03  2.878865E+03  2.714194E+03  2.802892E+03  2.636913E+03  2.749724E+03  2.797834E+03  2.821069E+03  2.833216E+03  2.840184E+03
   77    1  5.4222E+03 -4.2339E+03  2.577297E+03  2.562100E+03  2.565612E+03  2.552809E+03  2.567969E+03  2.567133E+03  2.567732E+03  2.568829E+03  2.569869E+03
   78    1  5.4554E+03 -4.2970E+03  2.652626E+03  2.690037E+03  2.666771E+03  2.677328E+03  2.686599E+03  2.670085E+03  2.663202E+03  2.660219E+03  2.658727E+03
   79    1  5.4810E+03 -4.3470E+03  3.426546E+03  3.343756E+03  3.401448E+03  3.237184E+03  3.371665E+03  3.398119E+03  3.408134E+03  3.412989E+03  3.415655E+03
   80    1  5.5007E+03 -4.3864E+03  3.218082E+03  3.049511E+03  3.151145E+03  2.971250E+03  3.088271E+03  3.143059E+03  3.167421E+03  3.179582E+03  3.186409E+03
   81    1  5.5159E+03 -4.4170E+03  2.206736E+03  2.143088E+03  2.176720E+03  2.160076E+03  2.154280E+03  2.174065E+03  2.183399E+03  2.187977E+03  2.190507E+03
   82    1  5.5274E+03 -4.4405E+03  1.791721E+03  1.819950E+03  1.801512E+03  1.846325E+03  1.813621E+03  1.803282E+03  1.798570E+03  1.796109E+03  1.794648E+03
   83    1  5.5359E+03 -4.4580E+03  1.299078E+03  1.310934E+03  1.301952E+03  1.324983E+03  1.306751E+03  1.302356E+03  1.300737E+03  1.299948E+03  1.299487E+03
   84    1  5.5420E+03 -4.4706E+03  7.188329E+02  7.174647E+02  7.180619E+02  7.166650E+02  7.175744E+02  7.179303E+02  7.180581E+02  7.181098E+02  7.181330E+02
   85    1  5.5461E+03 -4.4792E+03  4.638753E+02  4.648997E+02  4.641641E+02  4.664531E+02  4.644871E+02  4.641606E+02  4.640462E+02  4.639922E+02  4.639611E+02
   86    1  5.5488E+03 -4.4849E+03  5.485145E+02  5.477066E+02  5.480198E+02  5.459737E+02  5.476300E+02  5.478494E+02  5.479055E+02  5.479227E+02  5.479275E+02
   87    1  5.5506E+03 -4.4886E+03  3.256487E+02  3.220941E+02  3.242162E+02  3.165762E+02  3.228678E+02  3.239225E+02  3.242727E+02  3.244229E+02  3.245016E+02
   88    1  5.5519E+03 -4.4913E+03  3.907694E+02  3.867789E+02  3.893270E+02  3.813918E+02  3.878323E+02  3.890488E+02  3.894774E+02  3.896691E+02  3.897742E+02
   89    1  5.5529E+03 -4.4933E+03  9.955874E+02  9.907025E+02  9.942977E+02  9.826583E+02  9.918955E+02  9.937477E+02  9.944142E+02  9.947142E+02  9.948816E+02
   90    1  5.5538E+03 -4.4953E+03  2.167522E+03  2.165091E+03  2.167160E+03  2.160104E+03  2.165668E+03  2.166783E+03  2.167188E+03  2.167370E+03  2.167473E+03
    1    2  4.1850E+03 -3.8745E+03 -2.073886E+03 -2.072466E+03 -2.072603E+03 -2.068977E+03 -2.071560E+03 -2.072063E+03 -2.072237E+03 -2.072251E+03 -2.072266E+03
    2    2  4.1868E+03 -3.8737E+03 -6.376887E+02 -6.345167E+02 -6.356295E+02 -6.285857E+02 -6.337323E+02 -6.348260E+02 -6.352145E+02 -6.353151E+02 -6.353788E+02
    3    2  4.1888E+03 -3.8729E+03  2.576005E+02  2.560249E+02  2.573711E+02  2.537646E+02  2.570817E+02  2.575232E+02  2.576742E+02  2.577567E+02  2.578052E+02
    4    2  4.1914E+03 -3.8719E+03 -8.555284E+01 -8.704705E+01 -8.569819E+01 -8.982271E+01 -8.615220E+01 -8.563992E+01 -8.546326E+01 -8.537228E+01 -8.531879E+01
    5    2  4.1950E+03 -3.8705E+03 -4.389563E+02 -4.368477E+02 -4.379459E+02 -4.345835E+02 -4.370780E+02 -4.376929E+02 -4.379186E+02 -4.380099E+02 -4.380611E+02
    6    2  4.2004E+03 -3.8683E+03 -9.278916E+02 -9.318091E+02 -9.286269E+02 -9.375556E+02 -9.300613E+02 -9.286545E+02 -9.281615E+02 -9.279142E+02 -9.277726E+02
    7    2  4.2086E+03 -3.8650E+03 -1.381418E+03 -1.365720E+03 -1.374216E+03 -1.358242E+03 -1.369003E+03 -1.373448E+03 -1.375203E+03 -1.376036E+03 -1.376485E+03
    8    2  4.2205E+03 -3.8603E+03 -2.320613E+03 -2.230763E+03 -2.284758E+03 -2.162173E+03 -2.253376E+03 -2.280663E+03 -2.291288E+03 -2.296489E+03 -2.299361E+03
    9    2  4.2371E+03 -3.8538E+03 -2.867286E+03 -2.702954E+03 -2.791800E+03 -2.656882E+03 -2.734458E+03 -2.783930E+03 -2.806690E+03 -2.818564E+03 -2.825326E+03
   10    2  4.2593E+03 -3.8451E+03 -2.482043E+03 -2.407487E+03 -2.412332E+03 -2.560639E+03 -2.393114E+03 -2.408534E+03 -2.427841E+03 -2.440428E+03 -2.448336E+03
   11    2  4.2881E+03 -3.8339E+03 -2.399298E+03 -2.448142E+03 -2.380089E+03 -2.662545E+03 -2.405928E+03 -2.382579E+03 -2.386102E+03 -2.390895E+03 -2.394507E+03
   12    2  4.3249E+03 -3.8199E+03 -2.359970E+03 -2.387460E+03 -2.359584E+03 -2.506307E+03 -2.371260E+03 -2.361874E+03 -2.362423E+03 -2.363310E+03 -2.363955E+03
   13    2  4.3713E+03 -3.8027E+03 -2.271132E+03 -2.333700E+03 -2.289456E+03 -2.428911E+03 -2.314024E+03 -2.293993E+03 -2.288957E+03 -2.286458E+03 -2.284912E+03
