# ITER#1511 (F57 ref-20-NF-C0, tau=0.5e-6, ntime=150)  - 84.4 ms
# Atomic density (m^-3)
   ix   iy      x           y           z01           z02           z03
   12    2  4.3249E+03 -3.8199E+03  3.536110E+19  2.135561E+18  9.513430E+17
   13    2  4.3713E+03 -3.8027E+03  2.095438E+19  1.457364E+18  6.619248E+17
   14    2  4.4294E+03 -3.7818E+03  8.708326E+18  1.292797E+18  4.434164E+17
   15    2  4.5014E+03 -3.7573E+03  1.439286E+19  1.148085E+18  2.899318E+17
   16    2  4.5880E+03 -3.7302E+03  9.040093E+18  1.014384E+18  1.946862E+17
   17    2  4.6877E+03 -3.7037E+03  7.016946E+18  4.970080E+17  3.125832E+17
   18    2  4.7961E+03 -3.6836E+03  4.128335E+18  2.816746E+17  1.214554E+17
   19    2  4.9013E+03 -3.6785E+03  3.355901E+18  1.832423E+17  4.684630E+16
   20    2  4.9818E+03 -3.6895E+03  6.776861E+18  2.299786E+16  3.067942E+16
   21    2  5.4113E+03 -2.6783E+03  0.000000E+00  0.000000E+00  0.000000E+00
   22    2  5.3141E+03 -2.6035E+03  0.000000E+00  0.000000E+00  0.000000E+00
   23    2  5.1453E+03 -2.4055E+03  0.000000E+00  0.000000E+00  0.000000E+00
   24    2  4.9856E+03 -2.1177E+03  0.000000E+00  0.000000E+00  0.000000E+00
   25    2  4.8477E+03 -1.7931E+03  0.000000E+00  0.000000E+00  0.000000E+00
   26    2  4.7279E+03 -1.4566E+03  0.000000E+00  0.000000E+00  0.000000E+00
   27    2  4.6244E+03 -1.1141E+03  0.000000E+00  0.000000E+00  0.000000E+00
   28    2  4.5365E+03 -7.6712E+02  0.000000E+00  0.000000E+00  0.000000E+00
   29    2  4.4641E+03 -4.1644E+02  0.000000E+00  0.000000E+00  0.000000E+00
   30    2  4.4064E+03 -6.3096E+01  0.000000E+00  0.000000E+00  0.000000E+00
   31    2  4.3652E+03  2.9222E+02  0.000000E+00  0.000000E+00  0.000000E+00
   32    2  4.3417E+03  6.4937E+02  0.000000E+00  0.000000E+00  0.000000E+00
   33    2  4.3337E+03  1.0072E+03  0.000000E+00  0.000000E+00  0.000000E+00
   34    2  4.3416E+03  1.3644E+03  0.000000E+00  0.000000E+00  0.000000E+00
   35    2  4.3675E+03  1.7192E+03  0.000000E+00  0.000000E+00  0.000000E+00
   36    2  4.4152E+03  2.0694E+03  0.000000E+00  0.000000E+00  0.000000E+00
   37    2  4.4876E+03  2.4118E+03  0.000000E+00  0.000000E+00  0.000000E+00
   38    2  4.5875E+03  2.7401E+03  0.000000E+00  0.000000E+00  0.000000E+00
   39    2  4.7198E+03  3.0422E+03  0.000000E+00  0.000000E+00  0.000000E+00
   40    2  4.8855E+03  3.2988E+03  0.000000E+00  0.000000E+00  0.000000E+00
   41    2  5.0789E+03  3.4912E+03  0.000000E+00  0.000000E+00  0.000000E+00
   42    2  5.2971E+03  3.6143E+03  0.000000E+00  0.000000E+00  0.000000E+00
   43    2  5.5501E+03  3.6704E+03  5.481461E+12  0.000000E+00  0.000000E+00
   44    2  5.8394E+03  3.6545E+03  1.118745E+13  0.000000E+00  0.000000E+00
   45    2  6.1456E+03  3.5681E+03  5.865314E+12  0.000000E+00  0.000000E+00
   46    2  6.4480E+03  3.4241E+03  7.554224E+11  0.000000E+00  0.000000E+00
   47    2  6.7347E+03  3.2349E+03  5.960981E+11  0.000000E+00  0.000000E+00
   48    2  7.0016E+03  3.0104E+03  0.000000E+00  0.000000E+00  0.000000E+00
   49    2  7.2462E+03  2.7585E+03  0.000000E+00  0.000000E+00  0.000000E+00
   50    2  7.4639E+03  2.4825E+03  0.000000E+00  0.000000E+00  0.000000E+00
   51    2  7.6523E+03  2.1844E+03  9.309726E+11  0.000000E+00  0.000000E+00
   52    2  7.8110E+03  1.8685E+03  9.309726E+11  0.000000E+00  0.000000E+00
   53    2  7.9375E+03  1.5384E+03  0.000000E+00  0.000000E+00  0.000000E+00
   54    2  8.0294E+03  1.1968E+03  0.000000E+00  0.000000E+00  0.000000E+00
   55    2  8.0870E+03  8.4756E+02  0.000000E+00  0.000000E+00  0.000000E+00
   56    2  8.1079E+03  4.9508E+02  0.000000E+00  0.000000E+00  0.000000E+00
   57    2  8.0884E+03  1.4286E+02  0.000000E+00  0.000000E+00  0.000000E+00
   58    2  8.0306E+03 -2.0553E+02  0.000000E+00  0.000000E+00  0.000000E+00
   59    2  7.9361E+03 -5.4503E+02  0.000000E+00  0.000000E+00  0.000000E+00
