   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 20/12/00
 -48.11434 -48.11425 -48.11426 -48.11428 -48.11427 -48.11427 -48.11426 -48.11429
 -48.11431 -48.11415 -48.11457 -48.11559 -48.11590 -48.11605 -48.11781 -48.12231
 -41.65944 -41.67027 -41.67464 -41.67263 -41.67284 -41.67316 -41.67303 -41.67304
 -41.67306 -41.67305 -41.67305 -41.67306 -41.67306 -41.67306 -41.67305 -41.67306
 -41.67306 -41.67304 -41.67307 -41.67306 -41.67279 -41.67356 -41.67591 -41.67900
 -36.71997 -36.72808 -36.73136 -36.72985 -36.73001 -36.73025 -36.73015 -36.73016
 -36.73018 -36.73017 -36.73017 -36.73017 -36.73017 -36.73017 -36.73017 -36.73018
 -36.73018 -36.73013 -36.73025 -36.73070 -36.73135 -36.73230 -36.73340 -36.73593
 -32.93341 -32.92385 -32.91998 -32.92176 -32.92157 -32.92129 -32.92140 -32.92139
 -32.92137 -32.92138 -32.92138 -32.92138 -32.92139 -32.92139 -32.92135 -32.92144
 -32.92153 -32.92112 -32.92232 -32.92491 -32.92485 -32.92479 -32.92841 -32.93178
 -30.97045 -30.97314 -30.97423 -30.97373 -30.97378 -30.97386 -30.97383 -30.97383
 -30.97384 -30.97384 -30.97384 -30.97384 -30.97384 -30.97384 -30.97384 -30.97383
 -30.97377 -30.97356 -30.97379 -30.97487 -30.97663 -30.98046 -30.98515 -30.99210
 -29.04030 -29.03967 -29.03942 -29.03954 -29.03953 -29.03951 -29.03952 -29.03951
 -29.03951 -29.03951 -29.03951 -29.03951 -29.03952 -29.03953 -29.03947 -29.03962
 -29.04015 -29.04093 -29.04122 -29.04164 -29.04571 -29.05559 -29.06604 -29.08411
 -27.46490 -27.46494 -27.46495 -27.46494 -27.46494 -27.46494 -27.46494 -27.46494
 -27.46494 -27.46494 -27.46495 -27.46494 -27.46495 -27.46496 -27.46488 -27.46511
 -27.46583 -27.46678 -27.46913 -27.47312 -27.48065 -27.49901 -27.52253 -27.55817
 -26.78917 -26.78918 -26.78918 -26.78918 -26.78918 -26.78918 -26.78918 -26.78918
 -26.78918 -26.78918 -26.78918 -26.78918 -26.78917 -26.78917 -26.78921 -26.78915
 -26.78910 -26.78970 -26.79388 -26.80075 -26.81026 -26.83404 -26.86668 -26.91210
 -26.28539 -26.28540 -26.28540 -26.28540 -26.28540 -26.28540 -26.28540 -26.28540
 -26.28540 -26.28539 -26.28539 -26.28541 -26.28537 -26.28534 -26.28563 -26.28636
 -26.28710 -26.28853 -26.29297 -26.30012 -26.31296 -26.34420 -26.38225 -26.43339
 -25.90466 -25.90465 -25.90465 -25.90465 -25.90465 -25.90465 -25.90465 -25.90465
 -25.90465 -25.90465 -25.90466 -25.90465 -25.90466 -25.90466 -25.90458 -25.90524
 -25.90693 -25.90952 -25.91489 -25.92246 -25.93676 -25.97273 -26.01600 -26.07188
 -25.72338 -25.72338 -25.72338 -25.72338 -25.72338 -25.72338 -25.72338 -25.72338
 -25.72338 -25.72338 -25.72338 -25.72337 -25.72341 -25.72344 -25.72330 -25.72359
