{NUMBER OF COLUMNS}       4
*
* SHOTS  =   24861
* TIMES  =     0.230053 to     0.249813 s
*
*       PSIn        jsat        jsol          Te
*                (A m-2)       (A ?)        (eV)
{DATA LIST}
    1.024126    2.44E+04    6.48E+03        4.33
    1.024276    2.25E+04    1.47E+04        2.99
    1.024276    2.44E+04    1.19E+03        5.94
    1.024682    2.47E+04    1.39E+04        4.03
    1.024910    2.71E+04    5.80E+03        6.05
    1.025054    2.28E+04    4.02E+03        3.39
    1.025088    2.06E+04    1.10E+04        3.06
    1.025831    2.11E+04    1.08E+04        3.77
    1.026479    2.58E+04   -3.69E+03        3.15
    1.026609    2.11E+04   -1.65E+03        6.55
    1.027264    2.06E+04   -1.29E+03        4.82
    1.027387    2.05E+04    5.18E+03        3.97
    1.028048    2.34E+04    3.45E+03        4.11
    1.028165    2.29E+04    9.85E+03        3.56
    1.028942    2.00E+04    5.03E+03        5.89
    1.029720    1.41E+04    2.39E+03        5.93
    1.029755    1.41E+04    5.94E+03        3.80
    1.029780    2.04E+04    8.33E+03        3.06
    1.030172    2.15E+04   -6.58E+02        2.96
    1.030498    2.59E+04    1.00E+04        3.11
    1.030551    2.11E+04    8.26E+03        2.95
    1.030590    1.80E+04    7.56E+03        4.99
    1.031007    2.00E+04   -3.86E+03       13.10
    1.031276    2.41E+04    4.91E+03        6.16
    1.031322    2.13E+04    4.64E+03        4.56
    1.031424    1.71E+04    3.58E+03        5.97
    1.032054    2.28E+04    1.02E+04        2.99
    1.032094    1.94E+04    4.88E+03        4.42
    1.032831    1.83E+04    5.22E+03        4.37
    1.032865    1.78E+04    6.65E+03        3.63
    1.033609    1.78E+04    5.19E+03        4.39
    1.033637    1.94E+04    1.36E+01        4.22
    1.034387    1.84E+04    3.45E+03        5.29
    1.034408    1.87E+04    6.25E+03        4.78
    1.035180    1.36E+04    1.94E+03        6.86
    1.035880    1.41E+04    8.34E+02        4.49
    1.035896    2.40E+04    1.11E+04        3.40
    1.035951    1.31E+04    6.47E+03        3.48
    1.036309    1.75E+04    3.72E+03        6.49
    1.036661    1.95E+04    2.33E+03        4.73
    1.036722    3.46E+04   -1.44E+04        6.76
    1.036738    1.54E+04    5.85E+03        5.90
    1.037167    1.71E+04    3.36E+03        6.35
    1.037426    1.76E+04   -7.09E+02        4.26
    1.037494    1.65E+04    2.75E+03        4.52
    1.037596    1.43E+04    3.77E+03        5.98
    1.038192    1.66E+04    1.32E+03        4.29
    1.038265    1.91E+04    9.55E+02        5.72
    1.038957    1.61E+04    5.73E+03        4.26
    1.039037    1.61E+04    1.09E+03        6.96
    1.039722    1.46E+04    1.42E+03        6.91
    1.039808    1.66E+04    4.90E+03        4.39
    1.040488    1.38E+04    5.05E+03        3.52
    1.040579    1.49E+04    7.96E+03        3.30
    1.041253    1.11E+04    4.18E+03        3.90
    1.041825    1.41E+04    7.83E+03        5.95
    1.041831    1.54E+04    1.03E+04        5.75
    1.042018    1.35E+04    4.48E+03        6.93
    1.042265    1.18E+04    3.48E+03        9.66
    1.042590    1.59E+04    9.24E+03        6.30
    1.042705    1.09E+04    6.27E+03        7.18
    1.042783    3.75E+04   -8.10E+03       17.71
    1.043145    1.56E+04    8.83E+03        6.25
    1.043350    1.36E+04    7.30E+03        6.40
    1.043549    1.31E+04    5.96E+03        4.11
    1.043585    1.39E+04    9.29E+03        6.32
    1.044109    1.43E+04    1.06E+04        3.96
    1.044314    1.64E+04    6.38E+03        3.85
    1.044869    1.45E+04    9.81E+03        4.14
    1.045079    1.52E+04    1.65E+03       10.40
    1.045628    1.32E+04    8.79E+03        6.17
    1.045844    1.53E+04    9.99E+02        8.34
    1.046388    1.33E+04    9.53E+03        4.22
    1.046610    1.26E+04    5.28E+03        5.34
    1.047147    1.12E+04    7.98E+03        5.73
    1.047570    1.50E+04    5.39E+03        8.34
