    4   24   25    1    4     /BERYLLIUM          /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    2    1    1                                                       
--------------------------------------------------------------------------------
   4.00000   4.47712   5.00000   5.47712   6.00000   6.47712   7.00000   7.47712
   8.00000   8.47712   9.00000   9.47712  10.00000  10.47712  11.00000  11.47712
  12.00000  12.47712  13.00000  13.47712  14.00000  14.47712  15.00000  15.47712
  -0.69877  -0.52268  -0.30083  -0.15470   0.07938   0.30123   0.47732   0.65341
   0.84530   1.04159   1.25547   1.44736   1.65341   1.84530   2.00020   2.23065
   2.43157   2.63367   2.82628   3.02139   3.21690   3.39814   3.60766   3.79954
   4.00020
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 1   / DATE= 23/02/06
 -29.46227 -29.45630 -29.44683 -29.43489 -29.41517 -29.39354 -29.36221 -29.32364
 -29.26830 -29.20465 -29.11595 -29.01373 -28.87170 -28.71582 -28.51461 -28.30421
 -29.62939 -29.62934 -29.62943 -29.62881 -29.62763 -29.62675 -29.62529 -29.62245
 -29.61901 -29.61694 -29.61036 -29.60351 -29.59334 -29.58176 -29.56429 -29.54148
 -29.50999 -29.47361 -29.42108 -29.36154 -29.27910 -29.18703 -29.06616 -28.93604
 -29.74085 -29.74092 -29.74088 -29.74069 -29.74017 -29.73934 -29.73814 -29.73697
 -29.73526 -29.73290 -29.72953 -29.72556 -29.72029 -29.71256 -29.70185 -29.68794
 -29.66980 -29.64677 -29.61561 -29.57866 -29.52852 -29.47295 -29.39944 -29.32071
 -29.84426 -29.84415 -29.84418 -29.84458 -29.84461 -29.84323 -29.84109 -29.84011
 -29.84001 -29.83963 -29.83627 -29.83617 -29.83294 -29.82881 -29.82187 -29.81445
 -29.80328 -29.79233 -29.77357 -29.75252 -29.72447 -29.69312 -29.65498 -29.61276
 -29.93865 -29.93865 -29.93865 -29.93865 -29.93865 -29.93868 -29.93874 -29.93885
 -29.93881 -29.93862 -29.93922 -29.93570 -29.93526 -29.93248 -29.92860 -29.92512
 -29.92188 -29.91585 -29.90599 -29.89627 -29.88374 -29.87186 -29.85430 -29.83940
 -30.00450 -30.00447 -30.00449 -30.00455 -30.00453 -30.00429 -30.00398 -30.00392
 -30.00392 -30.00362 -30.00293 -30.00334 -30.00313 -30.00387 -30.00009 -29.99992
