# ITER#1513 (F57 ref-20-NF-C0, tau=0.4e-6, ntime=150)  - 79.9 ms
# electron temperature (eV)
   ix   iy      x           y           z01
   16    3  4.5916E+03 -3.7182E+03  6.531488E-01
   17    3  4.6904E+03 -3.6904E+03  6.334496E-01
   18    3  4.7988E+03 -3.6682E+03  7.361034E-01
   19    3  4.9058E+03 -3.6608E+03  9.046723E-01
   20    3  4.9882E+03 -3.6704E+03  1.024730E+00
   21    3  5.3781E+03 -2.7440E+03  1.583924E+03
   22    3  5.2724E+03 -2.6541E+03  1.583925E+03
   23    3  5.1044E+03 -2.4345E+03  1.583927E+03
   24    3  4.9526E+03 -2.1336E+03  1.583928E+03
   25    3  4.8209E+03 -1.8034E+03  1.583930E+03
   26    3  4.7051E+03 -1.4641E+03  1.583931E+03
   27    3  4.6042E+03 -1.1197E+03  1.583932E+03
   28    3  4.5178E+03 -7.7138E+02  1.583933E+03
   29    3  4.4465E+03 -4.1968E+02  1.583933E+03
   30    3  4.3893E+03 -6.5464E+01  1.583934E+03
   31    3  4.3484E+03  2.9069E+02  1.583934E+03
   32    3  4.3247E+03  6.4862E+02  1.583934E+03
   33    3  4.3161E+03  1.0072E+03  1.583934E+03
   34    3  4.3231E+03  1.3653E+03  1.583934E+03
   35    3  4.3474E+03  1.7213E+03  1.583933E+03
   36    3  4.3931E+03  2.0732E+03  1.583933E+03
   37    3  4.4630E+03  2.4181E+03  1.583932E+03
   38    3  4.5600E+03  2.7503E+03  1.583931E+03
   39    3  4.6895E+03  3.0586E+03  1.583929E+03
   40    3  4.8547E+03  3.3241E+03  1.583928E+03
   41    3  5.0526E+03  3.5264E+03  1.583926E+03
   42    3  5.2811E+03  3.6559E+03  1.583925E+03
   43    3  5.5464E+03  3.7110E+03  1.583923E+03
   44    3  5.8449E+03  3.6888E+03  1.583922E+03
   45    3  6.1557E+03  3.5950E+03  1.583922E+03
   46    3  6.4598E+03  3.4450E+03  1.583921E+03
   47    3  6.7469E+03  3.2513E+03  1.583920E+03
   48    3  7.0137E+03  3.0235E+03  1.583920E+03
   49    3  7.2582E+03  2.7691E+03  1.583920E+03
   50    3  7.4758E+03  2.4910E+03  1.583920E+03
   51    3  7.6641E+03  2.1911E+03  1.583920E+03
   52    3  7.8228E+03  1.8737E+03  1.583919E+03
   53    3  7.9493E+03  1.5423E+03  1.583919E+03
   54    3  8.0412E+03  1.1994E+03  1.583919E+03
   55    3  8.0988E+03  8.4888E+02  1.583919E+03
   56    3  8.1200E+03  4.9511E+02  1.583919E+03
   57    3  8.1004E+03  1.4153E+02  1.583919E+03
   58    3  8.0428E+03 -2.0822E+02  1.583919E+03
   59    3  7.9484E+03 -5.4922E+02  1.583919E+03
   60    3  7.8161E+03 -8.7671E+02  1.583919E+03
   61    3  7.6479E+03 -1.1875E+03  1.583919E+03
