number of heading lines in this data file : 30
Field Line Tracing Calculations (FLT) performed with CASTEM
Date CASTEM calculations : 14/04/2010
Date post-processing data : 10/06/2010
Modif compared to latest version (26/04/2010): change precision to 5 digits - correct the problem : some entering points shifted 

FIRST WALL GEOMETRY
Outer wall and upper panels from BM8 to BM18
NB. 3D gemoetry of lower baffle not incorporated in the code, horizontal cut in the CASTEM code,
Field line tracing calculations are stopped for the points reaching a vertical location below Z ~ -3.27 m
EQUILIBRIUM
Steady-state, 15 MA, Scenario 1, ITER (eqdsk high resolution, "Baseline 2010", FST, Corsica, Feb. 2010)

PARAMETERS
origin location : omp, Z = 0.60 
number of field lines followed :  300 
Radial extent of origin : from R = 8.3000  m to R = 8.3850 m
radial resolution at origin : 0.000283 
dphi step for FLT calculations in CASTEM : 0.50 
number of steps for calculation in CASTEM - toward the top :   590 
number of steps for calculation in CASTEM - toward the bottom :  340 
number of tangency points :     41 
number of points entering a surface :   2996 
number of points leaving a surface :   2792 
max number of intersection from omp toward top :    30 
max number of intersection from omp toward bottom :    12 
maximum connection length toward top : 32.60 
maximum connection length toward bottom : -21.18 
 49.00000 8.31365 0.00000 0.60000 8.00000 5.00000 13.00000 
 50.00000 8.31393 0.00000 0.60000 9.00000 5.00000 14.00000 
 51.00000 8.31421 0.00000 0.60000 9.00000 5.00000 14.00000 
 52.00000 8.31450 0.00000 0.60000 9.00000 5.00000 14.00000 
 53.00000 8.31478 0.00000 0.60000 9.00000 5.00000 14.00000 
 54.00000 8.31507 0.00000 0.60000 9.00000 5.00000 14.00000 
 55.00000 8.31535 0.00000 0.60000 9.00000 5.00000 14.00000 
 56.00000 8.31564 0.00000 0.60000 9.00000 5.00000 14.00000 
 57.00000 8.31592 0.00000 0.60000 9.00000 5.00000 14.00000 
 58.00000 8.31620 0.00000 0.60000 10.00000 5.00000 15.00000 
 59.00000 8.31649 0.00000 0.60000 11.00000 5.00000 16.00000 
 60.00000 8.31677 0.00000 0.60000 11.00000 5.00000 16.00000 
 61.00000 8.31706 0.00000 0.60000 11.00000 5.00000 16.00000 
 62.00000 8.31734 0.00000 0.60000 12.00000 5.00000 17.00000 
 63.00000 8.31763 0.00000 0.60000 14.00000 5.00000 19.00000 
 64.00000 8.31791 0.00000 0.60000 15.00000 7.00000 22.00000 
 65.00000 8.31819 0.00000 0.60000 16.00000 7.00000 23.00000 
 66.00000 8.31848 0.00000 0.60000 16.00000 7.00000 23.00000 
 67.00000 8.31876 0.00000 0.60000 15.00000 7.00000 22.00000 
 68.00000 8.31905 0.00000 0.60000 15.00000 7.00000 22.00000 
 69.00000 8.31933 0.00000 0.60000 15.00000 7.00000 22.00000 
 70.00000 8.31962 0.00000 0.60000 15.00000 7.00000 22.00000 
 71.00000 8.31990 0.00000 0.60000 15.00000 7.00000 22.00000 
 72.00000 8.32018 0.00000 0.60000 12.00000 7.00000 19.00000 
 73.00000 8.32047 0.00000 0.60000 12.00000 7.00000 19.00000 
 74.00000 8.32075 0.00000 0.60000 12.00000 7.00000 19.00000 
 75.00000 8.32104 0.00000 0.60000 12.00000 7.00000 19.00000 
 76.00000 8.32132 0.00000 0.60000 12.00000 7.00000 19.00000 
 77.00000 8.32161 0.00000 0.60000 15.00000 7.00000 22.00000 
 78.00000 8.32189 0.00000 0.60000 16.00000 7.00000 23.00000 
 79.00000 8.32217 0.00000 0.60000 16.00000 7.00000 23.00000 
 80.00000 8.32246 0.00000 0.60000 17.00000 7.00000 24.00000 
 81.00000 8.32274 0.00000 0.60000 17.00000 7.00000 24.00000 
 82.00000 8.32303 0.00000 0.60000 20.00000 7.00000 27.00000 
 83.00000 8.32331 0.00000 0.60000 21.00000 7.00000 28.00000 
 84.00000 8.32360 0.00000 0.60000 22.00000 7.00000 29.00000 
 85.00000 8.32388 0.00000 0.60000 22.00000 7.00000 29.00000 
 86.00000 8.32416 0.00000 0.60000 22.00000 7.00000 29.00000 
 87.00000 8.32445 0.00000 0.60000 22.00000 7.00000 29.00000 
 88.00000 8.32473 0.00000 0.60000 22.00000 7.00000 29.00000 
 89.00000 8.32502 0.00000 0.60000 21.00000 7.00000 28.00000 
 90.00000 8.32530 0.00000 0.60000 21.00000 7.00000 28.00000 
 91.00000 8.32559 0.00000 0.60000 22.00000 7.00000 29.00000 
 92.00000 8.32587 0.00000 0.60000 22.00000 7.00000 29.00000 
 93.00000 8.32615 0.00000 0.60000 22.00000 7.00000 29.00000 
 94.00000 8.32644 0.00000 0.60000 22.00000 7.00000 29.00000 
 95.00000 8.32672 0.00000 0.60000 22.00000 7.00000 29.00000 
 96.00000 8.32701 0.00000 0.60000 23.00000 7.00000 30.00000 
 97.00000 8.32729 0.00000 0.60000 21.00000 6.00000 27.00000 
 98.00000 8.32758 0.00000 0.60000 22.00000 5.00000 27.00000 
 99.00000 8.32786 0.00000 0.60000 22.00000 5.00000 27.00000 
 100.00000 8.32814 0.00000 0.60000 22.00000 5.00000 27.00000 
 101.00000 8.32843 0.00000 0.60000 23.00000 5.00000 28.00000 
