# ITER#1540 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 82.7 ms
# Atomic density (m^-3)
   ix   iy      x           y           z01           z02           z03
   21    2  5.4113E+03 -2.6783E+03  0.000000E+00  0.000000E+00  0.000000E+00
   22    2  5.3141E+03 -2.6035E+03  0.000000E+00  0.000000E+00  0.000000E+00
   23    2  5.1453E+03 -2.4055E+03  0.000000E+00  0.000000E+00  0.000000E+00
   24    2  4.9856E+03 -2.1177E+03  0.000000E+00  0.000000E+00  0.000000E+00
   25    2  4.8477E+03 -1.7931E+03  0.000000E+00  0.000000E+00  0.000000E+00
   26    2  4.7279E+03 -1.4566E+03  0.000000E+00  0.000000E+00  0.000000E+00
   27    2  4.6244E+03 -1.1141E+03  0.000000E+00  0.000000E+00  0.000000E+00
   28    2  4.5365E+03 -7.6712E+02  0.000000E+00  0.000000E+00  0.000000E+00
   29    2  4.4641E+03 -4.1644E+02  0.000000E+00  0.000000E+00  0.000000E+00
   30    2  4.4064E+03 -6.3096E+01  0.000000E+00  0.000000E+00  0.000000E+00
   31    2  4.3652E+03  2.9222E+02  0.000000E+00  0.000000E+00  0.000000E+00
   32    2  4.3417E+03  6.4937E+02  0.000000E+00  0.000000E+00  0.000000E+00
   33    2  4.3337E+03  1.0072E+03  0.000000E+00  0.000000E+00  0.000000E+00
   34    2  4.3416E+03  1.3644E+03  0.000000E+00  0.000000E+00  0.000000E+00
   35    2  4.3675E+03  1.7192E+03  0.000000E+00  0.000000E+00  0.000000E+00
   36    2  4.4152E+03  2.0694E+03  0.000000E+00  0.000000E+00  0.000000E+00
   37    2  4.4876E+03  2.4118E+03  0.000000E+00  0.000000E+00  0.000000E+00
   38    2  4.5875E+03  2.7401E+03  0.000000E+00  0.000000E+00  0.000000E+00
   39    2  4.7198E+03  3.0422E+03  0.000000E+00  0.000000E+00  0.000000E+00
   40    2  4.8855E+03  3.2988E+03  0.000000E+00  0.000000E+00  0.000000E+00
   41    2  5.0789E+03  3.4912E+03  0.000000E+00  0.000000E+00  0.000000E+00
   42    2  5.2971E+03  3.6143E+03  0.000000E+00  0.000000E+00  0.000000E+00
   43    2  5.5501E+03  3.6704E+03  0.000000E+00  0.000000E+00  0.000000E+00
   44    2  5.8394E+03  3.6545E+03  0.000000E+00  0.000000E+00  0.000000E+00
   45    2  6.1456E+03  3.5681E+03  0.000000E+00  0.000000E+00  0.000000E+00
   46    2  6.4480E+03  3.4241E+03  0.000000E+00  0.000000E+00  0.000000E+00
   47    2  6.7347E+03  3.2349E+03  0.000000E+00  0.000000E+00  0.000000E+00
   48    2  7.0016E+03  3.0104E+03  7.219309E+12  0.000000E+00  0.000000E+00
   49    2  7.2462E+03  2.7585E+03  7.219309E+12  0.000000E+00  0.000000E+00
   50    2  7.4639E+03  2.4825E+03  3.586970E+13  0.000000E+00  0.000000E+00
   51    2  7.6523E+03  2.1844E+03  3.922907E+13  0.000000E+00  0.000000E+00
   52    2  7.8110E+03  1.8685E+03  1.424805E+13  0.000000E+00  0.000000E+00
   53    2  7.9375E+03  1.5384E+03  1.088868E+13  0.000000E+00  0.000000E+00
   54    2  8.0294E+03  1.1968E+03  0.000000E+00  0.000000E+00  0.000000E+00
   55    2  8.0870E+03  8.4756E+02  0.000000E+00  0.000000E+00  0.000000E+00
   56    2  8.1079E+03  4.9508E+02  0.000000E+00  0.000000E+00  0.000000E+00
   57    2  8.0884E+03  1.4286E+02  2.437267E+12  0.000000E+00  0.000000E+00
   58    2  8.0306E+03 -2.0553E+02  2.437267E+12  0.000000E+00  0.000000E+00
   59    2  7.9361E+03 -5.4503E+02  0.000000E+00  0.000000E+00  0.000000E+00
   60    2  7.8038E+03 -8.7092E+02  0.000000E+00  0.000000E+00  0.000000E+00
   61    2  7.6358E+03 -1.1800E+03  0.000000E+00  0.000000E+00  0.000000E+00
   62    2  7.4355E+03 -1.4700E+03  0.000000E+00  0.000000E+00  0.000000E+00
   63    2  7.2082E+03 -1.7395E+03  0.000000E+00  0.000000E+00  0.000000E+00
   64    2  6.9574E+03 -1.9858E+03  0.000000E+00  0.000000E+00  0.000000E+00
