    4   24   25    1    4     /BERYLLIUM          /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    2    1    1                                                       
--------------------------------------------------------------------------------
   4.00000   4.47712   5.00000   5.47712   6.00000   6.47712   7.00000   7.47712
   8.00000   8.47712   9.00000   9.47712  10.00000  10.47712  11.00000  11.47712
  12.00000  12.47712  13.00000  13.47712  14.00000  14.47712  15.00000  15.47712
  -0.69877  -0.52268  -0.30083  -0.15470   0.07938   0.30123   0.47732   0.65341
   0.84530   1.04159   1.25547   1.44736   1.65341   1.84530   2.00020   2.23065
   2.43157   2.63367   2.82628   3.02139   3.21690   3.39814   3.60766   3.79954
   4.00020
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 23/02/06
 -24.73254 -24.73254 -24.73254 -24.73254 -24.73254 -24.73255 -24.73247 -24.73245
 -24.73246 -24.73244 -24.73270 -24.73216 -24.73060 -24.74071 -24.83748 -25.08818
 -24.73764 -24.73764 -24.73764 -24.73764 -24.73764 -24.73764 -24.73764 -24.73764
 -24.73764 -24.73764 -24.73764 -24.73764 -24.73765 -24.73760 -24.73804 -24.73815
 -24.73809 -24.73818 -24.73653 -24.73404 -24.73059 -24.73298 -24.82317 -25.07325
 -24.75788 -24.75788 -24.75788 -24.75788 -24.75788 -24.75788 -24.75788 -24.75788
 -24.75788 -24.75788 -24.75788 -24.75790 -24.75782 -24.75809 -24.75580 -24.75526
 -24.75542 -24.75528 -24.75551 -24.75389 -24.74720 -24.74660 -24.82817 -25.07071
 -24.78250 -24.78250 -24.78250 -24.78250 -24.78250 -24.78250 -24.78250 -24.78250
 -24.78250 -24.78250 -24.78250 -24.78250 -24.78250 -24.78252 -24.78233 -24.78220
 -24.78253 -24.78019 -24.77982 -24.77845 -24.76947 -24.76532 -24.83866 -25.07294
 -24.83127 -24.83127 -24.83127 -24.83127 -24.83127 -24.83127 -24.83127 -24.83127
 -24.83127 -24.83127 -24.83127 -24.83127 -24.83127 -24.83127 -24.83129 -24.83131
 -24.83124 -24.83143 -24.82893 -24.82647 -24.81709 -24.80645 -24.86271 -25.08273
 -24.88309 -24.88309 -24.88309 -24.88309 -24.88309 -24.88309 -24.88309 -24.88309
 -24.88309 -24.88309 -24.88309 -24.88309 -24.88309 -24.88309 -24.88311 -24.88309
 -24.88320 -24.88221 -24.88026 -24.87773 -24.86803 -24.85402 -24.89669 -25.09762
 -24.94229 -24.94229 -24.94229 -24.94229 -24.94229 -24.94229 -24.94229 -24.94229
 -24.94229 -24.94229 -24.94229 -24.94228 -24.94229 -24.94228 -24.94229 -24.94224
 -24.94243 -24.94090 -24.93873 -24.93531 -24.92698 -24.90909 -24.93420 -25.11087
 -25.00136 -25.00136 -25.00136 -25.00136 -25.00136 -25.00136 -25.00136 -25.00136
 -25.00136 -25.00136 -25.00136 -25.00136 -25.00136 -25.00136 -25.00136 -25.00136
 -25.00135 -25.00121 -24.99947 -24.99700 -24.98698 -24.96664 -24.97460 -25.12856
 -25.06415 -25.06415 -25.06415 -25.06415 -25.06415 -25.06415 -25.06415 -25.06415
 -25.06415 -25.06415 -25.06415 -25.06415 -25.06415 -25.06415 -25.06415 -25.06415
 -25.06418 -25.06383 -25.06260 -25.05936 -25.04958 -25.02935 -25.02568 -25.15452
 -25.12783 -25.12783 -25.12783 -25.12783 -25.12783 -25.12783 -25.12783 -25.12783
 -25.12783 -25.12783 -25.12783 -25.12783 -25.12783 -25.12783 -25.12782 -25.12784
 -25.12778 -25.12808 -25.12594 -25.12049 -25.11157 -25.09165 -25.07854 -25.18041
 -25.18686 -25.18686 -25.18686 -25.18686 -25.18686 -25.18686 -25.18686 -25.18686
 -25.18686 -25.18686 -25.18686 -25.18686 -25.18686 -25.18686 -25.18685 -25.18689
 -25.18673 -25.18764 -25.18467 -25.17717 -25.16905 -25.14942 -25.12755 -25.20440
 -25.25509 -25.25509 -25.25509 -25.25509 -25.25509 -25.25509 -25.25509 -25.25509
 -25.25509 -25.25509 -25.25509 -25.25509 -25.25509 -25.25510 -25.25508 -25.25515
 -25.25488 -25.25650 -25.25255 -25.24269 -25.23548 -25.21619 -25.18421 -25.23214
 -25.31759 -25.31759 -25.31759 -25.31759 -25.31759 -25.31759 -25.31759 -25.31759
 -25.31759 -25.31759 -25.31759 -25.31759 -25.31759 -25.31759 -25.31757 -25.31767
 -25.31730 -25.31955 -25.31472 -25.30269 -25.29633 -25.27735 -25.23610 -25.25755
 -25.38294 -25.38294 -25.38294 -25.38294 -25.38294 -25.38294 -25.38294 -25.38294
 -25.38294 -25.38294 -25.38294 -25.38294 -25.38294 -25.38295 -25.38292 -25.38304
 -25.38257 -25.38550 -25.37974 -25.36544 -25.35996 -25.34130 -25.29036 -25.28411
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 3   / DATE= 23/02/06
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -61.02521 -60.62975 -54.69783 -49.83094 -49.77753 -50.97947 -50.98672 -50.70114
 -50.74979 -50.69299 -50.31920 -50.11204 -50.14032 -50.13298 -50.13803 -50.13770
 -50.13834 -50.13777 -50.13688 -50.13487 -50.12983 -50.12264 -50.11680 -50.11498
 -39.52208 -39.67549 -41.97659 -43.86455 -43.88526 -43.41901 -43.41620 -43.52698
 -43.50811 -43.53014 -43.67514 -43.75550 -43.74453 -43.74738 -43.74541 -43.74558
 -43.74512 -43.74492 -43.74450 -43.74259 -43.73829 -43.73233 -43.72651 -43.72373
 -37.72291 -37.69885 -37.33795 -37.04185 -37.03860 -37.11172 -37.11217 -37.09479
 -37.09775 -37.09429 -37.07155 -37.05895 -37.06067 -37.06022 -37.06053 -37.06050
 -37.06061 -37.06066 -37.05998 -37.05835 -37.05422 -37.04786 -37.04153 -37.03826
 -32.91334 -32.91753 -32.98040 -33.03198 -33.03254 -33.01980 -33.01972 -33.02275
 -33.02224 -33.02284 -33.02680 -33.02899 -33.02869 -33.02878 -33.02870 -33.02876
 -33.02848 -33.02800 -33.02791 -33.02671 -33.02299 -33.01682 -33.01047 -33.00684
 -30.30170 -30.30116 -30.29316 -30.28659 -30.28652 -30.28815 -30.28816 -30.28778
 -30.28784 -30.28777 -30.28726 -30.28698 -30.28702 -30.28701 -30.28702 -30.28703
 -30.28698 -30.28693 -30.28674 -30.28531 -30.28192 -30.27656 -30.26974 -30.26726
 -28.44399 -28.44383 -28.44144 -28.43950 -28.43954 -28.44007 -28.44010 -28.44000
 -28.44004 -28.44002 -28.43987 -28.43979 -28.43980 -28.43979 -28.43980 -28.43980
 -28.43978 -28.43977 -28.43974 -28.44016 -28.43785 -28.43221 -28.42880 -28.42821
 -27.40588 -27.40592 -27.40642 -27.40671 -27.40640 -27.40603 -27.40587 -27.40581
