* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
187.000  47.000   8.340   0.678  -0.483
188.000  47.000   8.345   0.678  -0.474
189.000  48.000   8.329   0.668  -0.467
190.000  48.000   8.340   0.678  -0.472
191.000  48.000   8.345   0.678  -0.474
192.000  48.000   8.334   0.668  -0.469
193.000  49.000   8.312   0.615  -0.459
194.000  49.000   8.329   0.668  -0.467
195.000  49.000   8.334   0.668  -0.469
196.000  49.000   8.316   0.615  -0.461
197.000  50.000   8.306   0.562  -0.456
198.000  50.000   8.312   0.615  -0.459
199.000  50.000   8.316   0.615  -0.461
200.000  50.000   8.310   0.562  -0.458
201.000  51.000   8.302   0.509  -0.455
202.000  51.000   8.306   0.562  -0.456
203.000  51.000   8.310   0.562  -0.458
204.000  51.000   8.307   0.509  -0.457
205.000  52.000   8.300   0.456  -0.454
206.000  52.000   8.302   0.509  -0.455
207.000  52.000   8.307   0.509  -0.457
208.000  52.000   8.304   0.456  -0.456
209.000  53.000   8.298   0.403  -0.453
210.000  53.000   8.300   0.456  -0.454
211.000  53.000   8.304   0.456  -0.456
212.000  53.000   8.303   0.403  -0.455
213.000  54.000   8.297   0.351  -0.452
214.000  54.000   8.298   0.403  -0.453
215.000  54.000   8.303   0.403  -0.455
216.000  54.000   8.301   0.351  -0.454
217.000  55.000   8.295   0.298  -0.452
218.000  55.000   8.297   0.351  -0.452
219.000  55.000   8.301   0.351  -0.454
220.000  55.000   8.300   0.298  -0.454
221.000  56.000   8.294   0.245  -0.451
222.000  56.000   8.295   0.298  -0.452
223.000  56.000   8.300   0.298  -0.454
224.000  56.000   8.299   0.245  -0.453
225.000  57.000   8.296   0.194  -0.452
