* BM 3D coordinates - CATIA meshed model BM13-16 (Houda) - extracted with CASTEM (waiting for CATIA licence...)
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 25/03/2011
* Date Matlab post-processing data : 29/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve
* Modif compared to latest version : Here, CATIA model and elements = triangles ! 
* 
* FIRST WALL GEOMETRY:
* Updated draft model CATIA (Houda - 2010) from DO
* spatial resolution chosen in CATIA - TRIANGLES
* 
* DATA
* 
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
247.000  83.000   7.656  -3.111  -0.573
248.000  83.000   7.663  -3.191  -0.498
249.000  83.000   7.629  -3.191  -0.569
250.000  84.000   7.709  -2.991  -0.501
251.000  84.000   7.611  -3.093  -0.610
252.000  84.000   7.656  -3.110  -0.501
253.000  85.000   7.680  -2.830  -0.789
254.000  85.000   7.629  -2.988  -0.745
255.000  85.000   7.625  -2.810  -0.922
256.000  86.000   7.625  -2.810  -0.922
257.000  86.000   7.627  -2.808  -0.845
258.000  86.000   7.680  -2.830  -0.789
259.000  87.000   7.684  -2.829  -0.709
260.000  87.000   7.680  -2.830  -0.789
261.000  87.000   7.627  -2.808  -0.845
262.000  88.000   7.627  -2.188  -1.350
263.000  88.000   7.580  -2.236  -1.338
264.000  88.000   7.654  -2.065  -1.343
265.000  89.000   7.631  -2.247  -1.294
266.000  89.000   7.583  -2.305  -1.350
267.000  89.000   7.627  -2.188  -1.350
268.000  90.000   7.580  -2.236  -1.338
269.000  90.000   7.583  -2.305  -1.350
270.000  90.000   7.516  -2.412  -1.338
271.000  91.000   7.544  -2.388  -1.296
272.000  91.000   7.580  -2.236  -1.338
273.000  91.000   7.516  -2.412  -1.338
274.000  92.000   7.916  -2.557  -0.449
275.000  92.000   7.829  -2.593  -0.617
276.000  92.000   7.847  -2.532  -0.616
277.000  93.000   7.847  -2.532  -0.616
278.000  93.000   7.862  -2.389  -0.694
279.000  93.000   7.953  -2.389  -0.501
280.000  94.000   7.847  -2.532  -0.616
281.000  94.000   7.953  -2.389  -0.501
282.000  94.000   7.916  -2.557  -0.449
283.000  95.000   7.918  -2.391  -0.501
284.000  95.000   7.821  -2.523  -0.604
285.000  95.000   7.860  -2.538  -0.510
286.000  96.000   7.828  -2.592  -0.546
287.000  96.000   7.860  -2.538  -0.510
288.000  96.000   7.821  -2.523  -0.604
289.000  97.000   7.847  -2.532  -0.616
290.000  97.000   7.792  -2.591  -0.701
291.000  97.000   7.813  -2.519  -0.698
292.000  98.000   7.825  -2.390  -0.698
293.000  98.000   7.777  -2.508  -0.708
294.000  98.000   7.821  -2.523  -0.604
295.000  99.000   7.757  -2.593  -0.699
296.000  99.000   7.821  -2.523  -0.604
297.000  99.000   7.777  -2.508  -0.708
298.000 100.000   7.696  -2.769  -0.729
299.000 100.000   7.736  -2.781  -0.710
300.000 100.000   7.753  -2.790  -0.592
301.000 101.000   7.829  -2.593  -0.617
302.000 101.000   7.736  -2.781  -0.710
303.000 101.000   7.792  -2.591  -0.701
304.000 102.000   7.753  -2.790  -0.592
305.000 102.000   7.856  -2.666  -0.441
306.000 102.000   7.828  -2.592  -0.546
307.000 103.000   7.753  -2.790  -0.592
308.000 103.000   7.828  -2.592  -0.546
309.000 103.000   7.757  -2.593  -0.699
310.000 104.000   7.753  -2.790  -0.592
