1.00
*     IK    IR          PSIn       B_ratio
      26     6     0.9566751     0.1602386     0.5774870
      27     6     0.9566821     0.1863762     0.5773932
      28     6     0.9566811     0.2110754     0.5774062
      29     6     0.9566659     0.2322515     0.5776097
      30     6     0.9566690     0.2539685     0.5775676
      31     6     0.9566715     0.2703591     0.5775346
      32     6     0.9566609     0.2828356     0.5776757
      33     6     0.9566628     0.2962247     0.5776506
      34     6     0.9566621     0.3043083     0.5776605
      35     6     0.9566950     0.2979863     0.5772219
      36     6     0.9566373     0.3011925     0.5779902
      37     6     0.9566447     0.2936005     0.5778918
      38     6     0.9566886     0.2961861     0.5773070
      39     6     0.9566646     0.2845487     0.5776264
      40     6     0.9566750     0.2695015     0.5774883
      41     6     0.9566710     0.2575444     0.5775419
      42     6     0.9566651     0.2419698     0.5776206
      43     6     0.9566638     0.2201468     0.5776368
      44     6     0.9566760     0.1976848     0.5774745
      45     6     0.9566888     0.1784028     0.5773046
      46     6     0.9566645     0.1478300     0.5776283
      47     6     0.9566634     0.1179965     0.5776429
      48     6     0.9566540     0.0863710     0.5777675
      49     6     0.9566507     0.0596433     0.5778119
      50     6     0.9567036     0.0506861     0.5771069
      51     6     0.9567236     0.0507993     0.5768398
       1     7     0.9648007     0.0488948     0.4691791
       2     7     0.9647681     0.0605706     0.4696136
       3     7     0.9647364     0.0854729     0.4700361
       4     7     0.9647439     0.1119982     0.4699361
       5     7     0.9647397     0.1359252     0.4699923
       6     7     0.9647506     0.1573585     0.4698467
       7     7     0.9647570     0.1759496     0.4697611
       8     7     0.9647586     0.1915928     0.4697406
       9     7     0.9647613     0.2057751     0.4697042
      10     7     0.9647706     0.2101131     0.4695805
      11     7     0.9647602     0.2166554     0.4697191
      12     7     0.9647775     0.2108520     0.4694884
      13     7     0.9647726     0.2036768     0.4695535
      14     7     0.9647687     0.1937961     0.4696054
      15     7     0.9647741     0.1831050     0.4695329
      16     7     0.9647654     0.1650048     0.4696491
      17     7     0.9647648     0.1475748     0.4696572
      18     7     0.9647607     0.1288523     0.4697119
      19     7     0.9647520     0.1104293     0.4698281
      20     7     0.9647643     0.0955367     0.4696640
      21     7     0.9647475     0.0859508     0.4698884
      22     7     0.9647567     0.0857754     0.4697659
      23     7     0.9647511     0.0963776     0.4698402
      24     7     0.9647366     0.1167289     0.4700337
      25     7     0.9647278     0.1387591     0.4701512
      26     7     0.9647279     0.1637075     0.4701490
      27     7     0.9647335     0.1900261     0.4700740
      28     7     0.9647346     0.2142290     0.4700597
      29     7     0.9647175     0.2352775     0.4702882
      30     7     0.9647182     0.2569428     0.4702792
      31     7     0.9647331     0.2731214     0.4700803
      32     7     0.9647278     0.2859792     0.4701506
      33     7     0.9647142     0.2992721     0.4703314
      34     7     0.9647029     0.3074795     0.4704820
      35     7     0.9647410     0.3006637     0.4699753
      36     7     0.9646905     0.3046378     0.4706477
      37     7     0.9646969     0.2964044     0.4705625
      38     7     0.9647336     0.2992626     0.4700738
      39     7     0.9647007     0.2876555     0.4705114
      40     7     0.9647185     0.2727026     0.4702740
      41     7     0.9647172     0.2607189     0.4702914
      42     7     0.9647240     0.2452656     0.4702013
      43     7     0.9647174     0.2234063     0.4702893
      44     7     0.9647184     0.2012231     0.4702757
      45     7     0.9647327     0.1825881     0.4700852
      46     7     0.9647204     0.1516868     0.4702495
      47     7     0.9647248     0.1225617     0.4701908
      48     7     0.9647178     0.0905002     0.4702838
      49     7     0.9647272     0.0609743     0.4701590
      50     7     0.9647717     0.0487088     0.4695650
      51     7     0.9648007     0.0488948     0.4691791
       1     8     0.9723374     0.0460284     0.3687204
       2     8     0.9722922     0.0607715     0.3693236
       3     8     0.9722508     0.0870817     0.3698756
       4     8     0.9722661     0.1131450     0.3696708
       5     8     0.9722568     0.1367590     0.3697949
       6     8     0.9722732     0.1580796     0.3695769
       7     8     0.9722749     0.1763860     0.3695538
       8     8     0.9722722     0.1915170     0.3695897
       9     8     0.9722703     0.2054553     0.3696151
      10     8     0.9722771     0.2102726     0.3695245
      11     8     0.9722751     0.2161678     0.3695506
      12     8     0.9722879     0.2101719     0.3693802
      13     8     0.9722785     0.2032700     0.3695057
      14     8     0.9722772     0.1932918     0.3695237
      15     8     0.9722808     0.1825033     0.3694748
      16     8     0.9722802     0.1653216     0.3694827
      17     8     0.9722735     0.1472793     0.3695722
      18     8     0.9722739     0.1285144     0.3695675
      19     8     0.9722709     0.1103915     0.3696064
      20     8     0.9722795     0.0950850     0.3694929
      21     8     0.9722579     0.0854355     0.3697799
      22     8     0.9722727     0.0855804     0.3695828
      23     8     0.9722695     0.0973711     0.3696253
      24     8     0.9722507     0.1188696     0.3698768
      25     8     0.9722442     0.1414616     0.3699632
      26     8     0.9722408     0.1667842     0.3700086
      27     8     0.9722405     0.1930893     0.3700123
      28     8     0.9722585     0.2168540     0.3697720
      29     8     0.9722292     0.2379421     0.3701632
      30     8     0.9722339     0.2594096     0.3700996
      31     8     0.9722422     0.2756124     0.3699896
      32     8     0.9722383     0.2887846     0.3700419
      33     8     0.9722200     0.3018090     0.3702854
      34     8     0.9722047     0.3099077     0.3704892
      35     8     0.9722495     0.3035117     0.3698926
      36     8     0.9721929     0.3077728     0.3706470
      37     8     0.9721962     0.2993424     0.3706025
      38     8     0.9722524     0.3015670     0.3698536
      39     8     0.9722200     0.2902788     0.3702851
