

         SEPARATRIX SEGMENTS:

 #   nptseg(i)   lg(i)      deltp1(i)   deltpn(i)     dpmin       dpmax
===========================================================================
 1      77      7.4871E+00  5.0000E-02  5.0000E-02  5.0000E-02  1.2374E-01


         RADIAL DISTRIBUTIONS FOR EACH REGION:
  1.87432311E+00 -2.39693858E-02 -5.03878905E-03 -8.56403748E-01 -1.58856222E-01
  1.90119836E+00 -1.44873204E-01 -5.32372519E-03 -8.24634333E-01 -2.15302310E-01
  1.93701869E+00 -2.63482741E-01 -5.09836684E-03 -7.84796103E-01 -2.68197565E-01
  1.98161772E+00 -3.79001530E-01 -5.07931266E-03 -7.36617192E-01 -3.17223529E-01
  2.03555446E+00 -4.90220167E-01 -5.16804535E-03 -6.82419150E-01 -3.59695375E-01
  2.09770143E+00 -5.96703508E-01 -5.17593324E-03 -6.22159963E-01 -3.96674956E-01
  2.16846967E+00 -6.97191664E-01 -5.31418598E-03 -5.55689229E-01 -4.28623509E-01
  2.24778750E+00 -7.90451098E-01 -5.07353976E-03 -4.83527564E-01 -4.54957671E-01
  2.33638742E+00 -8.74020457E-01 -5.13323064E-03 -4.05445019E-01 -4.75844830E-01
  2.43277825E+00 -9.47291714E-01 -5.51538662E-03 -3.23708399E-01 -4.90843779E-01
  2.53795251E+00 -1.00550784E+00 -5.21976967E-03 -2.34552884E-01 -5.04592214E-01
  2.64945211E+00 -1.04819662E+00 -5.13855284E-03 -1.40429554E-01 -5.17520744E-01
  2.76592467E+00 -1.06982361E+00 -5.05360589E-03 -3.99575798E-02 -5.35745863E-01
  2.88312680E+00 -1.06685790E+00 -5.00945988E-03  6.42892215E-02 -5.61663213E-01
  2.99683392E+00 -1.04406071E+00 -5.02949638E-03  1.69723068E-01 -5.91931620E-01
  3.10372439E+00 -1.00287409E+00 -5.10994764E-03  2.74121415E-01 -6.21808194E-01
  3.20474250E+00 -9.52497915E-01 -5.18229953E-03  3.82219863E-01 -6.45972147E-01
  3.29679458E+00 -8.89914820E-01 -5.08423734E-03  4.88482050E-01 -6.65461903E-01
  3.38270393E+00 -8.21843793E-01 -5.28322137E-03  5.98184857E-01 -6.73853861E-01
  3.45961867E+00 -7.46255123E-01 -5.50315580E-03  7.03713062E-01 -6.75644129E-01
  3.53062665E+00 -6.67667865E-01 -5.15967064E-03  8.09542589E-01 -6.65420573E-01
  3.59376791E+00 -5.85090752E-01 -5.27672739E-03  9.10077502E-01 -6.45235816E-01
  3.64981294E+00 -5.00112055E-01 -5.19674526E-03  1.00289752E+00 -6.18403681E-01
  3.69926293E+00 -4.13680183E-01 -5.65581157E-03  1.09098708E+00 -5.78053043E-01
  3.74246276E+00 -3.26536548E-01 -5.37256379E-03  1.16953144E+00 -5.28471213E-01
  3.77941848E+00 -2.39197736E-01 -5.47187708E-03  1.23792680E+00 -4.74893017E-01
  3.80999240E+00 -1.52042310E-01 -5.65926810E-03  1.29715683E+00 -4.11412465E-01
  3.83469089E+00 -6.58460251E-02 -5.38066465E-03  1.34553120E+00 -3.42751165E-01
  3.85473433E+00  1.87583598E-02 -5.18979679E-03  1.38456646E+00 -2.73419138E-01
  3.86893111E+00  1.01728390E-01 -5.20758032E-03  1.41378259E+00 -2.00320989E-01
  3.87786258E+00  1.82394082E-01 -5.11419214E-03  1.43265695E+00 -1.27659137E-01
  3.88387340E+00  2.60319411E-01 -5.03307399E-03  1.44580313E+00 -5.74260403E-02
  3.88426628E+00  3.35352455E-01 -5.03331404E-03  1.44714484E+00  1.05477555E-02
  3.88234948E+00  4.07037573E-01 -5.07631778E-03  1.44331458E+00  7.42899669E-02
  3.87729768E+00  4.75266198E-01 -5.07685009E-03  1.43221178E+00  1.34214458E-01
  3.86972314E+00  5.39717757E-01 -5.23662369E-03  1.41545766E+00  1.88682217E-01
  3.86038020E+00  6.00370365E-01 -5.22063294E-03  1.39416226E+00  2.38920436E-01
  3.84966853E+00  6.56428257E-01 -5.38001713E-03  1.37000528E+00  2.83295157E-01
  3.84242036E+00  6.87074310E-01 -5.56983797E-03  1.35380541E+00  3.05821150E-01
  3.84100739E+00  6.93048494E-01 -5.57709914E-03  1.35059016E+00  3.10265594E-01
  3.80585712E+00  8.28241845E-01 -2.50196253E-03  1.26392173E+00  4.03849860E-01
  3.80401093E+00  8.33777739E-01 -2.57440095E-03  1.25981939E+00  4.07641665E-01
  3.79560142E+00  8.58994016E-01 -2.70381705E-03  1.24086403E+00  4.25101829E-01
  3.77588951E+00  9.12189116E-01 -3.09785980E-03  1.19771042E+00  4.58127783E-01
  3.75285159E+00  9.69160083E-01 -2.70203567E-03  1.14712133E+00  4.89418181E-01
  3.72547180E+00  1.02814891E+00 -3.28261381E-03  1.08929282E+00  5.23257961E-01
  3.69381353E+00  1.08889174E+00 -3.82007054E-03  1.02596840E+00  5.51560169E-01
  3.65843928E+00  1.15141869E+00 -3.21944017E-03  9.55844390E-01  5.80122724E-01
  3.61737680E+00  1.21440376E+00 -3.68071493E-03  8.81398136E-01  6.03101650E-01
  3.57129769E+00  1.27767275E+00 -3.00005897E-03  8.00538094E-01  6.25340902E-01
  3.51990312E+00  1.34083638E+00 -2.69865735E-03  7.18556033E-01  6.40647541E-01
  3.46084699E+00  1.40123934E+00 -2.57628522E-03  6.30754780E-01  6.55582206E-01
  3.39569540E+00  1.45935493E+00 -3.10441684E-03  5.43305495E-01  6.63777398E-01
  3.32311236E+00  1.51251523E+00 -2.63690532E-03  4.52540635E-01  6.69156174E-01
  3.24470867E+00  1.56204720E+00 -2.74994993E-03  3.64769762E-01  6.68503019E-01
  3.15892649E+00  1.60380786E+00 -2.58202247E-03  2.75643747E-01  6.63792210E-01
  3.06615908E+00  1.63496689E+00 -2.50859826E-03  1.87358148E-01  6.55528052E-01
  2.96825878E+00  1.65642659E+00 -2.49553186E-03  1.01604759E-01  6.42707679E-01
  2.86623793E+00  1.66673372E+00 -2.49556213E-03  1.71557452E-02  6.26259820E-01
  2.76156998E+00  1.66220279E+00 -2.53710589E-03 -6.57211819E-02  6.07092246E-01
  2.65683016E+00  1.64194031E+00 -2.52653891E-03 -1.46047653E-01  5.85678802E-01
  2.55298273E+00  1.61030630E+00 -2.53796822E-03 -2.26451916E-01  5.61113037E-01
  2.45404370E+00  1.56137738E+00 -2.90755581E-03 -3.04491753E-01  5.36465959E-01
  2.36091848E+00  1.49921526E+00 -2.95218072E-03 -3.79709490E-01  5.10318970E-01
  2.27423522E+00  1.42627771E+00 -3.28932473E-03 -4.54175504E-01  4.82040350E-01
  2.19483267E+00  1.34334356E+00 -3.21538372E-03 -5.24823795E-01  4.50886215E-01
  2.12311439E+00  1.25209255E+00 -2.71758756E-03 -5.90576640E-01  4.18037322E-01
  2.05963924E+00  1.15343457E+00 -2.96518390E-03 -6.52876847E-01  3.80910330E-01
  2.00419335E+00  1.04882304E+00 -3.03583742E-03 -7.09852373E-01  3.38526337E-01
  1.95680516E+00  9.39244303E-01 -2.82874837E-03 -7.60198089E-01  2.92126155E-01
  1.91758558E+00  8.25534462E-01 -3.16811266E-03 -8.03570410E-01  2.43049941E-01
  1.88620255E+00  7.08594688E-01 -2.75424975E-03 -8.39080149E-01  1.89841362E-01
  1.86299251E+00  5.88984595E-01 -2.65534580E-03 -8.66235864E-01  1.34487829E-01
  1.84762784E+00  4.67501080E-01 -2.54005240E-03 -8.83675155E-01  7.70820519E-02
  1.84079544E+00  3.44702309E-01 -2.50201131E-03 -8.91292526E-01  1.82145161E-02
  1.84239200E+00  2.21304530E-01 -2.53000348E-03 -8.88689164E-01 -4.11972914E-02
  1.85255082E+00  9.79916447E-02 -2.60749226E-03 -8.76035858E-01 -1.00353820E-01
  1.87140466E+00 -2.45184900E-02 -2.53359006E-03 -8.53802343E-01 -1.58046355E-01
  1.89837609E+00 -1.45611432E-01 -2.80137971E-03 -8.22203640E-01 -2.14109266E-01
  1.93412276E+00 -2.64475630E-01 -2.59096792E-03 -7.82428038E-01 -2.66770785E-01
  1.97869025E+00 -3.80271959E-01 -2.52025150E-03 -7.34455219E-01 -3.15546055E-01
  2.03263799E+00 -4.91775061E-01 -2.59106907E-03 -6.80514920E-01 -3.57696976E-01
  2.09500558E+00 -5.98433785E-01 -2.81862975E-03 -6.20411986E-01 -3.94694058E-01
  2.16576810E+00 -6.99279556E-01 -2.91272043E-03 -5.54171851E-01 -4.26294562E-01
  2.24506602E+00 -7.93028957E-01 -2.60032060E-03 -4.82251690E-01 -4.52212898E-01
  2.33377888E+00 -8.77089751E-01 -2.56165231E-03 -4.04449371E-01 -4.72850825E-01
  2.43040207E+00 -9.50930635E-01 -2.97055158E-03 -3.22988815E-01 -4.87421183E-01
  2.53613189E+00 -1.00940502E+00 -2.64622829E-03 -2.33726477E-01 -5.01074068E-01
  2.64809968E+00 -1.05297713E+00 -2.60307301E-03 -1.39896201E-01 -5.13370198E-01
  2.76555068E+00 -1.07457265E+00 -2.52288930E-03 -3.90909208E-02 -5.31686401E-01
  2.88363673E+00 -1.07139176E+00 -2.47815409E-03  6.53979509E-02 -5.57842937E-01
  2.99806531E+00 -1.04827041E+00 -2.49979474E-03  1.71018965E-01 -5.88429148E-01
  3.10515262E+00 -1.00610115E+00 -2.55503742E-03  2.75058444E-01 -6.18876452E-01
  3.20647025E+00 -9.55449042E-01 -2.64249795E-03  3.83158362E-01 -6.43209630E-01
  3.29876872E+00 -8.92596953E-01 -2.52213794E-03  4.89489905E-01 -6.62802467E-01
  3.38448232E+00 -8.23853374E-01 -2.82013661E-03  5.98635454E-01 -6.71613441E-01
  3.46137608E+00 -7.47941769E-01 -3.04126225E-03  7.03902749E-01 -6.73703125E-01
  3.53242928E+00 -6.69170691E-01 -2.67679654E-03  8.09668149E-01 -6.63506575E-01
  3.59568987E+00 -5.86460071E-01 -2.66585716E-03  9.10207214E-01 -6.43432684E-01
  3.65166551E+00 -5.01253643E-01 -2.63119393E-03  1.00277530E+00 -6.16906986E-01
  3.70101335E+00 -4.14618004E-01 -3.18904124E-03  1.09069222E+00 -5.76688778E-01
  3.74431610E+00 -3.27392245E-01 -2.75404272E-03  1.16919385E+00 -5.27198105E-01
  3.78121734E+00 -2.39897937E-01 -2.92229842E-03  1.23737194E+00 -4.73926727E-01
  3.81174043E+00 -1.52604805E-01 -3.13740627E-03  1.29655762E+00 -4.10478700E-01
  3.83641539E+00 -6.63044115E-02 -2.91444182E-03  1.34478709E+00 -3.42123341E-01
  3.85650294E+00  1.83896854E-02 -2.65597666E-03  1.38377713E+00 -2.72896999E-01
  3.87067367E+00  1.01473602E-01 -2.67747813E-03  1.41295138E+00 -1.99896628E-01
  3.87960429E+00  1.82219684E-01 -2.58286336E-03  1.43183104E+00 -1.27398067E-01
  3.88560951E+00  2.60235261E-01 -2.50205829E-03  1.44498126E+00 -5.73072081E-02
  3.88600124E+00  3.35355875E-01 -2.50229820E-03  1.44633906E+00  1.05168994E-02
  3.88408563E+00  4.07107115E-01 -2.54522958E-03  1.44252849E+00  7.40997915E-02
  3.87904534E+00  4.75411657E-01 -2.54553600E-03  1.43146698E+00  1.33886178E-01
  3.87147711E+00  5.39914941E-01 -2.70561510E-03  1.41473938E+00  1.88198800E-01
  3.86241915E+00  5.98919379E-01 -2.69479462E-03  1.39411287E+00  2.36888563E-01
  3.85918596E+00  6.19980731E-01 -2.58419939E-03  1.38652851E+00  2.54643963E-01
  3.85845596E+00  6.24736028E-01 -2.55145848E-03  1.38479994E+00  2.58680193E-01
  3.85800520E+00  6.27672297E-01 -2.52981236E-03  1.38372962E+00  2.61177491E-01
  3.79640134E+00  8.64610212E-01  6.21235778E-04  1.23664490E+00  4.26928762E-01
  3.79504847E+00  8.68595213E-01  6.04680967E-04  1.23360385E+00  4.29738292E-01
  3.79267172E+00  8.75596091E-01  5.95845351E-04  1.22823416E+00  4.34693106E-01
  3.77797376E+00  9.13351688E-01 -4.95469886E-05  1.19690295E+00  4.56704628E-01
  3.75501410E+00  9.70129119E-01  2.65415700E-04  1.14659348E+00  4.87874971E-01
  3.72771467E+00  1.02927559E+00 -2.47487260E-04  1.08892700E+00  5.21270768E-01
  3.69601138E+00  1.09010481E+00 -8.73765612E-04  1.02558889E+00  5.49641087E-01
  3.66075889E+00  1.15284494E+00 -2.01158925E-04  9.55710775E-01  5.77771176E-01
  3.61961288E+00  1.21595813E+00 -7.36091775E-04  8.81146829E-01  6.00850740E-01
  3.57368642E+00  1.27951920E+00  2.63918503E-05  8.00584722E-01  6.22673288E-01
  3.52242892E+00  1.34309817E+00  5.26521727E-04  7.18656740E-01  6.37790345E-01
