    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -14.35907 -14.37286 -14.38919 -14.41448 -14.43633 -14.46059 -14.49734 -14.52940
 -14.56556 -14.61946 -14.66540 -14.71651 -14.79074 -14.85141 -14.91620 -15.00946
 -15.08833 -15.17480 -15.29254 -15.35513 -15.38442 -15.54014 -15.49149 -15.19046
 -14.62321 -14.63700 -14.65333 -14.67862 -14.70046 -14.72473 -14.76147 -14.79353
 -14.82970 -14.88360 -14.92954 -14.98065 -15.05487 -15.11555 -15.18034 -15.27360
 -15.35247 -15.43893 -15.55667 -15.61927 -15.64856 -15.80427 -15.75563 -15.45460
 -14.95598 -14.96977 -14.98610 -15.01139 -15.03324 -15.05750 -15.09425 -15.12631
 -15.16247 -15.21637 -15.26231 -15.31342 -15.38765 -15.44832 -15.51311 -15.60637
 -15.68524 -15.77171 -15.88945 -15.95204 -15.98133 -16.13705 -16.08840 -15.78737
 -15.17517 -15.18896 -15.20529 -15.23058 -15.25243 -15.27670 -15.31344 -15.34550
 -15.38166 -15.43556 -15.48150 -15.53261 -15.60684 -15.66751 -15.73231 -15.82556
 -15.90443 -15.99090 -16.10864 -16.17123 -16.20052 -16.35624 -16.30760 -16.00657
 -15.40753 -15.42131 -15.43764 -15.46294 -15.48478 -15.50905 -15.54579 -15.57785
 -15.61401 -15.66792 -15.71386 -15.76497 -15.83919 -15.89987 -15.96466 -16.05791
 -16.13678 -16.22325 -16.34099 -16.40358 -16.43288 -16.58859 -16.53995 -16.23892
 -15.67166 -15.68545 -15.70178 -15.72707 -15.74892 -15.77319 -15.80993 -15.84199
 -15.87815 -15.93205 -15.97799 -16.02910 -16.10333 -16.16400 -16.22880 -16.32205
 -16.40092 -16.48739 -16.60513 -16.66772 -16.69701 -16.85273 -16.80409 -16.50306
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 04/11/99
 -11.15794 -11.14140 -11.12423 -11.09733 -11.07050 -11.03688 -10.98180 -10.93166
 -10.87291 -10.78412 -10.70869 -10.62085 -10.47870 -10.34908 -10.20137  -9.97825
  -9.78656  -9.57236  -9.25489  -8.99183  -8.71293  -8.32579  -8.02408  -7.72019
 -11.29011 -11.27677 -11.26319 -11.24179 -11.22003 -11.19281 -11.14827 -11.10783
 -11.06082 -10.98904 -10.92681 -10.85436 -10.73856 -10.63355 -10.51227 -10.32760
 -10.16894  -9.99036  -9.72324  -9.49815  -9.25132  -8.89549  -8.61010  -8.31603
 -11.45700 -11.44792 -11.43852 -11.42346 -11.40825 -11.38967 -11.35870 -11.32981
 -11.29716 -11.24722 -11.20250 -11.15048 -11.06607 -10.98868 -10.90227 -10.76990
 -10.65157 -10.51801 -10.31500 -10.13596  -9.92897  -9.61224  -9.34600  -9.06511
 -11.56651 -11.56033 -11.55345 -11.54241 -11.53157 -11.51787 -11.49506 -11.47431
 -11.45055 -11.41375 -11.38064 -11.34155 -11.27815 -11.22012 -11.15361 -11.05061
 -10.95926 -10.85552 -10.69396 -10.54547 -10.36527 -10.07596  -9.82397  -9.55171
 -11.68129 -11.67696 -11.67200 -11.66435 -11.65712 -11.64728 -11.63067 -11.61616
 -11.59950 -11.57303 -11.54887 -11.52067 -11.47481 -11.43218 -11.38308 -11.30708
 -11.23939 -11.16114 -11.03467 -10.91376 -10.76323 -10.51104 -10.28204 -10.03117
 -11.81010 -11.80742 -11.80348 -11.79803 -11.79402 -11.78719 -11.77509 -11.76574
 -11.75549 -11.73786 -11.72040 -11.70072 -11.66956 -11.64011 -11.60579 -11.55224
 -11.50427 -11.44839 -11.35658 -11.26608 -11.14878 -10.94693 -10.76082 -10.55253
 -11.90134 -11.89957 -11.89653 -11.89247 -11.88994 -11.88510 -11.87598 -11.86868
 -11.86001 -11.84562 -11.83274 -11.81874 -11.79519 -11.77157 -11.74494 -11.70459
 -11.66815 -11.62514 -11.55270 -11.47982 -11.38497 -11.22113 -11.06925 -10.89876
 -12.02934 -12.02808 -12.02652 -12.02423 -12.02223 -12.01921 -12.01370 -12.00861
 -12.00221 -11.99247 -11.98453 -11.97509 -11.95935 -11.94439 -11.92601 -11.89747
 -11.87277 -11.84280 -11.79126 -11.73975 -11.67313 -11.55762 -11.45014 -11.33066
 -12.19274 -12.19207 -12.19139 -12.18995 -12.18824 -12.18653 -12.18379 -12.18091
 -12.17774 -12.17263 -12.16748 -12.16133 -12.15164 -12.14280 -12.13214 -12.11511
 -12.09978 -12.08144 -12.05042 -12.01930 -11.97856 -11.90926 -11.84585 -11.77321
 -12.30276 -12.30205 -12.30107 -12.29965 -12.29870 -12.29779 -12.29612 -12.29418
 -12.29180 -12.28814 -12.28489 -12.28092 -12.27418 -12.26784 -12.26044 -12.24861
 -12.23758 -12.22436 -12.20230 -12.18064 -12.15297 -12.10556 -12.06124 -12.01053
 -12.41967 -12.41940 -12.41941 -12.41916 -12.41840 -12.41766 -12.41646 -12.41504
 -12.41352 -12.41149 -12.40951 -12.40634 -12.40121 -12.39726 -12.39224 -12.38415
 -12.37713 -12.36826 -12.35334 -12.33917 -12.32079 -12.28953 -12.26054 -12.22616
 -12.55929 -12.55904 -12.55817 -12.55708 -12.55700 -12.55704 -12.55654 -12.55557
