    3   16   25    1    3     /LITHIUM            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.69897   9.00000   9.69897  10.00000  10.69897  11.00000  11.69897
  12.00000  12.69897  13.00000  13.69897  14.00000  14.69897  15.00000  15.69897
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.47732   0.69917   0.84530
   1.00020   1.30123   1.47732   1.60226   1.69917   1.77835   1.84530   1.95444
   2.00020   2.47732   2.69917   2.84530   3.00020   3.47732   3.69917   3.84530
   4.00020
 -13.98419 -14.07513 -14.12346 -14.26787 -14.34592 -14.54663 -14.62856 -14.79198
 -14.09019 -14.10893 -14.11842 -14.14365 -14.15723 -14.20033 -14.22297 -14.28443
 -14.31696 -14.40790 -14.45624 -14.60064 -14.67869 -14.87940 -14.96133 -15.12476
 -14.30938 -14.32812 -14.33761 -14.36284 -14.37642 -14.41952 -14.44217 -14.50362
 -14.53615 -14.62709 -14.67543 -14.81983 -14.89788 -15.09859 -15.18052 -15.34395
 -14.54174 -14.56048 -14.56996 -14.59520 -14.60877 -14.65187 -14.67452 -14.73597
 -14.76851 -14.85945 -14.90778 -15.05219 -15.13024 -15.33095 -15.41288 -15.57630
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 3   / DATE= 11/11/02
 -10.75418 -10.71315 -10.69192 -10.64042 -10.60638 -10.49137 -10.42178 -10.22237
 -10.11974  -9.80860  -9.63684  -9.13260  -8.87156  -8.15247  -7.80211  -6.94326
 -10.88280 -10.84792 -10.82942 -10.78267 -10.75319 -10.65380 -10.59530 -10.42489
 -10.33598 -10.06697  -9.91746  -9.47993  -9.25269  -8.62498  -8.31574  -7.53806
 -11.04472 -11.01756 -11.00252 -10.96206 -10.93839 -10.85877 -10.81415 -10.67990
 -10.60833 -10.39254 -10.27110  -9.91759  -9.73300  -9.22009  -8.96253  -8.28723
 -11.15039 -11.12793 -11.11556 -11.08175 -11.06247 -10.99666 -10.96022 -10.84686
 -10.78715 -10.60744 -10.50479 -10.20666 -10.05053  -9.61061  -9.38612  -8.77902
 -11.26194 -11.24475 -11.23534 -11.20901 -11.19396 -11.14319 -11.11392 -11.02500
 -10.97794 -10.83423 -10.75252 -10.51314 -10.38675 -10.02544  -9.83643  -9.30093
 -11.60438 -11.59862 -11.59535 -11.58791 -11.58297 -11.56407 -11.55349 -11.52303
 -11.50556 -11.45088 -11.41970 -11.32408 -11.27234 -11.11537 -11.02422 -10.72602
 -11.76335 -11.76032 -11.75863 -11.75217 -11.74911 -11.73904 -11.73333 -11.71441
 -11.70355 -11.67072 -11.65110 -11.59345 -11.56149 -11.45980 -11.40038 -11.20462
 -11.86764 -11.86695 -11.86586 -11.86047 -11.85837 -11.85052 -11.84637 -11.83329
 -11.82595 -11.80187 -11.78816 -11.74643 -11.72337 -11.65131 -11.60729 -11.46373
 -11.98017 -11.97919 -11.97837 -11.97578 -11.97457 -11.96937 -11.96636 -11.95752
 -11.95282 -11.93509 -11.92465 -11.89780 -11.88166 -11.82878 -11.79910 -11.69870
 -12.20599 -12.20579 -12.20548 -12.20423 -12.20340 -12.20141 -12.20029 -12.19576
 -12.19332 -12.18632 -12.18210 -12.16809 -12.16011 -12.13593 -12.12150 -12.07359
