{NUMBER OF COLUMNS}  3
*
* Data sampled from Nefup_76666_60.9266.dat and Tefup_76666_60.9266.dat, 
* provided by Aaro via email on 21/07/2010.
*
*     psin              ne           Te       
*                     (m-3)        (eV)       
{DATA LIST}            
 9.608E-01     	 6.229E+19    6.817E+02	      
 9.616E-01     	 6.190E+19    6.740E+02	      
 9.624E-01     	 6.149E+19    6.663E+02	      
 9.632E-01     	 6.104E+19    6.584E+02	      
 9.640E-01     	 6.056E+19    6.506E+02	      
 9.648E-01     	 6.005E+19    6.426E+02	      
 9.656E-01     	 5.950E+19    6.346E+02	      
 9.664E-01     	 5.892E+19    6.265E+02	      
 9.672E-01     	 5.829E+19    6.184E+02	      
 9.680E-01     	 5.763E+19    6.102E+02	      
 9.688E-01     	 5.692E+19    6.019E+02	      
 9.696E-01     	 5.617E+19    5.936E+02	      
 9.704E-01     	 5.537E+19    5.853E+02	      
 9.712E-01     	 5.453E+19    5.769E+02	      
 9.720E-01     	 5.364E+19    5.685E+02	      
 9.728E-01     	 5.270E+19    5.600E+02	      
 9.736E-01     	 5.172E+19    5.515E+02	      
 9.744E-01     	 5.068E+19    5.430E+02	      
 9.752E-01     	 4.960E+19    5.344E+02	      
 9.760E-01     	 4.847E+19    5.259E+02	      
 9.768E-01     	 4.729E+19    5.173E+02	      
 9.776E-01     	 4.608E+19    5.087E+02	      
 9.784E-01     	 4.482E+19    5.001E+02	      
 9.792E-01     	 4.352E+19    4.915E+02	      
 9.800E-01     	 4.218E+19    4.829E+02	      
 9.808E-01     	 4.082E+19    4.743E+02	      
 9.816E-01     	 3.943E+19    4.658E+02	      
 9.824E-01     	 3.801E+19    4.572E+02	      
 9.832E-01     	 3.658E+19    4.487E+02	      
 9.840E-01     	 3.513E+19    4.402E+02	      
 9.848E-01     	 3.368E+19    4.317E+02	      
 9.856E-01     	 3.222E+19    4.232E+02	      
 9.864E-01     	 3.077E+19    4.148E+02	      
 9.872E-01     	 2.933E+19    4.065E+02	      
 9.880E-01     	 2.790E+19    3.982E+02	      
 9.888E-01     	 2.649E+19    3.899E+02	      
 9.896E-01     	 2.511E+19    3.817E+02	      
 9.904E-01     	 2.375E+19    3.736E+02	      
 9.912E-01     	 2.243E+19    3.655E+02	      
 9.920E-01     	 2.115E+19    3.575E+02	      
 9.928E-01     	 1.990E+19    3.495E+02	      
 9.936E-01     	 1.870E+19    3.417E+02	      
 9.944E-01     	 1.754E+19    3.339E+02	      
 9.952E-01     	 1.643E+19    3.262E+02	      
 9.960E-01     	 1.537E+19    3.186E+02	      
 9.968E-01     	 1.436E+19    3.110E+02	      
 9.976E-01     	 1.340E+19    3.036E+02	      
 9.984E-01     	 1.248E+19    2.963E+02	      
 9.992E-01     	 1.161E+19    2.890E+02	      
 1.000E+00     	 1.080E+19    2.819E+02	      
 1.001E+00     	 1.003E+19    2.749E+02	      
 1.002E+00     	 9.300E+18    2.679E+02	      
 1.002E+00     	 8.619E+18    2.611E+02	      
 1.003E+00     	 7.981E+18    2.544E+02	      
 1.004E+00     	 7.384E+18    2.477E+02	      
 1.005E+00     	 6.826E+18    2.412E+02	      
 1.006E+00     	 6.307E+18    2.349E+02	      
 1.006E+00     	 5.822E+18    2.286E+02	      
 1.007E+00     	 5.372E+18    2.224E+02	      
 1.008E+00     	 4.953E+18    2.163E+02	      
 1.009E+00     	 4.565E+18    2.104E+02	      
 1.010E+00     	 4.205E+18    2.046E+02	      
 1.010E+00     	 3.871E+18    1.989E+02	      
 1.011E+00     	 3.563E+18    1.933E+02	      
 1.012E+00     	 3.278E+18    1.878E+02	      
 1.013E+00     	 3.014E+18    1.825E+02	      
 1.014E+00     	 2.771E+18    1.772E+02	      
 1.014E+00     	 2.546E+18    1.721E+02	      
 1.015E+00     	 2.339E+18    1.671E+02	      
 1.016E+00     	 2.149E+18    1.622E+02	      
 1.017E+00     	 1.973E+18    1.574E+02	      
 1.018E+00     	 1.811E+18    1.527E+02	      
 1.018E+00     	 1.663E+18    1.481E+02	      
 1.019E+00     	 1.526E+18    1.437E+02	      
 1.020E+00     	 1.400E+18    1.393E+02	      
 1.021E+00     	 1.284E+18    1.351E+02	      
 1.022E+00     	 1.178E+18    1.309E+02	      
 1.022E+00     	 1.080E+18    1.269E+02	      
 1.023E+00     	 9.906E+17    1.230E+02	      
 1.024E+00     	 9.082E+17    1.191E+02	      
 1.025E+00     	 8.327E+17    1.154E+02	      
 1.025E+00     	 7.633E+17    1.118E+02	      
 1.026E+00     	 6.997E+17    1.083E+02	      
 1.027E+00     	 6.413E+17    1.048E+02	      
 1.028E+00     	 5.877E+17    1.015E+02	      
 1.029E+00     	 5.386E+17    9.824E+01	      
 1.029E+00     	 4.935E+17    9.509E+01	      
 1.030E+00     	 4.522E+17    9.202E+01	      
 1.031E+00     	 4.143E+17    8.904E+01	      
 1.032E+00     	 3.796E+17    8.614E+01	      
 1.033E+00     	 3.478E+17    8.333E+01	      
 1.033E+00     	 3.186E+17    8.060E+01	      
 1.034E+00     	 2.919E+17    7.795E+01	      
 1.035E+00     	 2.674E+17    7.538E+01	      
 1.036E+00     	 2.449E+17    7.289E+01	      
 1.037E+00     	 2.243E+17    7.047E+01	      
 1.037E+00     	 2.055E+17    6.812E+01	      
 1.038E+00     	 1.882E+17    6.585E+01	      
 1.039E+00     	 1.724E+17    6.364E+01	      
 1.040E+00     	 1.579E+17    6.150E+01	      
 1.041E+00     	 1.446E+17    5.943E+01	      
 1.041E+00     	 1.325E+17    5.742E+01	      
 1.042E+00     	 1.213E+17    5.548E+01	      
 1.043E+00     	 1.111E+17    5.360E+01	      
 1.044E+00     	 1.018E+17    5.177E+01	      
 1.045E+00     	 9.319E+16    5.000E+01	      
 1.045E+00     	 8.534E+16    4.829E+01	      
 1.046E+00     	 7.816E+16    4.664E+01	      
 1.047E+00     	 7.158E+16    4.504E+01	      
 1.048E+00     	 6.555E+16    4.349E+01	      
 1.048E+00     	 6.003E+16    4.199E+01	      
 1.049E+00     	 5.497E+16    4.053E+01	      
 1.050E+00     	 5.034E+16    3.913E+01	      
{END}
