    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1                                        
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
  -7.00089  -7.00206  -7.00410  -7.00413  -7.00333  -7.00439  -7.00708  -7.00484
  -7.00173  -7.00162  -6.97338  -6.94327  -6.93549  -6.91578  -6.88181  -6.84519
  -6.98554  -6.98913  -6.98961  -6.98858  -6.98689  -6.98346  -6.98395  -6.98690
  -6.98682  -6.98826  -6.99078  -6.99093  -6.99023  -6.99186  -6.99576  -6.99507
  -6.99423  -6.99853  -6.97259  -6.94340  -6.94085  -6.92447  -6.88801  -6.84821
  -6.96793  -6.97227  -6.97286  -6.97160  -6.96956  -6.96549  -6.96613  -6.96968
  -6.96958  -6.97136  -6.97449  -6.97479  -6.97422  -6.97657  -6.98197  -6.98324
  -6.98527  -6.99511  -6.97208  -6.94404  -6.94810  -6.93591  -6.89631  -6.85250
  -6.95652  -6.96136  -6.96201  -6.96061  -6.95834  -6.95384  -6.95460  -6.95854
  -6.95842  -6.96043  -6.96395  -6.96435  -6.96386  -6.96669  -6.97309  -6.97564
  -6.97955  -6.99305  -6.97194  -6.94465  -6.95306  -6.94364  -6.90197  -6.85552
  -6.94454  -6.94991  -6.95063  -6.94907  -6.94656  -6.94161  -6.94247  -6.94684
  -6.94670  -6.94895  -6.95289  -6.95340  -6.95300  -6.95632  -6.96378  -6.96770
  -6.97361  -6.99098  -6.97190  -6.94541  -6.95844  -6.95194  -6.90809  -6.85883
  -6.93102  -6.93698  -6.93779  -6.93604  -6.93327  -6.92781  -6.92879  -6.93363
  -6.93348  -6.93599  -6.94041  -6.94105  -6.94075  -6.94464  -6.95330  -6.95877
  -6.96696  -6.98872  -6.97195  -6.94638  -6.96464  -6.96147  -6.91513  -6.86269
---------------------/ IPRT= 2  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -50.83458 -50.46803 -50.09423 -49.56823 -49.13251 -48.65541 -47.96378 -47.40613
 -46.83297 -46.06507 -45.48216 -44.90166 -44.15239 -43.58427 -43.00318 -42.31344
 -41.61369 -40.65844 -41.03917 -41.89110 -41.38996 -40.25582 -39.75447 -39.30567
