    6   24   30    1    6     /CARBON             /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    1    1                                             
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -22.81749 -22.81716 -22.81711 -22.81720 -22.81720 -22.81719 -22.81725 -22.81689
 -22.81559 -22.81265 -22.80817 -22.79920 -22.77525 -22.73985 -22.67903 -22.54068
 -22.38567 -22.19159 -21.90868 -21.70407 -21.53073 -21.36968 -21.28517 -21.20564
 -18.73030 -18.72987 -18.72981 -18.72989 -18.72985 -18.72983 -18.72991 -18.72987
 -18.72937 -18.72711 -18.72278 -18.71426 -18.69154 -18.65780 -18.59981 -18.46791
 -18.32035 -18.13680 -17.87799 -17.70029 -17.55800 -17.43066 -17.36451 -17.30236
 -15.63461 -15.63470 -15.63471 -15.63470 -15.63471 -15.63471 -15.63471 -15.63489
 -15.63526 -15.63403 -15.63030 -15.62281 -15.60224 -15.57151 -15.51852 -15.39489
 -15.25692 -15.08930 -14.85986 -14.70912 -14.59541 -14.49459 -14.43933 -14.38683
 -13.17397 -13.17395 -13.17396 -13.17393 -13.17395 -13.17405 -13.17356 -13.17314
 -13.17333 -13.17209 -13.16893 -13.16340 -13.14803 -13.12416 -13.08198 -12.98084
 -12.86547 -12.72377 -12.53562 -12.41655 -12.32692 -12.24368 -12.19462 -12.14738
 -11.89318 -11.89319 -11.89320 -11.89316 -11.89319 -11.89331 -11.89268 -11.89198
 -11.89188 -11.89065 -11.88809 -11.88385 -11.87144 -11.85248 -11.81983 -11.73941
 -11.64533 -11.52831 -11.37269 -11.27398 -11.19818 -11.12292 -11.07496 -11.02816
 -10.58812 -10.58811 -10.58811 -10.58812 -10.58811 -10.58808 -10.58826 -10.58840
 -10.58811 -10.58693 -10.58552 -10.58333 -10.57509 -10.56134 -10.53747 -10.47915
 -10.41066 -10.32439 -10.20784 -10.13136 -10.06858  -9.99875  -9.94996  -9.90168
  -9.50470  -9.50470  -9.50470  -9.50470  -9.50470  -9.50471  -9.50468  -9.50466
  -9.50460  -9.50368  -9.50250  -9.50126  -9.49694  -9.48903  -9.47423  -9.43635
  -9.39129  -9.33432  -9.25467  -9.19772  -9.14452  -9.07673  -9.02575  -8.97481
  -9.00915  -9.00915  -9.00914  -9.00915  -9.00915  -9.00913  -9.00921  -9.00916
  -9.00879  -9.00863  -9.00841  -9.00712  -9.00296  -8.99681  -8.98616  -8.95928
  -8.92666  -8.88412  -8.82175  -8.77346  -8.72401  -8.65734  -8.60641  -8.55543
  -8.61354  -8.61354  -8.61354  -8.61354  -8.61354  -8.61354  -8.61354  -8.61353
  -8.61355  -8.61389  -8.61377  -8.61242  -8.60921  -8.60503  -8.59761  -8.57861
  -8.55527  -8.52422  -8.47585  -8.43418  -8.38699  -8.32263  -8.27484  -8.22720
  -8.28580  -8.28580  -8.28580  -8.28580  -8.28580  -8.28580  -8.28580  -8.28580
  -8.28581  -8.28567  -8.28538  -8.28485  -8.28315  -8.28039  -8.27545  -8.26278
  -8.24665  -8.22403  -8.18613  -8.15009  -8.10590  -8.04463  -7.99969  -7.95496
  -8.11154  -8.11154  -8.11154  -8.11154  -8.11154  -8.11154  -8.11154  -8.11154
  -8.11156  -8.11148  -8.11097  -8.10979  -8.10852  -8.10711  -8.10350  -8.09364
  -8.08091  -8.06249  -8.02931  -7.99625  -7.95543  -7.89708  -7.85294  -7.80882
  -7.92578  -7.92578  -7.92578  -7.92578  -7.92578  -7.92577  -7.92581  -7.92578
  -7.92567  -7.92617  -7.92592  -7.92370  -7.92193  -7.92192  -7.92076  -7.91404
  -7.90413  -7.89006  -7.86234  -7.83269  -7.79552  -7.74143  -7.69987  -7.65825
  -7.76407  -7.76407  -7.76407  -7.76407  -7.76407  -7.76407  -7.76407  -7.76407
  -7.76406  -7.76410  -7.76405  -7.76370  -7.76263  -7.76157  -7.76033  -7.75611
  -7.74923  -7.73823  -7.71721  -7.69313  -7.65896  -7.60914  -7.57238  -7.53578
  -7.69291  -7.69291  -7.69291  -7.69291  -7.69291  -7.69290  -7.69293  -7.69291
  -7.69283  -7.69318  -7.69292  -7.69124  -7.69038  -7.69082  -7.69002  -7.68602
  -7.68021  -7.67139  -7.65338  -7.63148  -7.59990  -7.55295  -7.51774  -7.48258
  -7.63852  -7.63852  -7.63852  -7.63852  -7.63852  -7.63851  -7.63853  -7.63852
  -7.63846  -7.63871  -7.63852  -7.63723  -7.63634  -7.63642  -7.63570  -7.63217
  -7.62753  -7.62122  -7.60640  -7.58637  -7.55688  -7.51241  -7.47871  -7.44502
  -7.58757  -7.58757  -7.58757  -7.58757  -7.58757  -7.58757  -7.58758  -7.58757
  -7.58754  -7.58767  -7.58757  -7.58696  -7.58677  -7.58679  -7.58587  -7.58389
  -7.58108  -7.57543  -7.56180  -7.54440  -7.51909  -7.47885  -7.44669  -7.41433
  -7.55658  -7.55658  -7.55658  -7.55657  -7.55658  -7.55658  -7.55657  -7.55658
  -7.55659  -7.55654  -7.55657  -7.55682  -7.55691  -7.55655  -7.55584  -7.55463
  -7.55216  -7.54650  -7.53436  -7.51924  -7.49609  -7.45854  -7.42843  -7.39812
  -7.52056  -7.52056  -7.52056  -7.52056  -7.52056  -7.52056  -7.52056  -7.52056
  -7.52057  -7.52053  -7.52056  -7.52060  -7.51910  -7.51804  -7.51881  -7.51705
  -7.51351  -7.51070  -7.50313  -7.49029  -7.46958  -7.43447  -7.40545  -7.37612
  -7.48105  -7.48105  -7.48105  -7.48105  -7.48105  -7.48105  -7.48105  -7.48105
  -7.48105  -7.48105  -7.48105  -7.48065  -7.47690  -7.47494  -7.47772  -7.47508
  -7.47000  -7.47114  -7.46962  -7.45954  -7.44182  -7.40963  -7.38176  -7.35343
  -7.45723  -7.45723  -7.45723  -7.45723  -7.45723  -7.45723  -7.45724  -7.45723
  -7.45723  -7.45726  -7.45723  -7.45655  -7.45131  -7.44876  -7.45287  -7.44965
  -7.44355  -7.44729  -7.44975  -7.44150  -7.42576  -7.39548  -7.36836  -7.34070
  -7.43327  -7.43327  -7.43327  -7.43327  -7.43327  -7.43326  -7.43327  -7.43327
  -7.43325  -7.43332  -7.43327  -7.43228  -7.42547  -7.42229  -7.42781  -7.42396
  -7.41679  -7.42328  -7.42998  -7.42365  -7.41000  -7.38176  -7.35544  -7.32847
  -7.40713  -7.40713  -7.40713  -7.40713  -7.40713  -7.40713  -7.40713  -7.40713
  -7.40711  -7.40721  -7.40713  -7.40580  -7.39720  -7.39330  -7.40042  -7.39587
  -7.38748  -7.39711  -7.40860  -7.40447  -7.39320  -7.36727  -7.34186  -7.31569
  -7.38909  -7.38909  -7.38909  -7.38909  -7.38909  -7.38908  -7.38909  -7.38909
  -7.38906  -7.38918  -7.38909  -7.38751  -7.37765  -7.37324  -7.38149  -7.37645
  -7.36719  -7.37904  -7.39394  -7.39136  -7.38178  -7.35749  -7.33273  -7.30712
  -7.36415  -7.36415  -7.36415  -7.36415  -7.36415  -7.36415  -7.36416  -7.36415
  -7.36412  -7.36428  -7.36415  -7.36223  -7.35058  -7.34546  -7.35531  -7.34956
  -7.33908  -7.35406  -7.37377  -7.37338  -7.36618  -7.34420  -7.32035  -7.29553
  -7.33329  -7.33329  -7.33329  -7.33329  -7.33329  -7.33328  -7.33330  -7.33329
  -7.33324  -7.33345  -7.33329  -7.33094  -7.31703  -7.31101  -7.32287  -7.31624
  -7.30422  -7.32314  -7.34891  -7.35128  -7.34708  -7.32802  -7.30531  -7.28149
  -7.31318  -7.31318  -7.31318  -7.31318  -7.31318  -7.31318  -7.31319  -7.31318
  -7.31313  -7.31336  -7.31318  -7.31054  -7.29515  -7.28854  -7.30173  -7.29451
  -7.28147  -7.30300  -7.33275  -7.33694  -7.33471  -7.31757  -7.29562  -7.27246
  -7.29199  -7.29199  -7.29199  -7.29199  -7.29199  -7.29199  -7.29201  -7.29199
  -7.29193  -7.29220  -7.29200  -7.28905  -7.27209  -7.26485  -7.27944  -7.27160
  -7.25750  -7.28178  -7.31575  -7.32187  -7.32174  -7.30663  -7.28548  -7.26301
