%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIC	 RMDE	 RHOE	 PSIE	  TIC	 DTIC
  3.128E+00	 3.129E+00	 1.085E-01	 1.217E-02	 4.212E+00	 1.818E-01
  3.128E+00	 3.129E+00	 1.088E-01	 1.224E-02	 3.710E+00	 1.510E-01
  3.128E+00	 3.129E+00	 1.089E-01	 1.227E-02	 4.097E+00	 1.542E-01
  3.128E+00	 3.130E+00	 1.089E-01	 1.228E-02	 4.388E+00	 1.844E-01
  3.128E+00	 3.130E+00	 1.090E-01	 1.229E-02	 3.643E+00	 1.692E-01
  3.128E+00	 3.130E+00	 1.091E-01	 1.231E-02	 3.648E+00	 1.372E-01
  3.129E+00	 3.130E+00	 1.096E-01	 1.244E-02	 3.900E+00	 1.615E-01
  3.129E+00	 3.130E+00	 1.096E-01	 1.244E-02	 4.244E+00	 1.636E-01
  3.129E+00	 3.130E+00	 1.098E-01	 1.248E-02	 4.071E+00	 1.420E-01
  3.129E+00	 3.130E+00	 1.100E-01	 1.253E-02	 4.299E+00	 1.552E-01
  3.129E+00	 3.130E+00	 1.100E-01	 1.253E-02	 3.833E+00	 1.259E-01
  3.129E+00	 3.130E+00	 1.101E-01	 1.253E-02	 3.996E+00	 1.627E-01
  3.129E+00	 3.130E+00	 1.101E-01	 1.254E-02	 3.835E+00	 1.749E-01
  3.129E+00	 3.130E+00	 1.101E-01	 1.254E-02	 3.975E+00	 1.531E-01
  3.129E+00	 3.131E+00	 1.102E-01	 1.256E-02	 3.876E+00	 1.516E-01
  3.129E+00	 3.131E+00	 1.102E-01	 1.256E-02	 3.925E+00	 1.522E-01
  3.129E+00	 3.131E+00	 1.102E-01	 1.258E-02	 4.066E+00	 1.553E-01
  3.129E+00	 3.131E+00	 1.104E-01	 1.262E-02	 4.117E+00	 1.655E-01
  3.130E+00	 3.131E+00	 1.105E-01	 1.265E-02	 3.773E+00	 1.667E-01
  3.130E+00	 3.131E+00	 1.105E-01	 1.265E-02	 3.978E+00	 1.517E-01
  3.130E+00	 3.131E+00	 1.108E-01	 1.270E-02	 4.038E+00	 1.695E-01
  3.130E+00	 3.131E+00	 1.109E-01	 1.273E-02	 3.759E+00	 1.505E-01
  3.130E+00	 3.131E+00	 1.109E-01	 1.273E-02	 3.917E+00	 1.386E-01
  3.130E+00	 3.131E+00	 1.111E-01	 1.277E-02	 3.770E+00	 1.533E-01
  3.130E+00	 3.131E+00	 1.112E-01	 1.279E-02	 3.899E+00	 1.447E-01
  3.130E+00	 3.131E+00	 1.112E-01	 1.280E-02	 3.789E+00	 1.327E-01
  3.130E+00	 3.131E+00	 1.114E-01	 1.285E-02	 3.888E+00	 1.668E-01
