    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    1                                                                 
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
  -7.56417  -7.56418  -7.56462  -7.56833  -7.56585  -7.55099  -7.54042  -7.54312
  -7.54359  -7.54297  -7.54311  -7.54283  -7.54261  -7.54191  -7.54057  -7.54735
  -7.55332  -7.54959  -7.54742  -7.55064  -7.55025  -7.54471  -7.53883  -7.53273
  -7.56344  -7.56345  -7.56399  -7.56842  -7.56546  -7.54775  -7.53514  -7.53836
  -7.53891  -7.53819  -7.53835  -7.53799  -7.53787  -7.53725  -7.53586  -7.54437
  -7.55211  -7.54862  -7.54764  -7.55300  -7.55459  -7.55181  -7.54829  -7.54459
  -7.56328  -7.56329  -7.56390  -7.56882  -7.56554  -7.54594  -7.53199  -7.53555
  -7.53616  -7.53536  -7.53554  -7.53512  -7.53507  -7.53451  -7.53309  -7.54273
  -7.55164  -7.54831  -7.54811  -7.55488  -7.55777  -7.55681  -7.55485  -7.55273
  -7.56331  -7.56332  -7.56400  -7.56942  -7.56581  -7.54421  -7.52884  -7.53277
  -7.53344  -7.53256  -7.53275  -7.53228  -7.53229  -7.53180  -7.53034  -7.54118
  -7.55133  -7.54817  -7.54879  -7.55706  -7.56134  -7.56230  -7.56199  -7.56155
  -7.56350  -7.56351  -7.56427  -7.57027  -7.56628  -7.54241  -7.52542  -7.52976
  -7.53050  -7.52954  -7.52974  -7.52920  -7.52929  -7.52888  -7.52738  -7.53959
  -7.55114  -7.54817  -7.54974  -7.55971  -7.56555  -7.56871  -7.57028  -7.57174
---------------------/ IPRT= 1  / IGRD= 2  /--------/ Z1= 1   / DATE= 04/11/99
 -16.46422 -16.38020 -16.29492 -16.18060 -16.09290 -16.00344 -15.88091 -15.78346
 -15.68080 -15.53838 -15.42414 -15.30207 -15.13305 -15.00589 -14.88701 -14.75818
 -14.67940 -14.59846 -14.43188 -14.26462 -14.10143 -13.94137 -13.85823 -13.78020
 -13.53771 -13.47904 -13.41766 -13.33198 -13.26356 -13.19198 -13.09228 -13.01229
