1.00
*     IK    IR          PSIn       B_ratio
       1     3     0.8100027     0.0773919     0.0568187
       2     3     0.8099308     0.0781634     0.0568403
       3     3     0.8097862     0.0842289     0.0568835
       4     3     0.8094017     0.0995261     0.0569985
       5     3     0.8090647     0.1188170     0.0570993
       6     3     0.8089863     0.1347823     0.0571227
       7     3     0.8089982     0.1430619     0.0571191
       8     3     0.8089913     0.1412591     0.0571212
       9     3     0.8090013     0.1291006     0.0571182
      10     3     0.8090449     0.1105117     0.0571052
      11     3     0.8093023     0.0966649     0.0570282
      12     3     0.8095088     0.0986249     0.0569664
      13     3     0.8091994     0.1202603     0.0570590
      14     3     0.8088427     0.1518807     0.0571656
      15     3     0.8087820     0.1775624     0.0571838
      16     3     0.8087791     0.1918009     0.0571847
      17     3     0.8088294     0.1945604     0.0571696
      18     3     0.8087058     0.1843953     0.0572066
      19     3     0.8087096     0.1609583     0.0572055
      20     3     0.8087715     0.1297514     0.0571869
      21     3     0.8089418     0.1006514     0.0571360
      22     3     0.8094566     0.0833664     0.0569821
      23     3     0.8099201     0.0781944     0.0568434
      24     3     0.8100419     0.0774792     0.0568070
       1     4     0.8650237     0.0645796     0.0403647
       2     4     0.8650469     0.0660561     0.0403578
       3     4     0.8647946     0.0750014     0.0404332
       4     4     0.8643942     0.0933388     0.0405530
       5     4     0.8641432     0.1138660     0.0406280
       6     4     0.8641227     0.1299659     0.0406341
       7     4     0.8641406     0.1380503     0.0406288
       8     4     0.8641239     0.1362566     0.0406338
       9     4     0.8641342     0.1238328     0.0406307
      10     4     0.8641231     0.1039789     0.0406340
      11     4     0.8643478     0.0878558     0.0405668
      12     4     0.8645719     0.0903761     0.0404998
      13     4     0.8643043     0.1157581     0.0405798
      14     4     0.8639331     0.1495272     0.0406909
      15     4     0.8638982     0.1754561     0.0407013
      16     4     0.8639027     0.1896390     0.0406999
      17     4     0.8640268     0.1926182     0.0406628
      18     4     0.8639185     0.1828741     0.0406952
      19     4     0.8639286     0.1597374     0.0406922
      20     4     0.8638824     0.1277620     0.0407060
      21     4     0.8640877     0.0957007     0.0406446
      22     4     0.8644063     0.0737551     0.0405493
      23     4     0.8649215     0.0658308     0.0403953
      24     4     0.8650818     0.0646565     0.0403473
       1     5     0.9077310     0.0526394     0.0275931
       2     5     0.9077957     0.0552858     0.0275737
       3     5     0.9073653     0.0676305     0.0277024
       4     5     0.9070665     0.0884666     0.0277918
       5     5     0.9069242     0.1096681     0.0278343
       6     5     0.9069297     0.1257354     0.0278327
       7     5     0.9069669     0.1337447     0.0278216
       8     5     0.9069487     0.1318329     0.0278270
       9     5     0.9069553     0.1192498     0.0278251
      10     5     0.9068945     0.0984145     0.0278432
      11     5     0.9070855     0.0802305     0.0277861
      12     5     0.9072672     0.0833388     0.0277318
      13     5     0.9070013     0.1120599     0.0278113
      14     5     0.9067842     0.1474034     0.0278762
      15     5     0.9067152     0.1733810     0.0278968
      16     5     0.9067768     0.1874459     0.0278784
      17     5     0.9068482     0.1907851     0.0278571
      18     5     0.9067548     0.1814703     0.0278850
      19     5     0.9067601     0.1586190     0.0278834
      20     5     0.9067479     0.1262943     0.0278871
      21     5     0.9068612     0.0923699     0.0278532
      22     5     0.9069785     0.0662035     0.0278181
      23     5     0.9075063     0.0546958     0.0276603
      24     5     0.9077323     0.0527064     0.0275927
       1     6     0.9398540     0.0419595     0.0179867
       2     6     0.9399301     0.0464403     0.0179639
       3     6     0.9394259     0.0623908     0.0181147
       4     6     0.9392065     0.0849712     0.0181803
       5     6     0.9391467     0.1064831     0.0181982
       6     6     0.9391591     0.1224598     0.0181945
       7     6     0.9392307     0.1303309     0.0181731
       8     6     0.9391827     0.1283943     0.0181874
       9     6     0.9391800     0.1156796     0.0181882
      10     6     0.9391511     0.0940941     0.0181969
      11     6     0.9392695     0.0741415     0.0181615
      12     6     0.9394148     0.0777486     0.0181180
      13     6     0.9392062     0.1093148     0.0181804
      14     6     0.9390716     0.1457665     0.0182206
      15     6     0.9390302     0.1717508     0.0182330
      16     6     0.9390934     0.1856946     0.0182141
      17     6     0.9390849     0.1892556     0.0182167
      18     6     0.9390123     0.1803437     0.0182384
      19     6     0.9389948     0.1577829     0.0182436
      20     6     0.9390554     0.1253821     0.0182255
      21     6     0.9390584     0.0904810     0.0182246
      22     6     0.9391383     0.0610650     0.0182007
      23     6     0.9395127     0.0453412     0.0180887
      24     6     0.9398387     0.0419878     0.0179913
       1     7     0.9631875     0.0326884     0.0110088
       2     7     0.9631074     0.0398105     0.0110327
       3     7     0.9626955     0.0590306     0.0111559
       4     7     0.9625870     0.0826226     0.0111884
       5     7     0.9625518     0.1041879     0.0111989
       6     7     0.9625554     0.1200489     0.0111978
       7     7     0.9626255     0.1277860     0.0111769
       8     7     0.9625994     0.1258452     0.0111847
       9     7     0.9625653     0.1130645     0.0111949
      10     7     0.9625512     0.0909568     0.0111991
      11     7     0.9625615     0.0695511     0.0111960
      12     7     0.9626843     0.0735720     0.0111593
      13     7     0.9626105     0.1074133     0.0111813
      14     7     0.9624946     0.1446110     0.0112160
      15     7     0.9624852     0.1705699     0.0112188
      16     7     0.9625470     0.1844221     0.0112003
      17     7     0.9625093     0.1881110     0.0112116
      18     7     0.9624626     0.1795028     0.0112256
      19     7     0.9624375     0.1572039     0.0112331
      20     7     0.9624783     0.1248807     0.0112209
      21     7     0.9624889     0.0895934     0.0112177
      22     7     0.9625710     0.0581113     0.0111932
      23     7     0.9627493     0.0380759     0.0111398
      24     7     0.9631263     0.0325841     0.0110271
       1     8     0.9793607     0.0249106     0.0061722
       2     8     0.9791422     0.0353841     0.0062375
       3     8     0.9788973     0.0570752     0.0063108
       4     8     0.9788766     0.0811069     0.0063170
       5     8     0.9788414     0.1025963     0.0063275
       6     8     0.9788741     0.1183504     0.0063177
       7     8     0.9789168     0.1259950     0.0063049
       8     8     0.9788901     0.1240433     0.0063129
       9     8     0.9788711     0.1112382     0.0063186
      10     8     0.9788432     0.0887741     0.0063269
      11     8     0.9788290     0.0662603     0.0063312
      12     8     0.9788930     0.0706218     0.0063121
      13     8     0.9788211     0.1061623     0.0063336
      14     8     0.9787597     0.1438340     0.0063519
      15     8     0.9787968     0.1697422     0.0063408
      16     8     0.9788505     0.1835372     0.0063248
      17     8     0.9788343     0.1873142     0.0063296
      18     8     0.9787997     0.1789153     0.0063400
      19     8     0.9788045     0.1568191     0.0063385
      20     8     0.9787565     0.1246147     0.0063529
      21     8     0.9787984     0.0892602     0.0063403
      22     8     0.9788302     0.0567525     0.0063308
      23     8     0.9789447     0.0330779     0.0062966
      24     8     0.9792269     0.0245267     0.0062122
       1     9     0.9902602     0.0186383     0.0029127
       2     9     0.9898776     0.0328352     0.0030271
       3     9     0.9897882     0.0560135     0.0030538
       4     9     0.9897716     0.0801485     0.0030588
       5     9     0.9897618     0.1015387     0.0030617
       6     9     0.9898081     0.1172017     0.0030479
       7     9     0.9898150     0.1247804     0.0030458
       8     9     0.9897883     0.1228206     0.0030538
       9     9     0.9897897     0.1100052     0.0030534
      10     9     0.9897712     0.0873180     0.0030589
      11     9     0.9897408     0.0640051     0.0030680
      12     9     0.9897910     0.0686269     0.0030530
      13     9     0.9897408     0.1053562     0.0030680
      14     9     0.9897032     0.1433176     0.0030792
      15     9     0.9897451     0.1691847     0.0030667
      16     9     0.9897455     0.1829391     0.0030666
      17     9     0.9897426     0.1867768     0.0030675
      18     9     0.9897532     0.1785208     0.0030643
      19     9     0.9897469     0.1565637     0.0030662
      20     9     0.9897009     0.1244740     0.0030800
      21     9     0.9897144     0.0891772     0.0030759
      22     9     0.9897655     0.0563170     0.0030606
      23     9     0.9898281     0.0302304     0.0030419
      24     9     0.9899366     0.0178839     0.0030095
       1    10     0.9985799     0.0126854     0.0004247
       2    10     0.9970215     0.0316835     0.0008907
       3    10     0.9970205     0.0554446     0.0008910
       4    10     0.9970128     0.0795376     0.0008933
       5    10     0.9970317     0.1008334     0.0008877
       6    10     0.9970629     0.1164305     0.0008783
       7    10     0.9970593     0.1239684     0.0008794
       8    10     0.9970659     0.1220000     0.0008774
       9    10     0.9970579     0.1091854     0.0008798
      10    10     0.9970354     0.0863543     0.0008866
      11    10     0.9969851     0.0624855     0.0009016
      12    10     0.9970360     0.0672923     0.0008864
      13    10     0.9970617     0.1048326     0.0008787
      14    10     0.9970448     0.1429763     0.0008838
      15    10     0.9970044     0.1688170     0.0008958
      16    10     0.9969921     0.1825418     0.0008995
      17    10     0.9969777     0.1864171     0.0009038
      18    10     0.9970478     0.1782569     0.0008828
      19    10     0.9969945     0.1563965     0.0008988
      20    10     0.9970376     0.1243936     0.0008859
      21    10     0.9970709     0.0891820     0.0008760
      22    10     0.9970842     0.0562991     0.0008720
      23    10     0.9970389     0.0291596     0.0008855
      24    10     0.9970766     0.0115167     0.0008742
       1    11     1.0012087     0.0372096    -0.0003615
       2    11     1.0012084     0.0365260    -0.0003614
       3    11     1.0011785     0.0351331    -0.0003524
       4    11     1.0012214     0.0336273    -0.0003653
       5    11     1.0011896     0.0319416    -0.0003557
       6    11     1.0012274     0.0300062    -0.0003670
       7    11     1.0011971     0.0277541    -0.0003580
       8    11     1.0012086     0.0251218    -0.0003614
       9    11     1.0011894     0.0220543    -0.0003557
      10    11     1.0011756     0.0184703    -0.0003516
      11    11     1.0011926     0.0142881    -0.0003566
      12    11     1.0011907     0.0096592    -0.0003561
      13    11     1.0010707     0.0055001    -0.0003202
      14    11     1.0005692     0.0124636    -0.0001702
      15    11     1.0010950     0.0318622    -0.0003274
      16    11     1.0011174     0.0553214    -0.0003342
      17    11     1.0011400     0.0792444    -0.0003409
      18    11     1.0011686     0.1004474    -0.0003495
      19    11     1.0011894     0.1159941    -0.0003557
      20    11     1.0012026     0.1235044    -0.0003596
      21    11     1.0012145     0.1215296    -0.0003632
      22    11     1.0012060     0.1087162    -0.0003607
      23    11     1.0011746     0.0858043    -0.0003513
      24    11     1.0011454     0.0616137    -0.0003425
      25    11     1.0011297     0.0665365    -0.0003378
      26    11     1.0011883     0.1045429    -0.0003554
      27    11     1.0011840     0.1427856    -0.0003541
      28    11     1.0010969     0.1686111    -0.0003280
      29    11     1.0011144     0.1823169    -0.0003333
      30    11     1.0010913     0.1862124    -0.0003264
      31    11     1.0011864     0.1781093    -0.0003548
      32    11     1.0010996     0.1563130    -0.0003288
      33    11     1.0012093     0.1243810    -0.0003616
      34    11     1.0012313     0.0892737    -0.0003682
      35    11     1.0011550     0.0565510    -0.0003454
      36    11     1.0011438     0.0295868    -0.0003420
      37    11     1.0011447     0.0106404    -0.0003423
      38    11     1.0006066     0.0063961    -0.0001814
      39    11     1.0011017     0.0127690    -0.0003295
      40    11     1.0011350     0.0195019    -0.0003394
      41    11     1.0011507     0.0256499    -0.0003441
      42    11     1.0011316     0.0310320    -0.0003384
      43    11     1.0011322     0.0357445    -0.0003386
      44    11     1.0011359     0.0399142    -0.0003397
      45    11     1.0012048     0.0436324    -0.0003603
      46    11     1.0011482     0.0469899    -0.0003434
      47    11     1.0011155     0.0501221    -0.0003336
      48    11     1.0011431     0.0531497    -0.0003418
      49    11     1.0011319     0.0562180    -0.0003385
      50    11     1.0012038     0.0578010    -0.0003600
       1    12     1.0042153     0.0359713    -0.0012606
       2    12     1.0042150     0.0353019    -0.0012605
       3    12     1.0041870     0.0339173    -0.0012521
       4    12     1.0041941     0.0323984    -0.0012543
       5    12     1.0042246     0.0306956    -0.0012634
       6    12     1.0041800     0.0287579    -0.0012500
       7    12     1.0042511     0.0265365    -0.0012713
       8    12     1.0041853     0.0239828    -0.0012516
       9    12     1.0041731     0.0210656    -0.0012480
      10    12     1.0042207     0.0177884    -0.0012622
      11    12     1.0042317     0.0143240    -0.0012655
      12    12     1.0041397     0.0114426    -0.0012380
      13    12     1.0040469     0.0110476    -0.0012102
      14    12     1.0039153     0.0171791    -0.0011709
      15    12     1.0040882     0.0331040    -0.0012226
      16    12     1.0041072     0.0555492    -0.0012283
      17    12     1.0041338     0.0791328    -0.0012362
      18    12     1.0041425     0.1002005    -0.0012388
      19    12     1.0041742     0.1156852    -0.0012483
      20    12     1.0041964     0.1231699    -0.0012549
      21    12     1.0041982     0.1211881    -0.0012555
      22    12     1.0041997     0.1083757    -0.0012559
      23    12     1.0041491     0.0854080    -0.0012408
      24    12     1.0041406     0.0609733    -0.0012382
      25    12     1.0041435     0.0659830    -0.0012391
      26    12     1.0041590     0.1043377    -0.0012437
      27    12     1.0041262     0.1426494    -0.0012339
      28    12     1.0040471     0.1684617    -0.0012103
      29    12     1.0040901     0.1821544    -0.0012231
      30    12     1.0040822     0.1860647    -0.0012208
      31    12     1.0041675     0.1780083    -0.0012463
      32    12     1.0040632     0.1562732    -0.0012151
      33    12     1.0041650     0.1244286    -0.0012456
      34    12     1.0041646     0.0894805    -0.0012454
      35    12     1.0040725     0.0570876    -0.0012179
      36    12     1.0041252     0.0310502    -0.0012337
      37    12     1.0041005     0.0152480    -0.0012262
      38    12     1.0039611     0.0112220    -0.0011846
      39    12     1.0040402     0.0144767    -0.0012082
      40    12     1.0040779     0.0199985    -0.0012195
      41    12     1.0041202     0.0256766    -0.0012321
      42    12     1.0041383     0.0308366    -0.0012376
      43    12     1.0041539     0.0354212    -0.0012422
      44    12     1.0040997     0.0395267    -0.0012260
      45    12     1.0041279     0.0432118    -0.0012344
      46    12     1.0041513     0.0465503    -0.0012414
      47    12     1.0040934     0.0496593    -0.0012241
      48    12     1.0041946     0.0526440    -0.0012544
      49    12     1.0040937     0.0556445    -0.0012242
      50    12     1.0041929     0.0571915    -0.0012539
       1    13     1.0085286     0.0340670    -0.0025505
       2    13     1.0085286     0.0333983    -0.0025505
       3    13     1.0085093     0.0320231    -0.0025447
       4    13     1.0085098     0.0305381    -0.0025448
       5    13     1.0085544     0.0288928    -0.0025582
       6    13     1.0085130     0.0270525    -0.0025458
       7    13     1.0085604     0.0249904    -0.0025600
       8    13     1.0085444     0.0226742    -0.0025552
       9    13     1.0085483     0.0201690    -0.0025564
      10    13     1.0085677     0.0176884    -0.0025622
      11    13     1.0085303     0.0156886    -0.0025510
      12    13     1.0083970     0.0150320    -0.0025111
      13    13     1.0083010     0.0165699    -0.0024824
      14    13     1.0082145     0.0218436    -0.0024566
      15    13     1.0082867     0.0350458    -0.0024781
      16    13     1.0083470     0.0559427    -0.0024962
      17    13     1.0083743     0.0789990    -0.0025043
      18    13     1.0083874     0.0998544    -0.0025082
      19    13     1.0084305     0.1152451    -0.0025211
      20    13     1.0084588     0.1226914    -0.0025296
      21    13     1.0084459     0.1206990    -0.0025258
      22    13     1.0084556     0.1078882    -0.0025286
      23    13     1.0083836     0.0848442    -0.0025071
      24    13     1.0083976     0.0600573    -0.0025113
      25    13     1.0084279     0.0651927    -0.0025204
      26    13     1.0084138     0.1040476    -0.0025162
      27    13     1.0083486     0.1424545    -0.0024966
      28    13     1.0082791     0.1682459    -0.0024759
      29    13     1.0083439     0.1819225    -0.0024952
      30    13     1.0083520     0.1858545    -0.0024977
      31    13     1.0084122     0.1778659    -0.0025157
      32    13     1.0083046     0.1562182    -0.0024835
      33    13     1.0083512     0.1245018    -0.0024974
      34    13     1.0083658     0.0897924    -0.0025018
      35    13     1.0083229     0.0579148    -0.0024890
      36    13     1.0083963     0.0332811    -0.0025109
      37    13     1.0083021     0.0198166    -0.0024828
      38    13     1.0081847     0.0159879    -0.0024476
      39    13     1.0082364     0.0172915    -0.0024631
      40    13     1.0082957     0.0212417    -0.0024808
      41    13     1.0083721     0.0260890    -0.0025037
      42    13     1.0083964     0.0308370    -0.0025110
      43    13     1.0084086     0.0351934    -0.0025146
      44    13     1.0084213     0.0391487    -0.0025184
      45    13     1.0083664     0.0427181    -0.0025020
      46    13     1.0084274     0.0459611    -0.0025202
      47    13     1.0083577     0.0489855    -0.0024994
      48    13     1.0084623     0.0518956    -0.0025307
      49    13     1.0083596     0.0548204    -0.0024999
      50    13     1.0084617     0.0563306    -0.0025305
       1    14     1.0144556     0.0309944    -0.0043229
       2    14     1.0144555     0.0303596    -0.0043229
       3    14     1.0144101     0.0290848    -0.0043093
       4    14     1.0144813     0.0277450    -0.0043306
       5    14     1.0144417     0.0263137    -0.0043188
       6    14     1.0145097     0.0247819    -0.0043391
       7    14     1.0144918     0.0231617    -0.0043338
       8    14     1.0144861     0.0215688    -0.0043321
       9    14     1.0145044     0.0201997    -0.0043376
      10    14     1.0144251     0.0193470    -0.0043138
      11    14     1.0142755     0.0193855    -0.0042691
      12    14     1.0141182     0.0205735    -0.0042221
      13    14     1.0139851     0.0229991    -0.0041822
      14    14     1.0139237     0.0273622    -0.0041639
      15    14     1.0138989     0.0378196    -0.0041565
      16    14     1.0140054     0.0565589    -0.0041883
      17    14     1.0140791     0.0788456    -0.0042104
      18    14     1.0140890     0.0993964    -0.0042133
      19    14     1.0141179     0.1146537    -0.0042220
      20    14     1.0141465     0.1220483    -0.0042305
      21    14     1.0141133     0.1200407    -0.0042206
      22    14     1.0141316     0.1072314    -0.0042261
      23    14     1.0140822     0.0840922    -0.0042113
      24    14     1.0140534     0.0588225    -0.0042027
      25    14     1.0141633     0.0641245    -0.0042355
      26    14     1.0141054     0.1036666    -0.0042182
      27    14     1.0140276     0.1421937    -0.0041949
      28    14     1.0139739     0.1679542    -0.0041789
      29    14     1.0140467     0.1816104    -0.0042007
      30    14     1.0140669     0.1855707    -0.0042067
      31    14     1.0140903     0.1776762    -0.0042137
      32    14     1.0140004     0.1561435    -0.0041868
      33    14     1.0140065     0.1246023    -0.0041886
      34    14     1.0140385     0.0902227    -0.0041982
      35    14     1.0140727     0.0590788    -0.0042084
      36    14     1.0140789     0.0362440    -0.0042103
      37    14     1.0139489     0.0248398    -0.0041714
      38    14     1.0139054     0.0212407    -0.0041584
      39    14     1.0139481     0.0210985    -0.0041712
      40    14     1.0140080     0.0233852    -0.0041891
      41    14     1.0141163     0.0270190    -0.0042215
      42    14     1.0140614     0.0310559    -0.0042051
      43    14     1.0141241     0.0350106    -0.0042238
      44    14     1.0141572     0.0387031    -0.0042337
      45    14     1.0141506     0.0420899    -0.0042317
      46    14     1.0141233     0.0451942    -0.0042236
      47    14     1.0141067     0.0480959    -0.0042186
      48    14     1.0141074     0.0509020    -0.0042188
      49    14     1.0141097     0.0537350    -0.0042195
      50    14     1.0141698     0.0551941    -0.0042375
       1    15     1.0217394     0.0283903    -0.0065012
       2    15     1.0217397     0.0278964    -0.0065013
       3    15     1.0217104     0.0269411    -0.0064925
       4    15     1.0217622     0.0259965    -0.0065080
       5    15     1.0217057     0.0250772    -0.0064911
       6    15     1.0217130     0.0242557    -0.0064933
       7    15     1.0216966     0.0236142    -0.0064884
       8    15     1.0216326     0.0233085    -0.0064692
       9    15     1.0216112     0.0234814    -0.0064628
      10    15     1.0215014     0.0242275    -0.0064300
      11    15     1.0213858     0.0255930    -0.0063954
      12    15     1.0212919     0.0275531    -0.0063674
      13    15     1.0212542     0.0301286    -0.0063561
      14    15     1.0212433     0.0336680    -0.0063528
      15    15     1.0211851     0.0414224    -0.0063354
      16    15     1.0213029     0.0574247    -0.0063707
      17    15     1.0213988     0.0786689    -0.0063993
      18    15     1.0214119     0.0988094    -0.0064032
      19    15     1.0214318     0.1138896    -0.0064092
      20    15     1.0214451     0.1212161    -0.0064132
      21    15     1.0214363     0.1191865    -0.0064105
      22    15     1.0214325     0.1063854    -0.0064094
      23    15     1.0214015     0.0831222    -0.0064001
      24    15     1.0213805     0.0572110    -0.0063938
      25    15     1.0215094     0.0627214    -0.0064324
      26    15     1.0213689     0.1031923    -0.0063904
      27    15     1.0213211     0.1418594    -0.0063761
      28    15     1.0213233     0.1675748    -0.0063767
      29    15     1.0213643     0.1812078    -0.0063890
      30    15     1.0213948     0.1852013    -0.0063981
      31    15     1.0213939     0.1774325    -0.0063979
      32    15     1.0213659     0.1560456    -0.0063895
      33    15     1.0213267     0.1247356    -0.0063777
      34    15     1.0213834     0.0907990    -0.0063947
      35    15     1.0214012     0.0606349    -0.0064000
      36    15     1.0213105     0.0399356    -0.0063729
      37    15     1.0212551     0.0303376    -0.0063564
      38    15     1.0212070     0.0268849    -0.0063420
      39    15     1.0212805     0.0257709    -0.0063639
      40    15     1.0212881     0.0265452    -0.0063662
      41    15     1.0214312     0.0287438    -0.0064090
      42    15     1.0213925     0.0317281    -0.0063974
      43    15     1.0214912     0.0349975    -0.0064270
      44    15     1.0215163     0.0382352    -0.0064345
      45    15     1.0215259     0.0413233    -0.0064373
      46    15     1.0214961     0.0442257    -0.0064284
      47    15     1.0215019     0.0469655    -0.0064302
      48    15     1.0214321     0.0496281    -0.0064093
      49    15     1.0215269     0.0523289    -0.0064376
      50    15     1.0215097     0.0537198    -0.0064325
       1    16     1.0311135     0.0280766    -0.0093045
       2    16     1.0311143     0.0278814    -0.0093048
       3    16     1.0311199     0.0275566    -0.0093064
       4    16     1.0310717     0.0273551    -0.0092920
       5    16     1.0310513     0.0273091    -0.0092859
       6    16     1.0309370     0.0274808    -0.0092517
       7    16     1.0308645     0.0279535    -0.0092300
       8    16     1.0307955     0.0287656    -0.0092094
       9    16     1.0307015     0.0299357    -0.0091813
      10    16     1.0306038     0.0314465    -0.0091521
      11    16     1.0305068     0.0332528    -0.0091231
      12    16     1.0304068     0.0353298    -0.0090932
      13    16     1.0303374     0.0377151    -0.0090724
      14    16     1.0303168     0.0405990    -0.0090662
      15    16     1.0302857     0.0458290    -0.0090569
      16    16     1.0303972     0.0586402    -0.0090903
      17    16     1.0304880     0.0784682    -0.0091174
      18    16     1.0305360     0.0980817    -0.0091318
      19    16     1.0305646     0.1129315    -0.0091404
      20    16     1.0305840     0.1201752    -0.0091461
      21    16     1.0305977     0.1181129    -0.0091503
      22    16     1.0305613     0.1053228    -0.0091394
      23    16     1.0305350     0.0819071    -0.0091315
      24    16     1.0305363     0.0551627    -0.0091319
      25    16     1.0306186     0.0609065    -0.0091565
      26    16     1.0305039     0.1026157    -0.0091222
      27    16     1.0304842     0.1414422    -0.0091163
      28    16     1.0304788     0.1670978    -0.0091147
      29    16     1.0304667     0.1807033    -0.0091111
      30    16     1.0305013     0.1847399    -0.0091214
      31    16     1.0305017     0.1771265    -0.0091216
      32    16     1.0304911     0.1559275    -0.0091184
      33    16     1.0304807     0.1249154    -0.0091153
      34    16     1.0304925     0.0915591    -0.0091188
      35    16     1.0304989     0.0626663    -0.0091207
      36    16     1.0303471     0.0443591    -0.0090753
      37    16     1.0303225     0.0364392    -0.0090680
      38    16     1.0303361     0.0330827    -0.0090720
      39    16     1.0303666     0.0313323    -0.0090811
      40    16     1.0303958     0.0309093    -0.0090899
      41    16     1.0305244     0.0316634    -0.0091283
      42    16     1.0305813     0.0333134    -0.0091453
      43    16     1.0306454     0.0355362    -0.0091645
      44    16     1.0307395     0.0380144    -0.0091927
      45    16     1.0307091     0.0405588    -0.0091836
      46    16     1.0307099     0.0430895    -0.0091838
      47    16     1.0307014     0.0455671    -0.0091813
      48    16     1.0307225     0.0480123    -0.0091876
      49    16     1.0307339     0.0505075    -0.0091910
      50    16     1.0306714     0.0517981    -0.0091723
       1    17     1.0420217     0.0313970    -0.0125666
       2    17     1.0420219     0.0315686    -0.0125667
       3    17     1.0419693     0.0319864    -0.0125509
       4    17     1.0418871     0.0325509    -0.0125264
       5    17     1.0418390     0.0332925    -0.0125120
       6    17     1.0417770     0.0342288    -0.0124934
       7    17     1.0416883     0.0353820    -0.0124669
       8    17     1.0416377     0.0367484    -0.0124518
       9    17     1.0415861     0.0382970    -0.0124363
      10    17     1.0415579     0.0399850    -0.0124279
      11    17     1.0415026     0.0417768    -0.0124114
      12    17     1.0414239     0.0436675    -0.0123878
      13    17     1.0413691     0.0456890    -0.0123714
      14    17     1.0413679     0.0479395    -0.0123711
      15    17     1.0413966     0.0511236    -0.0123797
      16    17     1.0414149     0.0605712    -0.0123851
      17    17     1.0415792     0.0782521    -0.0124343
      18    17     1.0416357     0.0972030    -0.0124512
      19    17     1.0416608     0.1117512    -0.0124587
      20    17     1.0416775     0.1189126    -0.0124637
      21    17     1.0416810     0.1167904    -0.0124647
      22    17     1.0416495     0.1040130    -0.0124553
      23    17     1.0416597     0.0804311    -0.0124583
      24    17     1.0416466     0.0525795    -0.0124544
      25    17     1.0417576     0.0585719    -0.0124876
      26    17     1.0416540     0.1019432    -0.0124566
      27    17     1.0416075     0.1409364    -0.0124427
      28    17     1.0415853     0.1665215    -0.0124361
      29    17     1.0415536     0.1800924    -0.0124266
      30    17     1.0415785     0.1841824    -0.0124341
      31    17     1.0415854     0.1767556    -0.0124361
      32    17     1.0415375     0.1558004    -0.0124218
      33    17     1.0415883     0.1251683    -0.0124370
      34    17     1.0415719     0.0925592    -0.0124321
      35    17     1.0415626     0.0652980    -0.0124293
      36    17     1.0414116     0.0496037    -0.0123841
      37    17     1.0413453     0.0433538    -0.0123643
      38    17     1.0414618     0.0401762    -0.0123992
      39    17     1.0414797     0.0380472    -0.0124045
      40    17     1.0415818     0.0367528    -0.0124351
      41    17     1.0416637     0.0362463    -0.0124595
      42    17     1.0417926     0.0364871    -0.0124981
      43    17     1.0419103     0.0373539    -0.0125333
      44    17     1.0420080     0.0386789    -0.0125625
      45    17     1.0420493     0.0402960    -0.0125749
      46    17     1.0420440     0.0420933    -0.0125733
      47    17     1.0420458     0.0440068    -0.0125738
      48    17     1.0420682     0.0460049    -0.0125805
      49    17     1.0420127     0.0481303    -0.0125639
      50    17     1.0420382     0.0492548    -0.0125715
       1    18     1.0548737     0.0377168    -0.0164100
