* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
210.000  53.000   7.883   0.340  -1.371
211.000  53.000   7.887   0.340  -1.373
212.000  53.000   7.886   0.286  -1.373
213.000  54.000   7.885   0.237  -1.372
214.000  54.000   7.882   0.286  -1.370
215.000  54.000   7.886   0.286  -1.373
216.000  54.000   7.889   0.237  -1.374
217.000  55.000   7.888   0.187  -1.373
218.000  55.000   7.885   0.237  -1.372
219.000  55.000   7.889   0.237  -1.374
220.000  55.000   7.892   0.187  -1.376
221.000  56.000   7.891   0.138  -1.376
222.000  56.000   7.888   0.187  -1.373
223.000  56.000   7.892   0.187  -1.376
224.000  56.000   7.895   0.138  -1.379
225.000  57.000   7.895   0.089  -1.378
226.000  57.000   7.891   0.138  -1.376
227.000  57.000   7.895   0.138  -1.379
228.000  57.000   7.899   0.089  -1.381
229.000  58.000   7.900   0.040  -1.382
230.000  58.000   7.895   0.089  -1.378
231.000  58.000   7.899   0.089  -1.381
232.000  58.000   7.904   0.040  -1.385
233.000  59.000   7.901   0.030  -1.383
234.000  59.000   7.900   0.040  -1.382
235.000  59.000   7.904   0.040  -1.385
236.000  59.000   7.905   0.030  -1.385
237.000  60.000   7.896   0.030  -1.391
238.000  60.000   7.901   0.030  -1.383
239.000  60.000   7.905   0.030  -1.385
240.000  60.000   7.900   0.030  -1.394
241.000  61.000   7.866   0.030  -1.434
242.000  61.000   7.896   0.030  -1.391
243.000  61.000   7.900   0.030  -1.394
244.000  61.000   7.871   0.030  -1.437
245.000  62.000   7.837   0.030  -1.477
246.000  62.000   7.866   0.030  -1.434
247.000  62.000   7.871   0.030  -1.437
248.000  62.000   7.841   0.030  -1.480
249.000  63.000   7.808   0.030  -1.521
250.000  63.000   7.837   0.030  -1.477
251.000  63.000   7.841   0.030  -1.480
252.000  63.000   7.812   0.030  -1.523
253.000  64.000   7.779   0.030  -1.564
254.000  64.000   7.808   0.030  -1.521
255.000  64.000   7.812   0.030  -1.523
256.000  64.000   7.783   0.030  -1.566
257.000  65.000   7.750   0.030  -1.607
258.000  65.000   7.779   0.030  -1.564
259.000  65.000   7.783   0.030  -1.566
260.000  65.000   7.754   0.030  -1.610
261.000  66.000   7.721   0.030  -1.650
262.000  66.000   7.750   0.030  -1.607
263.000  66.000   7.754   0.030  -1.610
264.000  66.000   7.725   0.030  -1.653
265.000  67.000   7.692   0.030  -1.693
266.000  67.000   7.721   0.030  -1.650
267.000  67.000   7.725   0.030  -1.653
268.000  67.000   7.696   0.030  -1.696
269.000  68.000   7.663   0.030  -1.736
270.000  68.000   7.692   0.030  -1.693
271.000  68.000   7.696   0.030  -1.696
272.000  68.000   7.667   0.030  -1.739
273.000  69.000   7.634   0.030  -1.780
274.000  69.000   7.663   0.030  -1.736
275.000  69.000   7.667   0.030  -1.739
276.000  69.000   7.638   0.030  -1.782
277.000  70.000   7.605   0.030  -1.823
278.000  70.000   7.634   0.030  -1.780
279.000  70.000   7.638   0.030  -1.782
280.000  70.000   7.609   0.030  -1.825
281.000  71.000   7.643   0.624  -1.786
282.000  71.000   7.614   0.624  -1.829
283.000  71.000   7.622   0.624  -1.834
284.000  71.000   7.651   0.624  -1.791
285.000  72.000   7.672   0.624  -1.742
286.000  72.000   7.643   0.624  -1.786
287.000  72.000   7.651   0.624  -1.791
288.000  72.000   7.680   0.624  -1.748
289.000  73.000   7.701   0.624  -1.699
290.000  73.000   7.672   0.624  -1.742
291.000  73.000   7.680   0.624  -1.748
292.000  73.000   7.709   0.624  -1.705
293.000  74.000   7.730   0.624  -1.656
294.000  74.000   7.701   0.624  -1.699
295.000  74.000   7.709   0.624  -1.705
296.000  74.000   7.738   0.624  -1.662
297.000  75.000   7.759   0.624  -1.613
298.000  75.000   7.730   0.624  -1.656
299.000  75.000   7.738   0.624  -1.662
300.000  75.000   7.767   0.624  -1.618
301.000  76.000   7.788   0.624  -1.570
302.000  76.000   7.759   0.624  -1.613
303.000  76.000   7.767   0.624  -1.618
304.000  76.000   7.796   0.624  -1.575
305.000  77.000   7.817   0.624  -1.526
306.000  77.000   7.788   0.624  -1.570
307.000  77.000   7.796   0.624  -1.575
308.000  77.000   7.825   0.624  -1.532
309.000  78.000   7.846   0.624  -1.483
310.000  78.000   7.817   0.624  -1.526
311.000  78.000   7.825   0.624  -1.532
312.000  78.000   7.854   0.624  -1.489
313.000  79.000   7.875   0.624  -1.440
314.000  79.000   7.846   0.624  -1.483
315.000  79.000   7.854   0.624  -1.489
316.000  79.000   7.884   0.624  -1.446
317.000  80.000   7.904   0.624  -1.397
318.000  80.000   7.875   0.624  -1.440
319.000  80.000   7.884   0.624  -1.446
320.000  80.000   7.913   0.624  -1.403
321.000  81.000   7.910   0.624  -1.389
322.000  81.000   7.904   0.624  -1.397
323.000  81.000   7.913   0.624  -1.403
324.000  81.000   7.918   0.624  -1.394
325.000  82.000   7.901   0.614  -1.383
326.000  82.000   7.910   0.624  -1.389
327.000  82.000   7.918   0.624  -1.394
328.000  82.000   7.909   0.614  -1.388
329.000  83.000   7.886   0.559  -1.372
330.000  83.000   7.901   0.614  -1.383
331.000  83.000   7.909   0.614  -1.388
332.000  83.000   7.894   0.559  -1.378
333.000  84.000   7.881   0.505  -1.369
334.000  84.000   7.886   0.559  -1.372
335.000  84.000   7.894   0.559  -1.378
336.000  84.000   7.889   0.505  -1.375
337.000  85.000   7.878   0.450  -1.367
338.000  85.000   7.881   0.505  -1.369
339.000  85.000   7.889   0.505  -1.375
340.000  85.000   7.886   0.450  -1.373
341.000  86.000   7.876   0.395  -1.366
342.000  86.000   7.878   0.450  -1.367
343.000  86.000   7.886   0.450  -1.373
344.000  86.000   7.884   0.395  -1.371
345.000  87.000   7.875   0.340  -1.365
346.000  87.000   7.876   0.395  -1.366
347.000  87.000   7.884   0.395  -1.371
348.000  87.000   7.883   0.340  -1.371
349.000  88.000   7.874   0.286  -1.364
350.000  88.000   7.875   0.340  -1.365
351.000  88.000   7.883   0.340  -1.371
352.000  88.000   7.882   0.286  -1.370
353.000  89.000   7.876   0.237  -1.366
354.000  89.000   7.874   0.286  -1.364
355.000  89.000   7.882   0.286  -1.370
356.000  89.000   7.885   0.237  -1.372
357.000  90.000   7.879   0.187  -1.368
358.000  90.000   7.876   0.237  -1.366
359.000  90.000   7.885   0.237  -1.372
360.000  90.000   7.888   0.187  -1.373
361.000  91.000   7.883   0.138  -1.370
362.000  91.000   7.879   0.187  -1.368
363.000  91.000   7.888   0.187  -1.373
364.000  91.000   7.891   0.138  -1.376
365.000  92.000   7.886   0.089  -1.373
366.000  92.000   7.883   0.138  -1.370
367.000  92.000   7.891   0.138  -1.376
368.000  92.000   7.895   0.089  -1.378
369.000  93.000   7.891   0.040  -1.376
370.000  93.000   7.886   0.089  -1.373
371.000  93.000   7.895   0.089  -1.378
372.000  93.000   7.900   0.040  -1.382
373.000  94.000   7.893   0.030  -1.377
374.000  94.000   7.891   0.040  -1.376
375.000  94.000   7.900   0.040  -1.382
376.000  94.000   7.901   0.030  -1.383
377.000  95.000   7.887   0.030  -1.385
378.000  95.000   7.893   0.030  -1.377
379.000  95.000   7.901   0.030  -1.383
380.000  95.000   7.896   0.030  -1.391
381.000  96.000   7.858   0.030  -1.429
382.000  96.000   7.887   0.030  -1.385
383.000  96.000   7.896   0.030  -1.391
384.000  96.000   7.866   0.030  -1.434
385.000  97.000   7.829   0.030  -1.472
386.000  97.000   7.858   0.030  -1.429
387.000  97.000   7.866   0.030  -1.434
388.000  97.000   7.837   0.030  -1.477
389.000  98.000   7.800   0.030  -1.515
390.000  98.000   7.829   0.030  -1.472
391.000  98.000   7.837   0.030  -1.477
392.000  98.000   7.808   0.030  -1.521
393.000  99.000   7.771   0.030  -1.558
394.000  99.000   7.800   0.030  -1.515
395.000  99.000   7.808   0.030  -1.521
396.000  99.000   7.779   0.030  -1.564
397.000 100.000   7.742   0.030  -1.601
398.000 100.000   7.771   0.030  -1.558
399.000 100.000   7.779   0.030  -1.564
400.000 100.000   7.750   0.030  -1.607
401.000 101.000   7.713   0.030  -1.644
402.000 101.000   7.742   0.030  -1.601
403.000 101.000   7.750   0.030  -1.607
404.000 101.000   7.721   0.030  -1.650
405.000 102.000   7.684   0.030  -1.688
406.000 102.000   7.713   0.030  -1.644
407.000 102.000   7.721   0.030  -1.650
408.000 102.000   7.692   0.030  -1.693
409.000 103.000   7.655   0.030  -1.731
410.000 103.000   7.684   0.030  -1.688
411.000 103.000   7.692   0.030  -1.693
412.000 103.000   7.663   0.030  -1.736
413.000 104.000   7.626   0.030  -1.774
414.000 104.000   7.655   0.030  -1.731
415.000 104.000   7.663   0.030  -1.736
416.000 104.000   7.634   0.030  -1.780
417.000 105.000   7.597   0.030  -1.817
418.000 105.000   7.626   0.030  -1.774
419.000 105.000   7.634   0.030  -1.780
420.000 105.000   7.605   0.030  -1.823
421.000 106.000   7.851   0.559  -1.424
422.000 106.000   7.866   0.614  -1.434
423.000 106.000   7.895   0.614  -1.391
424.000 106.000   7.880   0.559  -1.381
425.000 107.000   7.846   0.505  -1.421
426.000 107.000   7.851   0.559  -1.424
427.000 107.000   7.880   0.559  -1.381
428.000 107.000   7.875   0.505  -1.377
429.000 108.000   7.843   0.450  -1.419
430.000 108.000   7.846   0.505  -1.421
431.000 108.000   7.875   0.505  -1.377
432.000 108.000   7.872   0.450  -1.375
433.000 109.000   7.841   0.395  -1.417
434.000 109.000   7.843   0.450  -1.419
435.000 109.000   7.872   0.450  -1.375
436.000 109.000   7.870   0.395  -1.374
437.000 110.000   7.840   0.340  -1.416
438.000 110.000   7.841   0.395  -1.417
439.000 110.000   7.870   0.395  -1.374
440.000 110.000   7.869   0.340  -1.373
441.000 111.000   7.839   0.286  -1.416
442.000 111.000   7.840   0.340  -1.416
443.000 111.000   7.869   0.340  -1.373
444.000 111.000   7.868   0.286  -1.373
445.000 112.000   7.842   0.237  -1.418
446.000 112.000   7.839   0.286  -1.416
447.000 112.000   7.868   0.286  -1.373
448.000 112.000   7.871   0.237  -1.374
449.000 113.000   7.845   0.187  -1.419
450.000 113.000   7.842   0.237  -1.418
451.000 113.000   7.871   0.237  -1.374
452.000 113.000   7.874   0.187  -1.376
453.000 114.000   7.848   0.138  -1.422
454.000 114.000   7.845   0.187  -1.419
455.000 114.000   7.874   0.187  -1.376
456.000 114.000   7.877   0.138  -1.378
457.000 115.000   7.852   0.089  -1.424
458.000 115.000   7.848   0.138  -1.422
459.000 115.000   7.877   0.138  -1.378
460.000 115.000   7.881   0.089  -1.381
461.000 116.000   7.857   0.040  -1.428
462.000 116.000   7.852   0.089  -1.424
463.000 116.000   7.881   0.089  -1.381
464.000 116.000   7.886   0.040  -1.384
465.000 117.000   7.822   0.559  -1.467
466.000 117.000   7.837   0.614  -1.477
467.000 117.000   7.866   0.614  -1.434
468.000 117.000   7.851   0.559  -1.424
469.000 118.000   7.817   0.505  -1.464
470.000 118.000   7.822   0.559  -1.467
471.000 118.000   7.851   0.559  -1.424
472.000 118.000   7.846   0.505  -1.421
473.000 119.000   7.814   0.450  -1.462
474.000 119.000   7.817   0.505  -1.464
475.000 119.000   7.846   0.505  -1.421
476.000 119.000   7.843   0.450  -1.419
477.000 120.000   7.812   0.395  -1.460
478.000 120.000   7.814   0.450  -1.462
479.000 120.000   7.843   0.450  -1.419
480.000 120.000   7.841   0.395  -1.417
481.000 121.000   7.811   0.340  -1.460
482.000 121.000   7.812   0.395  -1.460
483.000 121.000   7.841   0.395  -1.417
484.000 121.000   7.840   0.340  -1.416
485.000 122.000   7.810   0.286  -1.459
486.000 122.000   7.811   0.340  -1.460
487.000 122.000   7.840   0.340  -1.416
488.000 122.000   7.839   0.286  -1.416
489.000 123.000   7.813   0.237  -1.461
490.000 123.000   7.810   0.286  -1.459
