$
$ 2D experimental data array of the CIII 4650A
$ emission for DIIID shot 86575 at 1650ms - with a 
$ roughly 2cm square grid 
$
$ 50 cells over R =  1.0 to  2.0
$ 30 cells over Z = -1.4 to -0.8
$
$ SCALEF: = ????
$
TITLE: EXPT 2D CIII 4650A
DATA:  50  30 
1.10204    -0.986207    6.58018e+06      
1.10204    -0.965517   -7.23173e+06      
1.10204    -0.944828   -1.32637e+06      
1.10204    -0.924138        134816.      
1.10204    -0.903448    1.52171e+06      
1.10204    -0.882759    5.31763e+06      
1.10204    -0.862069   -5.53837e+06      
1.10204    -0.841379   -6.48417e+06      
1.10204    -0.820690   -4.15690e+06      
1.10204    -0.800000   -2.97117e+06      
1.12245     -1.40000        0.00000      
1.12245     -1.37931       -9477.12      
1.12245     -1.35862   -2.05915e+07      
1.12245     -1.33793   -3.67054e+07      
1.12245     -1.31724    4.93667e+06      
1.12245     -1.29655    6.56106e+07      
1.12245     -1.27586   -4.99430e+07      
1.12245     -1.25517   -6.58694e+07      
1.12245     -1.23448    3.20186e+06      
1.12245     -1.21379    4.05371e+07      
1.12245     -1.19310   -5.65877e+07      
1.12245     -1.17241   -1.38944e+08      
1.12245     -1.15172   -1.31116e+08      
1.12245     -1.13103   -1.12367e+08      
1.12245     -1.11034       -170396.      
1.12245     -1.08966   -5.24731e+06      
1.12245     -1.06897   -5.08232e+06      
1.12245     -1.04828   -1.17325e+07      
1.12245     -1.02759    3.09094e+06      
1.12245     -1.00690       -352358.      
1.12245    -0.986207    5.75937e+06      
1.12245    -0.965517   -3.27446e+06      
1.12245    -0.944828   -1.30524e+07      
1.12245    -0.924138   -4.00387e+06      
1.12245    -0.903448   -6.65226e+06      
1.12245    -0.882759    3.25961e+06      
1.12245    -0.862069   -5.07542e+06      
1.12245    -0.841379   -3.33657e+06      
1.12245    -0.820690   -7.21887e+06      
1.12245    -0.800000   -2.59821e+06      
1.14286     -1.40000        0.00000      
1.14286     -1.37931   -3.16573e+06      
1.14286     -1.35862   -3.16748e+07      
1.14286     -1.33793    1.71421e+06      
1.14286     -1.31724    1.42018e+07      
1.14286     -1.29655    5.25201e+07      
1.14286     -1.27586   -6.45921e+07      
1.14286     -1.25517   -1.31980e+07      
1.14286     -1.23448   -4.54187e+06      
1.14286     -1.21379    4.28180e+07      
1.14286     -1.19310    3.60533e+07      
1.14286     -1.17241   -1.04443e+08      
1.14286     -1.15172   -1.12290e+08      
1.14286     -1.13103   -1.12990e+08      
1.14286     -1.11034   -5.74722e+06      
1.14286     -1.08966    7.45679e+06      
1.14286     -1.06897    4.32737e+06      
1.14286     -1.04828        47036.6      
1.14286     -1.02759   -8.61401e+06      
1.14286     -1.00690    4.13157e+06      
1.14286    -0.986207    1.09654e+06      
1.14286    -0.965517    1.84528e+06      
1.14286    -0.944828    1.05441e+07      
1.14286    -0.924138    3.16195e+06      
1.14286    -0.903448    1.22646e+07      
1.14286    -0.882759    1.33765e+07      
1.14286    -0.862069   -6.22748e+06      
1.14286    -0.841379   -1.18891e+07      
1.14286    -0.820690   -1.05669e+06      
1.14286    -0.800000    1.60366e+06      
1.16327     -1.40000        0.00000      
1.16327     -1.37931   -1.14264e+06      
1.16327     -1.35862   -1.42553e+07      
1.16327     -1.33793   -2.95099e+06      
1.16327     -1.31724    3.12680e+07      
1.16327     -1.29655    5.19610e+07      
1.16327     -1.27586   -7.59020e+07      
1.16327     -1.25517   -7.02390e+07      
1.16327     -1.23448   -1.31721e+07      
1.16327     -1.21379    7.31009e+07      
1.16327     -1.19310    8.09659e+07      
1.16327     -1.17241   -4.31960e+07      
1.16327     -1.15172   -1.91174e+08      
1.16327     -1.13103   -1.50005e+08      
1.16327     -1.11034    3.41894e+06      
1.16327     -1.08966   -5.16710e+06      
1.16327     -1.06897   -4.59341e+06      
1.16327     -1.04828    2.90128e+06      
1.16327     -1.02759   -8.09425e+06      
1.16327     -1.00690   -5.26121e+06      
1.16327    -0.986207       -885551.      
1.16327    -0.965517    6.82222e+06      
1.16327    -0.944828       -599623.      
1.16327    -0.924138    1.39656e+07      
1.16327    -0.903448    1.11938e+07      
1.16327    -0.882759    1.20661e+07      
1.16327    -0.862069   -1.10730e+07      
1.16327    -0.841379   -1.57018e+07      
1.16327    -0.820690   -7.63459e+06      
1.16327    -0.800000    4.77320e+06      
1.18367     -1.40000        0.00000      
1.18367     -1.37931    4.78658e+06      
1.18367     -1.35862   -1.99670e+07      
1.18367     -1.33793   -9.16513e+06      
1.18367     -1.31724    5.13268e+07      
1.18367     -1.29655    9.41846e+06      
1.18367     -1.27586   -6.66979e+07      
1.18367     -1.25517   -4.64606e+07      
1.18367     -1.23448   -3.93304e+06      
1.18367     -1.21379    8.70503e+07      
1.18367     -1.19310    6.05636e+07      
1.18367     -1.17241   -2.25471e+07      
1.18367     -1.15172   -1.23866e+08      
1.18367     -1.13103   -1.57782e+08      
1.18367     -1.11034   -3.84130e+06      
1.18367     -1.08966   -1.77018e+07      
1.18367     -1.06897    3.15069e+06      
1.18367     -1.04828   -9.40495e+06      
1.18367     -1.02759   -1.79991e+06      
1.18367     -1.00690    8.15761e+06      
1.18367    -0.986207    1.06325e+07      
1.18367    -0.965517    4.39210e+06      
1.18367    -0.944828        364364.      
1.18367    -0.924138    3.05798e+06      
1.18367    -0.903448    1.69187e+07      
1.18367    -0.882759    1.10836e+07      
1.18367    -0.862069    1.04773e+07      
1.18367    -0.841379       -740691.      
1.18367    -0.820690   -7.65686e+06      
1.18367    -0.800000   -5.90907e+06      
1.20408     -1.40000        0.00000      
1.20408     -1.37931    1.52731e+06      
1.20408     -1.35862   -1.13557e+07      
1.20408     -1.33793   -2.08208e+06      
1.20408     -1.31724    7.00999e+07      
1.20408     -1.29655   -1.90057e+07      
1.20408     -1.27586   -7.47578e+07      
1.20408     -1.25517   -1.42138e+07      
1.20408     -1.23448   -9.13331e+06      
1.20408     -1.21379    5.00636e+07      
1.20408     -1.19310    1.45576e+08      
1.20408     -1.17241    1.12746e+08      
1.20408     -1.15172   -9.84540e+07      
1.20408     -1.13103   -1.26084e+08      
