{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.643332    0.588457    0.000000    5.09E+19      174.33
    0.645001    0.584650    0.000000    4.52E+19      160.75
    0.645046    0.581604    0.000000    4.55E+19      152.54
    0.647388    0.580081    0.000000    4.35E+19      156.95
    0.648259    0.583127    0.000000    4.56E+19      166.45
    0.654389    0.579084    0.000000    4.60E+19      144.68
    0.665774    0.578307    0.000000    4.74E+19      146.21
    0.667703    0.574425    0.000000    4.31E+19      138.66
    0.667786    0.571319    0.000000    4.40E+19      133.04
    0.670242    0.569765    0.000000    4.01E+19      141.20
    0.670971    0.572872    0.000000    4.21E+19      163.87
    0.676883    0.568950    0.000000    4.46E+19      125.79
    0.688192    0.568159    0.000000    4.42E+19      139.58
    0.690433    0.564200    0.000000    4.32E+19      139.34
    0.690570    0.561033    0.000000    3.99E+19      121.75
    0.693145    0.559449    0.000000    4.08E+19      122.57
    0.693724    0.562616    0.000000    4.25E+19      143.46
    0.699420    0.558816    0.000000    4.29E+19      120.50
    0.710650    0.558009    0.000000    4.27E+19      133.78
    0.713172    0.553974    0.000000    4.09E+19      126.36
    0.713315    0.550747    0.000000    3.91E+19      112.34
    0.715991    0.549133    0.000000    3.90E+19      128.05
    0.716461    0.552360    0.000000    3.99E+19      132.34
    0.722781    0.548280    0.000000    3.99E+19      101.32
    0.733911    0.547457    0.000000    4.05E+19      119.91
    0.736679    0.543344    0.000000    3.93E+19      104.69
    0.736809    0.540053    0.000000    3.87E+19       94.45
    0.739593    0.538408    0.000000    3.65E+19      102.75
    0.739952    0.541698    0.000000    3.81E+19      119.36
    0.745993    0.537744    0.000000    3.74E+19       90.97
    0.757019    0.536905    0.000000    3.83E+19      104.05
    0.760083    0.532713    0.000000    3.67E+19       99.94
    0.760206    0.529359    0.000000    3.59E+19       87.29
    0.763101    0.527682    0.000000    3.44E+19       91.31
    0.763347    0.531035    0.000000    3.50E+19      107.53
    0.769107    0.527208    0.000000    3.64E+19       89.50
    0.780019    0.526353    0.000000    3.75E+19       94.90
    0.783340    0.522082    0.000000    3.46E+19       94.36
    0.783408    0.518665    0.000000    3.37E+19       83.08
    0.786392    0.516957    0.000000    3.44E+19       84.43
    0.786567    0.520373    0.000000    3.60E+19      105.53
    0.792002    0.516672    0.000000    3.65E+19       79.79
    0.802781    0.515802    0.000000    3.41E+19       86.15
    0.806319    0.511452    0.000000    3.45E+19       82.48
    0.806324    0.507972    0.000000    3.44E+19       77.02
    0.809408    0.506231    0.000000    3.37E+19       73.50
    0.809500    0.509712    0.000000    3.55E+19       97.54
    0.814628    0.506136    0.000000    3.51E+19       68.07
    0.825275    0.505250    0.000000    3.31E+19       73.74
    0.829013    0.497277    0.000000    3.38E+19       64.58
    0.829071    0.500821    0.000000    3.51E+19       72.63
    0.832185    0.495505    0.000000    3.22E+19       71.78
    0.832210    0.499049    0.000000    3.41E+19       84.74
    0.837018    0.495600    0.000000    3.21E+19       58.82
    0.847520    0.494698    0.000000    3.17E+19       59.45
    0.851358    0.486584    0.000000    3.09E+19       57.68
    0.851527    0.490190    0.000000    3.40E+19       63.56
    0.854595    0.488388    0.000000    3.33E+19       75.88
    0.854599    0.484780    0.000000    2.93E+19       57.87
    0.859057    0.485064    0.000000    3.42E+19       51.71
    0.869395    0.484147    0.000000    3.29E+19       57.75
    0.873313    0.475890    0.000000    3.22E+19       51.25
    0.873582    0.479560    0.000000    3.10E+19       57.88
    0.876582    0.477726    0.000000    3.16E+19       65.32
    0.876631    0.474055    0.000000    2.53E+19       52.23
    0.880719    0.474528    0.000000    2.93E+19       41.25
    0.890899    0.473594    0.000000    2.80E+19       49.78
    0.894907    0.465196    0.000000    3.13E+19       46.91
    0.895292    0.468928    0.000000    3.18E+19       43.98
    0.898217    0.467063    0.000000    2.82E+19       59.72
    0.898290    0.463329    0.000000    2.42E+19       38.76
    0.902011    0.463996    0.000000    2.78E+19       40.97
    0.912015    0.463046    0.000000    2.54E+19       39.82
    0.916044    0.454499    0.000000    2.46E+19       39.79
    0.916572    0.458297    0.000000    2.62E+19       36.79
    0.919408    0.456398    0.000000    2.34E+19       49.34
    0.919473    0.452599    0.000000    2.23E+19       24.53
    0.922831    0.453466    0.000000    2.52E+19       37.02
    0.932647    0.452500    0.000000    2.28E+19       33.25
    0.936703    0.443799    0.000000    2.01E+19       29.56
    0.940188    0.441866    0.000000    9.02E+18       42.27
    0.943188    0.442935    0.000000    1.97E+19       21.83
    0.952819    0.441951    0.000000    1.56E+19       22.60
    0.956884    0.433100    0.000000    1.20E+19       22.09
    0.957674    0.437034    0.000000    1.32E+19       21.40
    0.960330    0.435066    0.000000    1.38E+19       19.75
    0.960409    0.431132    0.000000    8.84E+18       10.48
    0.963069    0.432405    0.000000    1.16E+19       14.09
    0.972497    0.431405    0.000000    1.34E+19       17.73
