    8   24   30    1    8     /OXYGEN             /GCR PROJECT      
--------------------------------------------------------------------------------
    4    3    4    2    2    1    2    1    1                                   
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.60226   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 26/07/01
 -14.93231 -14.96075 -14.99249 -15.03644 -15.06990 -15.10393 -15.15046 -15.18736
 -15.22591 -15.27803 -15.31743 -15.35642 -15.40715 -15.44301 -15.47404 -15.50531
 -15.52116 -15.53318 -15.56214 -15.57960 -15.58724 -15.73849 -15.69213 -15.39110
 -15.11971 -15.14816 -15.17990 -15.22385 -15.25731 -15.29133 -15.33787 -15.37477
 -15.41332 -15.46544 -15.50484 -15.54383 -15.59455 -15.63042 -15.66145 -15.69271
 -15.70857 -15.72059 -15.74955 -15.76701 -15.77465 -15.92590 -15.87953 -15.57850
 -15.38385 -15.41230 -15.44404 -15.48798 -15.52144 -15.55547 -15.60201 -15.63890
 -15.67746 -15.72957 -15.76898 -15.80797 -15.85869 -15.89456 -15.92558 -15.95685
 -15.97271 -15.98472 -16.01369 -16.03114 -16.03878 -16.19004 -16.14367 -15.84264
 -15.71662 -15.74507 -15.77681 -15.82076 -15.85422 -15.88824 -15.93478 -15.97168
 -16.01023 -16.06235 -16.10175 -16.14074 -16.19146 -16.22733 -16.25836 -16.28962
 -16.30548 -16.31750 -16.34646 -16.36392 -16.37156 -16.52281 -16.47644 -16.17541
 -15.93582 -15.96426 -15.99600 -16.03995 -16.07341 -16.10744 -16.15397 -16.19087
 -16.22942 -16.28154 -16.32094 -16.35993 -16.41066 -16.44652 -16.47755 -16.50882
 -16.52467 -16.53669 -16.56565 -16.58311 -16.59075 -16.74200 -16.69564 -16.39461
 -16.16817 -16.19662 -16.22835 -16.27230 -16.30576 -16.33979 -16.38633 -16.42322
 -16.46177 -16.51389 -16.55329 -16.59229 -16.64301 -16.67888 -16.70990 -16.74117
 -16.75703 -16.76904 -16.79801 -16.81546 -16.82310 -16.97436 -16.92799 -16.62696
 -16.43231 -16.46075 -16.49249 -16.53644 -16.56990 -16.60393 -16.65046 -16.68736
 -16.72591 -16.77803 -16.81743 -16.85642 -16.90715 -16.94301 -16.97404 -17.00531
 -17.02116 -17.03318 -17.06214 -17.07960 -17.08724 -17.23849 -17.19213 -16.89110
---------------------/ IPRT= 2  / IGRD= 1  /--------/ Z1= 1   / DATE= 26/07/01
 -12.73959 -12.73844 -12.73509 -12.73025 -12.72676 -12.72220 -12.71627 -12.71075
 -12.70210 -12.68918 -12.67799 -12.66339 -12.64172 -12.62427 -12.60393 -12.56423
 -12.51879 -12.45464 -12.32149 -12.17093 -11.96919 -11.61869 -11.31740 -11.01637
 -12.81216 -12.81109 -12.81001 -12.80765 -12.80532 -12.80292 -12.79798 -12.79325
 -12.78882 -12.78131 -12.77319 -12.76304 -12.74893 -12.73753 -12.72323 -12.69396
 -12.65993 -12.61098 -12.50374 -12.37483 -12.19401 -11.87299 -11.58357 -11.28254
 -12.89782 -12.89773 -12.89515 -12.89372 -12.89411 -12.89241 -12.88919 -12.88742
 -12.88590 -12.88149 -12.87611 -12.87012 -12.86105 -12.85330 -12.84460 -12.82747
 -12.80648 -12.77442 -12.70142 -12.60385 -12.45334 -12.18610 -11.92177 -11.62074
 -12.95161 -12.95131 -12.94971 -12.94927 -12.94907 -12.94622 -12.94500 -12.94570
 -12.94359 -12.93903 -12.93572 -12.93239 -12.92760 -12.92295 -12.91653 -12.90422
 -12.89049 -12.87018 -12.82126 -12.74680 -12.62396 -12.42154 -12.19001 -11.88898
 -13.00554 -13.00552 -13.00581 -13.00626 -13.00570 -13.00376 -13.00241 -13.00203
 -13.00014 -12.99740 -12.99556 -12.99318 -12.99060 -12.98867 -12.98534 -12.97879
 -12.97171 -12.96162 -12.93896 -12.89233 -12.80390 -12.69645 -12.51569 -12.21466
 -13.05877 -13.05862 -13.05847 -13.05792 -13.05747 -13.05736 -13.05676 -13.05592
 -13.05526 -13.05419 -13.05293 -13.05129 -13.04904 -13.04753 -13.04630 -13.04539
 -13.04474 -13.04431 -13.04943 -13.03510 -12.98876 -12.98960 -12.86506 -12.56403
 -13.08005 -13.08003 -13.07964 -13.07931 -13.07918 -13.07879 -13.07819 -13.07775
 -13.07720 -13.07645 -13.07579 -13.07484 -13.07353 -13.07287 -13.07286 -13.07458
 -13.07768 -13.08388 -13.10497 -13.10971 -13.09129 -13.15634 -13.06321 -12.76218
 -13.08585 -13.08580 -13.08554 -13.08541 -13.08546 -13.08533 -13.08494 -13.08463
 -13.08441 -13.08415 -13.08384 -13.08336 -13.08298 -13.08309 -13.08385 -13.08876
 -13.09649 -13.10953 -13.14872 -13.17532 -13.18682 -13.31911 -13.25887 -12.95784
 -13.08242 -13.08241 -13.08238 -13.08234 -13.08237 -13.08246 -13.08217 -13.08183
 -13.08180 -13.08158 -13.08123 -13.08108 -13.08137 -13.08200 -13.08341 -13.08989
 -13.09978 -13.11637 -13.16494 -13.20231 -13.22776 -13.39085 -13.34566 -13.04463
 -13.09432 -13.09432 -13.09430 -13.09435 -13.09431 -13.09405 -13.09395 -13.09399
 -13.09378 -13.09384 -13.09404 -13.09393 -13.09439 -13.09569 -13.09817 -13.10655
 -13.11906 -13.14060 -13.20077 -13.25076 -13.29246 -13.48837 -13.45858 -13.15755
 -13.12623 -13.12623 -13.12624 -13.12623 -13.12624 -13.12627 -13.12635 -13.12628
 -13.12598 -13.12598 -13.12629 -13.12647 -13.12687 -13.12801 -13.13083 -13.13971
